t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,delta1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT
1.185,0.02,-6.50038,-1.01889,0.000407012,0.000415448,2.57826e-05,0.828578,-0.786268,-0.744477,0.785369,0.040158,3.14097,-1.94002,1.96292,-3.50925,3.53354,0.416054,-0.393635,-2.81876,2.88145,-4.39925,4.45069,-0.472931,0.522813,-1.01833,-7.80829,0.577831,-7.77742,-2.67823,-4.90038,-1.01885,-7.30042,0.366732,-7.30034,-2.40455,0.041519,0.417931,-0.471373,0.000142888,-0.0188882,-0.0148879,2.57826e-05,0.194737,-0.786268,-0.224876,0.785784,-0.0149856,3.14096,0.187179,1.96292,-0.0990848,3.53371,-0.0142222,-0.393635,-0.0147779,1.00028,-0.00418061,-1.25035,1.25035,1.90641,9.10864,-18.2173,9.32836,-2.93582,-4.65929,9.31856,-9.32717,4.86831,-0.237232,-0.000212245,0.000424479,-1.11128,3.41772,-33.5441,16.5941,0,17.4584,-1.76411,7.068,-3.46035,3.63912,-0.112648,-0.00463405,0.00183894,-1.28697,0.200056,0.0264164,0.0389665,1.93526,4.14854,3.95184,1.0752,2.44632,2.2848,2.92041,5.2987,5.02462,0.218918,0.213984,0.254179,-6.5,-1,-0.0188882,0,0,-3.38813e-21,6.93889e-18,1.04287e-17,3.81626e-17,1.99493e-17,1.99493e-17,2.39067e-17,-2.42861e-17,-1.14492e-16,-1.1086e-16,0,-0.526357,-0.0325369,0.78477,-0.00299912,3.14159,2.2213,-0.0267295,3.53336,-0.00284444,-0.392699,3.14069,-0.236318,4.44981,-0.00283927,0.523599,0,0,0,0.000142849,2.57826e-05,-0.786268,0.785784,3.14096,1.96292,3.53371,-0.393635,2.88145,4.45224,0.522823,0
1.187,0.03,-6.50038,-1.01894,0.000669131,0.000416439,2.55063e-05,0.844469,-0.78627,-0.74844,0.785004,0.0358259,3.14096,-1.93098,1.96291,-3.51036,3.53339,0.414869,-0.393638,-2.79024,2.88145,-4.40314,4.44931,-0.478104,0.52281,-1.01837,-7.80829,0.577785,-7.77742,-2.67828,-4.90038,-1.0189,-7.30042,0.366684,-7.30035,-2.4046,0.0371924,0.416669,-0.476639,0.000407126,-0.018936,-0.0152189,2.55063e-05,0.381479,-0.78627,-0.410419,0.785785,-0.0149848,3.14096,0.371014,1.96291,-0.176905,3.53371,-0.0141854,-0.393637,-0.0147779,1.00028,-0.00459448,-1.25035,1.25035,3.68668,9.29326,-18.5865,9.72516,-5.76443,-4.84389,9.68775,-9.72394,5.24106,-0.443484,-0.000211389,0.000422768,-1.11159,6.71193,-34.1433,16.7266,0,18.4247,-3.54608,7.3157,-3.5151,3.85669,-0.224779,-0.00477149,0.00187468,-1.36392,0.200056,0.0262119,0.0390932,1.58911,3.75252,3.51863,0.90433,2.33539,2.16633,2.85217,4.90962,4.50737,0.235714,0.22681,0.301947,-6.5,-1,-0.018936,0,0,-8.47033e-21,-1.04083e-17,-4.80437e-18,3.09582e-17,7.80626e-18,5.20417e-18,6.69495e-18,6.93889e-18,-9.02056e-17,-6.40221e-17,0,-0.526354,-0.0586769,0.784769,-0.00300072,3.14159,2.2213,-0.0486355,3.53335,-0.00283708,-0.392699,3.14068,-0.442292,4.44981,-0.00281674,0.523599,0,0,0,0.000407012,2.55063e-05,-0.78627,0.785785,3.14096,1.96291,3.53371,-0.393637,2.88145,4.45224,0.522821,0
1.198,0.04,-6.50038,-1.01909,0.000930594,0.000419762,2.62356e-05,0.857721,-0.78628,-0.751156,0.7847,0.0328097,3.14095,-1.92331,1.9629,-3.51117,3.53324,0.413969,-0.393653,-2.76094,2.88146,-4.40414,4.44796,-0.480411,0.522801,-1.01852,-7.80828,0.577637,-7.77742,-2.67842,-4.90038,-1.01905,-7.30041,0.366526,-7.30034,-2.40475,0.0341826,0.415726,-0.478981,0.00066932,-0.0190932,-0.0155448,2.62356e-05,0.541111,-0.78628,-0.568963,0.785795,-0.0149897,3.14095,0.532385,1.9629,-0.245409,3.5337,-0.014134,-0.393653,-0.0147779,1.00028,-0.00500201,-1.25035,1.25035,5.26394,9.45081,-18.9016,10.0762,-8.34773,-5.00157,10.0031,-10.0753,5.55978,-0.6198,-0.000216272,0.000432532,-1.11186,9.74957,-34.6741,16.8443,0,19.3024,-5.25096,7.53478,-3.56354,4.04792,-0.333323,-0.00504156,0.00196395,-1.43154,0.200056,0.0261462,0.0393527,1.32519,3.48343,3.21705,0.766376,2.2533,2.07634,2.93013,4.81149,4.27681,0.250041,0.238057,0.349457,-6.5,-1,-0.0190932,0,0,-2.71051e-20,-1.21431e-17,-1.93598e-17,4.7105e-17,-8.67362e-19,-5.20417e-18,-1.68593e-17,-1.04083e-17,-1.38778e-17,-5.42101e-18,0,-0.526335,-0.0810139,0.784758,-0.00300333,3.14159,2.22129,-0.0679218,3.53334,-0.0028268,-0.392699,3.14071,-0.647368,4.4498,-0.00279056,0.523599,0,0,0,0.000669131,2.62356e-05,-0.78628,0.785795,3.14095,1.9629,3.5337,-0.393653,2.88146,4.45225,0.522813,0
1.208,0.05,-6.50035,-1.01925,0.0011914,0.000424188,2.81145e-05,0.868891,-0.786296,-0.753118,0.784441,0.0305891,3.14094,-1.91677,1.96289,-3.51177,3.5331,0.413273,-0.393673,-2.72935,2.88148,-4.4032,4.44654,-0.48089,0.522784,-1.01866,-7.80826,0.577491,-7.77741,-2.67856,-4.90035,-1.01921,-7.30039,0.366368,-7.30032,-2.40491,0.0319754,0.415008,-0.479445,0.000930858,-0.01925,-0.015867,2.81145e-05,0.678961,-0.786296,-0.705758,0.785808,-0.0149878,3.14094,0.673962,1.96289,-0.305707,3.53368,-0.0140758,-0.393673,-0.0147779,1.00029,-0.00540492,-1.25036,1.25036,6.66707,9.58658,-19.1731,10.3881,-10.7007,-5.13746,10.2749,-10.3874,5.83495,-0.772022,-0.000214238,0.000428463,-1.11213,12.5294,-35.1445,16.9487,0,20.0968,-6.85628,7.72866,-3.60642,4.21593,-0.436433,-0.00537206,0.00207743,-1.49095,0.200057,0.0260807,0.0396074,1.117,3.29002,2.99534,0.653717,2.19151,2.00687,3.15877,4.90613,4.22922,0.262409,0.247939,0.399285,-6.5,-1,-0.01925,0,0,-2.20229e-20,3.46945e-18,1.27665e-17,1.63926e-17,-6.93889e-18,-3.46945e-18,-1.22921e-17,3.81639e-17,-4.85723e-17,-1.91904e-17,0,-0.526312,-0.10029,0.784745,-0.0030042,3.14159,2.22128,-0.0848989,3.53332,-0.00281516,-0.392699,3.14073,-0.862458,4.44979,-0.002758,0.523599,0,0,0,0.000930594,2.81145e-05,-0.786296,0.785808,3.14094,1.96289,3.53368,-0.393673,2.88148,4.45227,0.522798,0
1.218,0.06,-6.50032,-1.01941,0.00145155,0.000429974,3.14095e-05,0.878381,-0.786309,-0.75459,0.784217,0.0288944,3.14093,-1.91117,1.96287,-3.51222,3.53298,0.412729,-0.393692,-2.69362,2.88148,-4.40061,4.44499,-0.479882,0.522763,-1.0188,-7.80822,0.577341,-7.77738,-2.6787,-4.90032,-1.01936,-7.30036,0.366209,-7.30027,-2.40507,0.0302919,0.414449,-0.478378,0.00119174,-0.0194064,-0.0161849,3.14095e-05,0.79879,-0.786309,-0.824564,0.78582,-0.0149872,3.14093,0.798211,1.96287,-0.358818,3.53366,-0.0140205,-0.393692,-0.014778,1.00029,-0.00580237,-1.25036,1.25036,7.91771,9.7043,-19.4085,10.6656,-12.8378,-5.25531,10.5106,-10.6651,6.07408,-0.904298,-0.00021365,0.000427286,-1.11238,15.0597,-35.5618,17.0416,0,20.8137,-8.35065,7.90046,-3.64444,4.36361,-0.533101,-0.00568555,0.0021848,-1.54318,0.200057,0.0260152,0.0398564,0.948973,3.14542,2.82609,0.560797,2.14427,1.95253,3.57303,5.16676,4.33028,0.273156,0.256626,0.45433,-6.5,-1,-0.0194064,0,0,2.03288e-20,6.93889e-18,8.76849e-18,-6.94245e-17,8.67362e-18,1.04083e-17,8.94467e-18,-3.46945e-17,-1.38778e-16,-1.22569e-16,0,-0.52629,-0.117032,0.784732,-0.00300522,3.14159,2.22126,-0.0998525,3.5333,-0.00280411,-0.392699,3.14075,-1.10004,4.44977,-0.00271875,0.523599,0,0,0,0.0011914,3.14095e-05,-0.786309,0.78582,3.14093,1.96287,3.53366,-0.393692,2.88148,4.45227,0.522779,0
1.228,0.07,-6.50026,-1.01956,0.00171104,0.000438198,3.72496e-05,0.886494,-0.786328,-0.755719,0.784016,0.027567,3.14092,-1.90633,1.96285,-3.51257,3.53287,0.412297,-0.393712,-2.65112,2.88149,-4.39618,4.4432,-0.477336,0.52274,-1.01894,-7.80817,0.577192,-7.77732,-2.67885,-4.90026,-1.0195,-7.30031,0.366049,-7.30021,-2.40523,0.028974,0.41401,-0.475718,0.00145197,-0.0195615,-0.0164956,3.72496e-05,0.903294,-0.786328,-0.928081,0.785824,-0.0149873,3.14091,0.907268,1.96285,-0.405621,3.53365,-0.0139656,-0.393711,-0.014778,1.00029,-0.00619085,-1.25036,1.25036,9.03191,9.80681,-19.6135,10.9124,-14.771,-5.35784,10.7156,-10.9121,6.28252,-1.01962,-0.000213634,0.00042725,-1.11263,17.3523,-35.9323,17.1242,0,21.4592,-9.72924,8.05283,-3.67819,4.49346,-0.622792,-0.00600195,0.00229379,-1.5891,0.200058,0.0259488,0.0400948,0.811251,3.03436,2.69352,0.483519,2.10774,1.90942,4.2498,5.60976,4.58518,0.282525,0.264264,0.518501,-6.5,-1,-0.0195615,0,0,-4.57398e-20,0,-2.88669e-18,6.56349e-17,-2.08167e-17,3.46945e-17,4.31241e-17,-1.38778e-17,6.93889e-17,2.23617e-17,0,-0.526279,-0.13162,0.78472,-0.00300622,3.14159,2.22124,-0.11303,3.53328,-0.00279312,-0.392699,3.14076,-1.37696,4.44975,-0.00266974,0.523599,0,0,0,0.00145155,3.72496e-05,-0.786328,0.785824,3.14091,1.96285,3.53365,-0.393711,2.88149,4.45228,0.522759,0
1.238,0.08,-6.50019,-1.01971,0.00196985,0.000450079,4.69071e-05,0.893465,-0.786362,-0.756589,0.783825,0.0265079,3.1409,-1.90214,1.96283,-3.51283,3.53276,0.411951,-0.393731,-2.59773,2.88149,-4.38932,4.44102,-0.472828,0.522712,-1.01907,-7.80811,0.577041,-7.77725,-2.67899,-4.90019,-1.01964,-7.30026,0.365888,-7.30013,-2.40539,0.0279238,0.413661,-0.471008,0.00171154,-0.0197146,-0.0167959,4.69071e-05,0.994554,-0.786362,-1.01839,0.785813,-0.0149873,3.1409,1.00302,1.96283,-0.446887,3.53363,-0.0139119,-0.393731,-0.014778,1.00029,-0.00656634,-1.25037,1.25036,10.023,9.89635,-19.7926,11.1319,-16.512,-5.44717,10.8942,-11.1314,6.46438,-1.1203,-0.000213677,0.000427334,-1.11288,19.4223,-36.2616,17.1978,0,22.0393,-10.9921,8.18812,-3.70819,4.60766,-0.705347,-0.00631375,0.00240151,-1.62948,0.200059,0.0258806,0.0403172,0.697149,2.94744,2.58775,0.418777,2.07918,1.87485,5.33878,6.29569,5.03647,0.290703,0.270983,0.597852,-6.5,-1,-0.0197146,0,0,5.42101e-20,6.93889e-18,1.70762e-17,-1.70999e-17,1.73472e-17,1.38778e-17,7.04731e-19,6.93889e-18,1.249e-16,1.60787e-16,0,-0.52629,-0.144344,0.784709,-0.0030071,3.14159,2.22122,-0.12465,3.53326,-0.00278239,-0.392699,3.14077,-1.71926,4.44973,-0.00260528,0.523599,0,0,0,0.00171104,4.69071e-05,-0.786362,0.785813,3.1409,1.96283,3.53363,-0.393731,2.88149,4.45228,0.522737,0
1.248,0.09,-6.5001,-1.01987,0.00222795,0.000466089,6.08681e-05,0.899483,-0.78641,-0.757266,0.783641,0.0256501,3.14089,-1.8985,1.96281,-3.51304,3.53268,0.41167,-0.39375,-2.5264,2.88148,-4.37871,4.43821,-0.465359,0.522675,-1.01921,-7.80803,0.57689,-7.77715,-2.67913,-4.9001,-1.01977,-7.30019,0.365726,-7.30002,-2.40556,0.0270745,0.413382,-0.46318,0.00197043,-0.0198659,-0.0170846,6.08681e-05,1.07437,-0.78641,-1.0973,0.785786,-0.0149875,3.14089,1.08715,1.96281,-0.483313,3.53361,-0.0138598,-0.39375,-0.0147781,1.0003,-0.00692732,-1.25037,1.25037,10.9039,9.97478,-19.9494,11.327,-18.0747,-5.52513,11.0501,-11.3259,6.62326,-1.20833,-0.00021383,0.000427632,-1.11312,21.2863,-36.5544,17.2634,0,22.5601,-12.1431,8.30844,-3.73491,4.70818,-0.780899,-0.00661931,0.00250732,-1.66503,0.200059,0.0258108,0.0405221,0.601748,2.87831,2.50209,0.364164,2.05663,1.84682,7.13392,7.35608,5.78382,0.297852,0.276896,0.702955,-6.5,-1,-0.0198659,0,0,-1.35525e-20,-3.46945e-18,-1.76454e-17,-1.54126e-17,6.93889e-18,1.04083e-17,5.42101e-20,-2.08167e-17,5.55112e-17,1.21973e-17,0,-0.526324,-0.155458,0.784698,-0.00300789,3.14159,2.22121,-0.134908,3.53324,-0.00277196,-0.392699,3.14078,-2.17251,4.4497,-0.00251527,0.523599,0,0,0,0.00196985,6.08681e-05,-0.78641,0.785786,3.14089,1.96281,3.53361,-0.39375,2.88148,4.45227,0.52271,0
1.259,0.1,-6.49999,-1.02001,0.00248534,0.000487633,8.06003e-05,0.904697,-0.786478,-0.757786,0.783457,0.0249486,3.14088,-1.89532,1.9628,-3.51321,3.5326,0.411439,-0.393769,-2.42396,2.88147,-4.36153,4.43427,-0.452758,0.522629,-1.01934,-7.80795,0.576738,-7.77703,-2.67927,-4.89999,-1.01989,-7.3001,0.365562,-7.29988,-2.40572,0.0263807,0.413157,-0.449885,0.00222862,-0.0200146,-0.017358,8.06003e-05,1.14417,-0.786478,-1.16624,0.785739,-0.0149878,3.14088,1.16114,1.9628,-0.515508,3.5336,-0.0138091,-0.393769,-0.0147781,1.0003,-0.00726915,-1.25038,1.25037,11.6851,10.0436,-20.087,11.5001,-19.4718,-5.59321,11.1862,-11.498,6.76198,-1.28531,-0.000214146,0.000428255,-1.11337,22.9619,-36.8151,17.3219,0,23.0272,-13.188,8.41562,-3.75877,4.79675,-0.849742,-0.00691889,0.00261133,-1.69635,0.20006,0.0257383,0.0407032,0.521477,2.82275,2.43204,0.317805,2.03864,1.82383,10.2435,9.07337,7.04615,0.304101,0.282107,0.854792,-6.5,-1,-0.0200146,0,0,-1.35525e-20,-1.38778e-17,-1.31053e-17,-2.06507e-17,-1.73472e-17,-1.73472e-17,-1.75099e-17,-2.77556e-17,-1.38778e-16,-9.72529e-17,0,-0.526385,-0.165163,0.784688,-0.00300862,3.14159,2.2212,-0.143978,3.53322,-0.00276182,-0.392699,3.14078,-2.82711,4.44967,-0.00236224,0.523599,0,0,0,0.00222795,8.06003e-05,-0.786478,0.785739,3.14088,1.9628,3.5336,-0.393769,2.88147,4.45226,0.522679,0
1.269,0.11,-6.49986,-1.02016,0.00274195,0.000515404,0.000106846,0.909234,-0.786574,-0.758168,0.783261,0.0243728,3.14087,-1.89254,1.9628,-3.51335,3.53254,0.411249,-0.393788,-2.26385,2.88145,-4.33095,4.42818,-0.429712,0.522555,-1.01947,-7.80785,0.576587,-7.77688,-2.67941,-4.89986,-1.01999,-7.30001,0.365396,-7.29971,-2.40588,0.0258121,0.412975,-0.425324,0.00248608,-0.0201587,-0.0176142,0.000106846,1.20511,-0.786574,-1.22636,0.785663,-0.0149879,3.14087,1.22625,1.9628,-0.543986,3.53359,-0.0137596,-0.393788,-0.0147782,1.0003,-0.00758949,-1.25038,1.25037,12.376,10.1042,-20.2081,11.6536,-20.7144,-5.65255,11.3048,-11.6496,6.88278,-1.35251,-0.000214396,0.000428744,-1.11362,24.4654,-37.0475,17.3743,0,23.4456,-14.1333,8.5112,-3.78011,4.87483,-0.912227,-0.0072141,0.00271413,-1.72395,0.20006,0.025661,0.0408558,0.453696,2.77793,2.37453,0.278255,2.02418,1.80483,16.0109,12.1298,9.35644,0.309554,0.2867,1.10246,-6.5,-1,-0.0201587,0,0,3.38813e-20,6.93889e-18,1.97189e-17,-8.84743e-17,1.38778e-17,1.73472e-17,2.73219e-17,-4.16334e-17,2.77556e-17,1.47451e-17,0,-0.526489,-0.173615,0.784678,-0.00300924,3.14159,2.2212,-0.152004,3.5332,-0.00275191,-0.392699,3.14077,-3.89458,4.44963,-0.00205441,0.523599,0,0,0,0.00248534,0.000106846,-0.786574,0.785663,3.14087,1.9628,3.53359,-0.393788,2.88145,4.45224,0.52264,0
