t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,delta1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT
0.04,-6.5057,-1.02677,0,0.00088881,0.00095571,0.786801,-0.785899,-0.782867,0.786014,-0.000649725,3.14111,-1.96275,1.96082,-3.53011,3.53165,0.393421,-0.395371,-2.88194,2.88169,-4.45373,4.45233,-0.523675,0.525464,-5.45593,-1.02474,-7.81459,0.569942,-7.78018,-2.68906,-4.9057,-1.02524,-7.30703,0.358107,-7.30438,-2.41317,0.00362924,0.396911,-0.526867,0,0,0.00238927,0.00095571,-0.0322692,-0.785899,0.028825,0.785899,0.00470259,3.14109,-0.00695914,1.96082,0.00936628,3.53162,-0.000121339,-0.395376,-0,1,0.00298659,-1.25,1.25,-0.329541,8.89505,-17.7902,8.86274,0.432133,-4.40721,8.81448,-8.80807,4.37202,0.0268848,0.00479268,-0.00957638,-1.1102,-0.0743855,-32.9692,16.5316,0,16.3665,0.0703437,6.75163,-3.39232,3.37582,0.0113536,0.00107337,-0.000432907,-1.19628,0.2,0,-0.00334498,0.035378,-0.00294261,-0.000267845,0.0207755,0.0751131,-0.102805,-0.0437263,-0.0624027,0.0366295,0.19725,0.198702,0.203307,0,0,0,0,0,0,7.12863e-18,7.37257e-18,1.4718e-17,-1.6263e-19,-1.0842e-19,6.60686e-18,5.42101e-19,4.33681e-19,4.63496e-18,0,-0.785899,0.00476628,0.785899,-0.000934428,3.14159,1.96082,0.00187326,3.53162,-2.42679e-05,-0.392699,2.88169,-0.00772361,4.45246,-0.000278072,0.523599,0,0,0,0,0.00095571,-0.785899,0.785899,3.14109,1.96082,3.53162,-0.395376,2.88169,4.45248,0.525473,0
0.06,-6.50573,-1.02688,0,0.000888723,0.000955616,0.787376,-0.785901,-0.782888,0.78599,-0.000643581,3.14111,-1.96243,1.96082,-3.5301,3.53164,0.393424,-0.395374,-2.88265,2.88169,-4.45383,4.45241,-0.523672,0.525463,-5.45596,-1.02485,-7.81463,0.569832,-7.78021,-2.68917,-4.90574,-1.02535,-7.30706,0.357995,-7.30441,-2.41328,0.00358656,0.396912,-0.526876,0,0,0.00238904,0.000955616,-0.026008,-0.785901,0.0223262,0.785901,0.00463422,3.14109,-0.000205047,1.96082,0.00658915,3.53161,-0.000117963,-0.395379,-0,1,0.00298629,-1.25,1.25,-0.274039,8.90137,-17.8028,8.8753,0.34892,-4.41433,8.8287,-8.82167,4.38503,0.0197157,0.00472185,-0.00943484,-1.11015,0.0362733,-32.9906,16.5365,0,16.3993,0.0155604,6.76032,-3.39427,3.38372,0.0080415,0.00104194,-0.000420078,-1.19908,0.2,0,-0.00334465,0.0287387,-0.00071677,3.93628e-05,0.0161041,0.0755879,-0.102645,-0.0356475,-0.0672179,0.0367807,0.197824,0.199167,0.20189,0,0,0,0,0,-5.42101e-20,4.06576e-19,6.50521e-19,-2.2199e-17,-5.42101e-20,-1.0842e-19,8.45678e-18,6.64074e-19,8.98804e-17,1.00533e-16,0,-0.785901,0.00408828,0.785901,-0.000922195,3.14159,1.96082,0.00131783,3.53161,-2.35926e-05,-0.392699,2.88169,-0.00342103,4.45246,-0.000275745,0.523599,0,0,0,0,0.000955616,-0.785901,0.785901,3.14109,1.96082,3.53161,-0.395379,2.88169,4.45248,0.525471,0
0.08,-6.50576,-1.0271,0,0.000888915,0.000955822,0.787849,-0.785904,-0.783984,0.785949,-0.000625553,3.1411,-1.96218,1.96081,-3.53009,3.53162,0.393425,-0.395379,-2.88324,2.88169,-4.45391,4.45249,-0.523665,0.525469,-5.45599,-1.02507,-7.81466,0.569613,-7.78024,-2.68939,-4.90576,-1.02557,-7.30709,0.357774,-7.30444,-2.41351,0.0024585,0.396917,-0.526894,0,0,0.00238956,0.000955822,-0.0209427,-0.785904,0.0112398,0.785905,0.00310842,3.14109,0.0050085,1.96081,0.00444741,3.53161,-0.000112371,-0.395384,-0,1,0.00298694,-1.25,1.25,-0.229092,8.9065,-17.813,8.8855,0.256342,-4.43773,8.87548,-8.85615,4.40718,0.00903311,0.00315015,-0.00629437,-1.10867,0.121856,-33.0073,16.5403,0,16.4247,-0.0268732,6.76702,-3.39577,3.3898,0.00547322,0.000991405,-0.000399592,-1.20124,0.2,0,-0.00334538,0.023665,0.0133479,0.000940756,0.0125221,0.076037,-0.102586,-0.0291819,-0.0712965,0.037116,0.198551,0.199525,0.200749,0,0,0,0,0,0,-6.77626e-18,-6.66784e-18,-1.54499e-17,-1.0842e-19,-1.0842e-19,-2.15485e-18,2.71051e-20,-8.91223e-17,-9.24824e-17,0,-0.785904,0.00236678,0.785904,-0.000620111,3.14159,1.96081,0.000889481,3.53161,-2.24741e-05,-0.392699,2.88169,4.71622e-05,4.45247,-0.000275789,0.523599,0,0,0,0,0.000955822,-0.785904,0.785905,3.14109,1.96081,3.53161,-0.395384,2.88169,4.45249,0.525478,0
0.1,-6.50575,-1.02732,0,0.000888862,0.000955766,0.788245,-0.785913,-0.785592,0.785907,-0.00206852,3.14109,-1.96198,1.9608,-3.53006,3.53161,0.390585,-0.395376,-2.88371,2.88168,-4.45396,4.45254,-0.524911,0.525468,-5.45598,-1.02528,-7.81463,0.569397,-7.78022,-2.68961,-4.90575,-1.02579,-7.30707,0.357552,-7.30442,-2.41373,0.000817926,0.396921,-0.526892,0,0,0.00238941,0.000955766,-0.0168146,-0.785913,-0.00166159,0.785914,0.00282404,3.14108,0.00890593,1.9608,0.002845,3.53159,0.00392878,-0.395396,-0,1,0.00298676,-1.25,1.25,-0.192414,8.91074,-17.8215,8.89388,0.163639,-4.46849,8.93697,-8.89981,4.43303,-0.0049818,0.00283943,-0.00567346,-1.10649,0.185917,-33.0206,16.5436,0,16.4441,-0.0586824,6.772,-3.39688,3.39434,-0.00107494,-0.0346336,0.0139564,-1.1995,0.2,0,-0.00334518,0.0197754,0.032712,0.0150802,0.00989627,0.0766957,-0.0770118,-0.02349,-0.0741766,0.0486329,0.199317,0.199794,0.199786,0,0,0,0,0,0,-1.89735e-18,-1.80249e-18,-4.27176e-17,5.42101e-20,-4.42354e-17,-5.05238e-17,4.33681e-19,8.96093e-17,8.47033e-17,0,-0.785913,0.000964158,0.785913,-0.000565017,3.14159,1.9608,0.000569001,3.53159,0.000785756,-0.392699,2.88168,0.00297036,4.45246,0.00010633,0.523599,0,0,0,0,0.000955766,-0.785913,0.785914,3.14108,1.9608,3.53159,-0.395396,2.88168,4.45248,0.525469,0
0.12,-6.50568,-1.02755,0,0.000888831,0.000955732,0.788578,-0.785925,-0.787168,0.785871,-0.00206465,3.14107,-1.96182,1.96078,-3.53003,3.53159,0.390579,-0.395391,-2.88408,2.88166,-4.45398,4.45256,-0.524916,0.525448,-5.45592,-1.02549,-7.81457,0.569183,-7.78017,-2.68982,-4.90568,-1.02602,-7.30701,0.35733,-7.30436,-2.41395,-0.000774199,0.396945,-0.526865,0,0,0.00238933,0.000955732,-0.0134,-0.785925,-0.0136858,0.785925,0.000694808,3.14107,0.0119126,1.96078,0.00160902,3.53158,0.00395103,-0.395411,-0,1,0.00298666,-1.25,1.25,-0.16205,8.91428,-17.8286,8.90085,0.0804982,-4.49798,8.99594,-8.94136,4.4572,-0.0158936,0.000693158,-0.00138499,-1.10432,0.235394,-33.0312,16.5463,0,16.4593,-0.0832709,6.77583,-3.39773,3.39783,-0.00251884,-0.034808,0.0140246,-1.20073,0.2,0,-0.00334506,0.0166451,0.0512629,0.0152739,0.00789858,0.0773692,-0.0773163,-0.0186666,-0.0762089,0.048388,0.200013,0.2,0.198995,0,0,0,0,0,5.42101e-20,-4.87891e-18,-4.87891e-18,-1.74557e-17,-1.89735e-19,-2.84603e-19,3.57787e-18,2.71051e-19,2.1684e-19,-3.61852e-18,0,-0.785925,-0.00108214,0.785925,-0.000139393,3.14159,1.96078,0.000321804,3.53158,0.000790206,-0.392699,2.88166,0.00537254,4.45244,0.000111004,0.523599,0,0,0,0,0.000955732,-0.785925,0.785925,3.14107,1.96078,3.53158,-0.395411,2.88166,4.45246,0.52545,0
0.14,-6.50557,-1.02777,0,0.000888941,0.000955851,0.788858,-0.785937,-0.788531,0.785842,-0.00454321,3.14106,-1.96169,1.96077,-3.53001,3.53157,0.386504,-0.395383,-2.88438,2.88164,-4.454,4.45259,-0.526496,0.525441,-5.45582,-1.0257,-7.81446,0.568968,-7.78006,-2.69004,-4.90557,-1.02624,-7.3069,0.357108,-7.30425,-2.41417,-0.00215892,0.396945,-0.526851,0,0,0.00238963,0.000955851,-0.0105476,-0.785937,-0.0240043,0.785938,0.0021065,3.14105,0.0142916,1.96077,0.000632172,3.53157,0.00973744,-0.395425,-0,1,0.00298703,-1.25,1.25,-0.136674,8.91727,-17.8346,8.9067,0.00939748,-4.52342,9.0468,-8.97715,4.47801,-0.0288465,0.0020872,-0.00417038,-1.10245,0.274581,-33.0397,16.5486,0,16.4713,-0.102754,6.77885,-3.3984,3.40059,-0.0100682,-0.0857435,0.0345431,-1.19697,0.2,0,-0.00334547,0.0140343,0.0670826,0.0381459,0.00633107,0.077963,-0.0406476,-0.0148214,-0.0778163,0.0626337,0.200607,0.200164,0.198366,0,0,0,0,0,0,-1.95156e-18,-1.95156e-18,-4.25007e-17,-2.43945e-19,-1.89735e-19,-6.50521e-18,2.1684e-19,3.25261e-19,-8.51099e-18,0,-0.785937,-0.00153177,0.785937,-0.000423591,3.14159,1.96077,0.000126436,3.53157,0.00194749,-0.392699,2.88164,0.00728256,4.45242,0.000590728,0.523599,0,0,0,0,0.000955851,-0.785937,0.785938,3.14105,1.96077,3.53157,-0.395425,2.88164,4.45244,0.525433,0
0.16,-6.50542,-1.02799,0,0.000889095,0.000956016,0.789095,-0.785947,-0.789706,0.785817,-0.0045479,3.14105,-1.96159,1.96076,-3.52999,3.53155,0.386499,-0.395394,-2.88461,2.88163,-4.45402,4.45261,-0.526496,0.525433,-5.45567,-1.02591,-7.8143,0.568752,-7.77991,-2.69026,-4.90542,-1.02646,-7.30674,0.356886,-7.30409,-2.41439,-0.00334345,0.396962,-0.526841,0,0,0.00239004,0.000956016,-0.00814436,-0.785947,-0.0328761,0.785948,0.000534048,3.14104,0.0162042,1.96076,-0.000152666,3.53155,0.00975692,-0.395436,-0,1,0.00298754,-1.25,1.25,-0.115284,8.91979,-17.8396,8.91163,-0.0516221,-4.54536,9.09065,-9.00798,4.49593,-0.0367979,0.000526013,-0.00105101,-1.10079,0.306112,-33.0466,16.5503,0,16.481,-0.118436,6.78128,-3.39894,3.40281,-0.010932,-0.0858814,0.0345954,-1.19775,0.2,0,-0.00334605,0.0118391,0.0806104,0.0379116,0.0050705,0.0784317,-0.040901,-0.011857,-0.0791939,0.0626266,0.201116,0.200296,0.197875,0,0,0,0,0,1.0842e-19,-9.1073e-18,-8.67362e-18,8.67362e-18,-1.89735e-19,-4.46369e-17,-3.77302e-17,3.25261e-19,8.95551e-17,7.61652e-17,0,-0.785947,-0.00303346,0.785948,-0.000107609,3.14159,1.96076,-3.05311e-05,3.53155,0.00195138,-0.392699,2.88163,0.00877545,4.45242,0.000591373,0.523599,0,0,0,0,0.000956016,-0.785947,0.785948,3.14104,1.96076,3.53155,-0.395436,2.88163,4.45243,0.525425,0
0.18,-6.50522,-1.02821,0,0.000889284,0.00095622,0.789295,-0.785957,-0.790655,0.785798,-0.0056444,3.14104,-1.96151,1.96075,-3.52997,3.53154,0.384616,-0.395391,-2.8848,2.88163,-4.45403,4.45262,-0.527301,0.52543,-5.45547,-1.02612,-7.8141,0.568533,-7.77971,-2.69048,-4.90522,-1.02668,-7.30654,0.356663,-7.30389,-2.41462,-0.0043017,0.396964,-0.526835,0,0,0.00239055,0.00095622,-0.00612992,-0.785957,-0.0401215,0.785958,0.000694605,3.14103,0.0177532,1.96075,-0.000787762,3.53155,0.0124322,-0.395444,-0,1,0.00298818,-1.25,1.25,-0.0973476,8.92191,-17.8438,8.91579,-0.10215,-4.56316,9.12623,-9.03306,4.51061,-0.0449073,0.000680851,-0.00136037,-1.09946,0.331663,-33.0521,16.5517,0,16.4888,-0.131148,6.78325,-3.39937,3.40461,-0.0145245,-0.109395,0.0440637,-1.19622,0.2,0,-0.00334677,0.00998547,0.0914477,0.0476873,0.00404776,0.0787821,-0.0239663,-0.00946631,-0.0802782,0.069996,0.201534,0.200402,0.19748,0,0,0,0,0,0,9.54098e-18,9.54098e-18,1.25767e-17,-1.35525e-19,-1.42302e-19,2.1684e-18,5.42101e-19,4.33681e-19,2.60209e-18,0,-0.785957,-0.00367492,0.785958,-0.000140191,3.14159,1.96075,-0.00015755,3.53155,0.00248644,-0.392699,2.88163,0.0099741,4.45241,0.000834479,0.523599,0,0,0,0,0.00095622,-0.785957,0.785958,3.14103,1.96075,3.53155,-0.395444,2.88163,4.45242,0.525417,0
0.2,-6.50497,-1.02843,0,0.000889451,0.000956399,0.789464,-0.785968,-0.791429,0.785784,-0.0056545,3.14102,-1.96145,1.96074,-3.52995,3.53153,0.384611,-0.395401,-2.88495,2.88162,-4.45404,4.45263,-0.527302,0.525421,-5.45523,-1.02633,-7.81385,0.568314,-7.77947,-2.6907,-4.90498,-1.0269,-7.3063,0.35644,-7.30365,-2.41484,-0.00507456,0.396979,-0.526823,0,0,0.002391,0.000956399,-0.00444952,-0.785968,-0.046074,0.785968,-0.000326723,3.14102,0.0189419,1.96074,-0.00127493,3.53154,0.0124484,-0.395453,-0,1,0.00298874,-1.25,1.25,-0.0823797,8.9237,-17.8474,8.91928,-0.144046,-4.57772,9.15536,-9.05362,4.52269,-0.0502296,-0.000318986,0.000637347,-1.09835,0.351284,-33.0565,16.553,0,16.495,-0.14091,6.78474,-3.3997,3.40598,-0.0150483,-0.109511,0.0441081,-1.19671,0.2,0,-0.00334739,0.00847459,0.100261,0.0471823,0.00327795,0.079155,-0.0241957,-0.00749357,-0.0810626,0.069931,0.201879,0.200484,0.197161,0,0,0,0,0,0,4.11997e-18,4.98733e-18,-2.73219e-17,-2.71051e-20,0,3.90313e-18,1.0842e-19,4.33681e-19,-7.15573e-18,0,-0.785968,-0.00466542,0.785968,6.60326e-05,3.14159,1.96074,-0.000254983,3.53154,0.00248968,-0.392699,2.88162,0.0109434,4.4524,0.000835335,0.523599,0,0,0,0,0.000956399,-0.785968,0.785968,3.14102,1.96074,3.53154,-0.395453,2.88162,4.45241,0.525408,0
0.22,-6.50465,-1.02868,0,0.000889661,0.000956625,0.789609,-0.785979,-0.792157,0.785774,-0.00709544,3.14101,-1.96139,1.96073,-3.52994,3.53152,0.382002,-0.395397,-2.88507,2.88161,-4.45404,4.45264,-0.528325,0.525417,-5.45491,-1.02657,-7.81353,0.568075,-7.77915,-2.69094,-4.90465,-1.02715,-7.30598,0.356195,-7.30333,-2.41508,-0.00580473,0.396981,-0.526815,0,0,0.00239156,0.000956625,-0.00304853,-0.785979,-0.0514866,0.78598,0.000581338,3.14101,0.019866,1.96073,-0.00165298,3.53153,0.0161455,-0.395463,-0,1,0.00298945,-1.25,1.25,-0.0698996,8.92523,-17.8505,8.92221,-0.181108,-4.59122,9.18235,-9.07257,4.5337,-0.0571694,0.000565453,-0.00112979,-1.09733,0.366548,-33.0602,16.554,0,16.4998,-0.148502,6.7859,-3.39996,3.40704,-0.0194099,-0.142011,0.0571956,-1.19411,0.2,0,-0.00334818,0.00723063,0.108433,0.0599209,0.00269664,0.0795428,-0.000697079,-0.00588166,-0.08163,0.0792193,0.202187,0.200547,0.196905,0,0,0,0,0,0,-8.0231e-18,-8.45678e-18,-1.36609e-17,-8.13152e-20,-4.45743e-17,-4.03323e-17,4.33681e-19,-8.85793e-17,-7.80626e-17,0,-0.785979,-0.00482147,0.78598,-0.000117635,3.14159,1.96073,-0.000330592,3.53153,0.0032291,-0.392699,2.88161,0.0117235,4.45239,0.00114382,0.523599,0,0,0,0,0.000956625,-0.785979,0.78598,3.14101,1.96073,3.53153,-0.395463,2.88161,4.45241,0.525399,0
