t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,delta1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT
0.02,-6.5004,-1.01975,0.000391941,0.000425807,2.53694e-05,0.82856,-0.786298,-0.744486,0.785403,0.0401874,3.14093,-1.96306,1.96289,-3.53283,3.5337,0.392475,-0.393684,-2.87972,2.88154,-4.45216,4.45224,-0.524463,0.522787,-5.4507,-1.01916,-7.8083,0.577003,-7.77748,-2.67903,-4.9004,-1.01971,-7.30044,0.365866,-7.30037,-2.40542,0.0415751,0.394547,-0.522704,0.000116725,-0.0197546,-0.0148562,2.53694e-05,0.193787,-0.786298,-0.224085,0.785816,-0.0149802,3.14093,-0.0259917,1.96289,-0.0107564,3.53369,-0.0142239,-0.393686,-0.0147781,1.00029,-0.00414101,-1.25036,1.25036,1.89711,9.1083,-18.2166,9.32701,-2.92263,-4.65891,9.31781,-9.32604,4.86684,-0.236355,-0.000206867,0.000413724,-1.11125,-0.189765,-32.8818,16.4484,0,16.4082,0.085978,6.79315,-3.39959,3.38928,8.30692e-05,-0.00483459,0.00194075,-1.19863,0.200058,0.027525,0.0400437,1.93835,4.15187,3.95315,0.0329444,0.0855058,-0.0752652,-0.00378375,0.0169624,-0.130308,0.218834,0.199286,0.20284,-6.5,-1,-0.0197546,0,0,-5.0822e-21,5.20417e-18,2.45301e-18,-2.6721e-17,-1.76183e-19,-1.6263e-19,-4.55365e-18,4.41812e-17,4.42354e-17,5.36816e-17,0,-0.526298,-0.0324298,0.784739,-0.00299799,3.14159,1.96289,-0.00215075,3.5333,-0.00284478,-0.392699,2.88154,-0.011662,4.44978,-0.00285716,0.523599,0,0,0,0.000116691,2.53694e-05,-0.786298,0.785816,3.14093,1.96289,3.53369,-0.393686,2.88154,4.45233,0.522785,0
0.03,-6.5004,-1.01979,0.000664832,0.000426884,2.53642e-05,0.844473,-0.786299,-0.748462,0.785037,0.0358447,3.14093,-1.96271,1.9629,-3.5328,3.5337,0.392515,-0.393686,-2.87971,2.88156,-4.45217,4.45228,-0.524434,0.522786,-5.4507,-1.01919,-7.80829,0.576974,-7.77748,-2.67905,-4.9004,-1.01975,-7.30044,0.365834,-7.30037,-2.40545,0.0372346,0.394587,-0.522672,0.000392056,-0.0197861,-0.0152004,2.53642e-05,0.380903,-0.786299,-0.409958,0.785818,-0.0149831,3.14093,-0.0295795,1.9629,-0.0111455,3.53369,-0.0142271,-0.393688,-0.0147781,1.00029,-0.00457138,-1.25037,1.25037,3.68097,9.29321,-18.5864,9.72447,-5.75617,-4.8438,9.68758,-9.72347,5.24032,-0.442968,-0.000209687,0.000419363,-1.11157,-0.254699,-32.8985,16.452,0,16.4204,0.11024,6.80019,-3.40115,3.38748,-0.00039319,-0.00481228,0.00193121,-1.19799,0.200058,0.0272891,0.0401519,1.5913,3.75452,3.51854,0.0348795,0.0894271,-0.0716494,0.000626812,0.0186365,-0.127725,0.235671,0.199218,0.202286,-6.5,-1,-0.0197861,0,0,0,-5.20417e-18,-5.48877e-19,5.29053e-17,1.60462e-17,6.03087e-17,6.05256e-17,1.59378e-17,-7.28584e-17,-6.3331e-17,0,-0.526295,-0.0586195,0.784738,-0.00300034,3.14159,1.9629,-0.00222863,3.5333,-0.00284542,-0.392699,2.88156,-0.010237,4.44977,-0.002858,0.523599,0,0,0,0.000391941,2.53642e-05,-0.786299,0.785818,3.14093,1.9629,3.53369,-0.393688,2.88156,4.45235,0.522783,0
0.04,-6.5004,-1.01994,0.000936963,0.000429703,2.5539e-05,0.857741,-0.78631,-0.751184,0.784732,0.0328173,3.14092,-1.96234,1.96288,-3.53274,3.53369,0.392548,-0.393701,-2.87966,2.88158,-4.45216,4.45231,-0.524409,0.522778,-5.4507,-1.01934,-7.80829,0.576826,-7.77749,-2.6792,-4.9004,-1.0199,-7.30043,0.365677,-7.30036,-2.4056,0.0342171,0.394647,-0.52263,0.000665028,-0.0199437,-0.0155412,2.5539e-05,0.540857,-0.78631,-0.568767,0.785827,-0.0149835,3.14092,-0.0330168,1.96288,-0.0115799,3.53368,-0.0142058,-0.393704,-0.0147781,1.0003,-0.0049975,-1.25037,1.25037,5.26156,9.45098,-18.9019,10.0761,-8.34426,-5.00169,10.0034,-10.0754,5.55964,-0.619593,-0.000210063,0.000420114,-1.11186,-0.317262,-32.9167,16.4563,0,16.4338,0.133357,6.80729,-3.40272,3.38582,-0.000954267,-0.00500546,0.00200814,-1.1974,0.200059,0.027213,0.0404164,1.3268,3.48469,3.21621,0.0369453,0.0939886,-0.0681355,0.00488621,0.0208394,-0.125053,0.250025,0.199121,0.201761,-6.5,-1,-0.0199437,0,0,1.01644e-20,0,-1.63986e-18,5.71451e-17,7.60974e-18,7.64363e-18,1.24412e-17,7.42678e-18,9.63856e-17,9.64804e-17,0,-0.526278,-0.0809972,0.784728,-0.00300194,3.14159,1.96288,-0.00231556,3.53329,-0.00284116,-0.392699,2.88158,-0.00901139,4.44977,-0.00285563,0.523599,0,0,0,0.000664832,2.5539e-05,-0.78631,0.785827,3.14092,1.96288,3.53368,-0.393704,2.88158,4.45237,0.522776,0
0.05,-6.50038,-1.0201,0.00120834,0.000432488,2.56808e-05,0.868922,-0.786325,-0.753154,0.784474,0.0305907,3.14091,-1.96196,1.96286,-3.53267,3.53366,0.392583,-0.393722,-2.87957,2.8816,-4.45216,4.45234,-0.524384,0.522768,-5.45069,-1.01948,-7.80827,0.576679,-7.77748,-2.67934,-4.90038,-1.02006,-7.30042,0.365519,-7.30034,-2.40576,0.0320034,0.394716,-0.522586,0.000937241,-0.0201012,-0.0158811,2.56808e-05,0.67905,-0.786325,-0.705834,0.785841,-0.0149826,3.14091,-0.036249,1.96286,-0.0120944,3.53366,-0.0141808,-0.393725,-0.0147781,1.0003,-0.00542253,-1.25037,1.25037,6.66843,9.58692,-19.1738,10.3885,-10.7029,-5.13778,10.2755,-10.3881,5.83547,-0.772128,-0.000209056,0.000418101,-1.11214,-0.37659,-32.9364,16.4611,0,16.4485,0.15485,6.81462,-3.40433,3.38438,-0.00161583,-0.00523207,0.00209843,-1.19689,0.200059,0.0271376,0.0406807,1.11812,3.2907,2.99383,0.0389143,0.0988738,-0.0646576,0.00871426,0.0232212,-0.122516,0.262421,0.199038,0.201309,-6.5,-1,-0.0201012,0,0,5.0822e-21,-3.46945e-18,3.60497e-18,-3.27548e-17,1.58971e-17,1.59107e-17,2.37711e-17,-2.87856e-17,5.97937e-17,5.33427e-17,0,-0.526252,-0.100314,0.784714,-0.00300301,3.14159,1.96286,-0.00241855,3.53327,-0.00283616,-0.392699,2.8816,-0.0080061,4.44976,-0.00285345,0.523599,0,0,0,0.000936963,2.56808e-05,-0.786325,0.785841,3.14091,1.96286,3.53366,-0.393725,2.8816,4.45239,0.522766,0
0.06,-6.50035,-1.02026,0.00147897,0.000435752,2.63214e-05,0.878419,-0.786338,-0.754633,0.784251,0.0288928,3.1409,-1.96155,1.96284,-3.5326,3.53364,0.392618,-0.39374,-2.87945,2.88159,-4.45212,4.45234,-0.524349,0.522759,-5.45066,-1.01963,-7.80823,0.57653,-7.77745,-2.67949,-4.90035,-1.02022,-7.30039,0.365361,-7.30031,-2.40592,0.030315,0.394781,-0.522534,0.0012087,-0.0202586,-0.0162188,2.63214e-05,0.799214,-0.786338,-0.824889,0.785854,-0.0149845,3.14089,-0.0390613,1.96284,-0.0127741,3.53364,-0.0141595,-0.393742,-0.0147781,1.0003,-0.00584482,-1.25038,1.25037,7.92284,9.70477,-19.4095,10.6666,-12.8459,-5.25578,10.5115,-10.6664,6.07521,-0.904693,-0.000210902,0.000421792,-1.11242,-0.429108,-32.9569,16.4661,0,16.4649,0.172979,6.82246,-3.40605,3.38343,-0.00246875,-0.00542601,0.00217551,-1.19655,0.20006,0.027063,0.040943,0.949701,3.14567,2.82404,0.0405767,0.103653,-0.0611166,0.0128102,0.026565,-0.119049,0.273195,0.198983,0.200874,-6.5,-1,-0.0202586,0,0,-8.47033e-21,3.46945e-18,1.17365e-17,1.85805e-17,-7.39968e-18,3.68222e-17,3.33257e-17,3.65918e-17,1.2528e-16,1.45879e-16,0,-0.526228,-0.117094,0.7847,-0.00300458,3.14159,1.96284,-0.0025546,3.53325,-0.0028319,-0.392699,2.88159,-0.00704952,4.44975,-0.00285119,0.523599,0,0,0,0.00120834,2.63214e-05,-0.786338,0.785854,3.14089,1.96284,3.53364,-0.393742,2.88159,4.45238,0.522756,0
0.07,-6.50031,-1.02042,0.00174886,0.000439562,2.75338e-05,0.886534,-0.786346,-0.755784,0.784063,0.0275558,3.14088,-1.96113,1.96282,-3.53253,3.53362,0.392656,-0.393757,-2.87929,2.88165,-4.45215,4.4524,-0.524332,0.522749,-5.45063,-1.01977,-7.80819,0.576379,-7.77743,-2.67962,-4.90031,-1.02037,-7.30035,0.365203,-7.30027,-2.40608,0.0289894,0.394845,-0.522502,0.00147942,-0.0204158,-0.0165542,2.75338e-05,0.904202,-0.786346,-0.928798,0.785873,-0.0149836,3.14088,-0.0416171,1.96282,-0.013551,3.53362,-0.0141398,-0.39376,-0.0147782,1.0003,-0.00626415,-1.25038,1.25038,9.04242,9.80735,-19.6146,10.9141,-14.7883,-5.3586,10.7171,-10.9144,6.28465,-1.02047,-0.000209971,0.000419929,-1.11268,-0.47749,-32.9785,16.4714,0,16.4827,0.189074,6.83059,-3.40784,3.38275,-0.00343514,-0.00560578,0.00224685,-1.19632,0.200061,0.0269887,0.0412029,0.811464,3.03394,2.69061,0.0420797,0.108551,-0.0574214,0.0150865,0.0283737,-0.117527,0.282603,0.198945,0.200613,-6.5,-1,-0.0204158,0,0,-3.89635e-20,3.46945e-18,-1.17907e-18,1.16552e-18,-1.96241e-17,-1.96241e-17,-2.71322e-17,2.4503e-17,-6.40763e-17,-6.74916e-17,0,-0.526196,-0.131742,0.784687,-0.00300535,3.14159,1.96282,-0.00271011,3.53323,-0.00282796,-0.392699,2.88165,-0.00662435,4.44974,-0.00284926,0.523599,0,0,0,0.00147897,2.75338e-05,-0.786346,0.785873,3.14088,1.96282,3.53362,-0.39376,2.88165,4.45244,0.522747,0
0.08,-6.50025,-1.02057,0.002018,0.000443839,2.92337e-05,0.893501,-0.786359,-0.75669,0.783896,0.0264866,3.14087,-1.9607,1.96281,-3.53247,3.5336,0.392691,-0.393774,-2.87911,2.88164,-4.45211,4.4524,-0.524297,0.52274,-5.45058,-1.01991,-7.80814,0.576229,-7.77737,-2.67977,-4.90025,-1.02053,-7.3003,0.365044,-7.30021,-2.40624,0.0279292,0.394907,-0.52245,0.00174939,-0.0205728,-0.0168874,2.92337e-05,0.996117,-0.786359,-1.01964,0.785886,-0.0149857,3.14087,-0.043797,1.96281,-0.0144749,3.5336,-0.0141202,-0.393776,-0.0147782,1.00031,-0.0066808,-1.25038,1.25038,10.0408,9.89689,-19.7937,11.1344,-16.5421,-5.4483,10.8965,-11.1351,6.46789,-1.12176,-0.000211959,0.000423904,-1.11294,-0.519748,-33.0008,16.4768,0,16.5019,0.202159,6.83918,-3.40974,3.38251,-0.00457614,-0.00578472,0.00231776,-1.19623,0.200061,0.0269149,0.0414605,0.696724,2.94615,2.5837,0.0432976,0.113274,-0.0538622,0.0185559,0.0320182,-0.113997,0.290835,0.198932,0.200286,-6.5,-1,-0.0205728,0,0,-3.38813e-20,3.46945e-18,2.1413e-18,-3.44268e-17,-1.2902e-17,-1.278e-17,-1.61411e-17,-1.33899e-17,-1.01915e-16,-1.07878e-16,0,-0.526172,-0.144548,0.784674,-0.00300671,3.14159,1.96281,-0.00289504,3.53321,-0.00282403,-0.392699,2.88164,-0.00599295,4.44973,-0.00284704,0.523599,0,0,0,0.00174886,2.92337e-05,-0.786359,0.785886,3.14087,1.96281,3.5336,-0.393776,2.88164,4.45243,0.522738,0
0.09,-6.50019,-1.02073,0.00228642,0.000448464,3.12978e-05,0.899506,-0.786371,-0.757423,0.783752,0.0256132,3.14086,-1.96025,1.96279,-3.5324,3.53358,0.392728,-0.393789,-2.8789,2.88166,-4.4521,4.45243,-0.524271,0.522731,-5.45052,-1.02005,-7.80807,0.576077,-7.77731,-2.67991,-4.90019,-1.02068,-7.30023,0.364886,-7.30015,-2.4064,0.0270654,0.394969,-0.522409,0.00201863,-0.0207297,-0.0172188,3.12978e-05,1.07684,-0.786371,-1.09932,0.7859,-0.0149864,3.14085,-0.045771,1.96279,-0.0154766,3.53358,-0.0141018,-0.393792,-0.0147783,1.00031,-0.00709515,-1.25039,1.25038,10.9315,9.97521,-19.9503,11.3305,-18.1233,-5.5268,11.0535,-11.3315,6.62876,-1.21066,-0.000212603,0.000425192,-1.1132,-0.558679,-33.0239,16.4823,0,16.5221,0.213615,6.84801,-3.41169,3.38249,-0.00580808,-0.00595215,0.00238399,-1.19623,0.200062,0.0268417,0.0417166,0.600468,2.87579,2.49649,0.0443828,0.118056,-0.0502207,0.0209462,0.034917,-0.111478,0.29806,0.198932,0.200072,-6.5,-1,-0.0207297,0,0,7.6233e-20,6.93889e-18,1.28749e-17,-4.59668e-17,-5.96311e-18,-6.03087e-18,-1.00966e-17,-6.17995e-18,-9.44611e-17,-8.49066e-17,0,-0.526147,-0.155781,0.78466,-0.00300764,3.14159,1.96279,-0.00309554,3.5332,-0.00282037,-0.392699,2.88166,-0.00570518,4.44972,-0.00284503,0.523599,0,0,0,0.002018,3.12978e-05,-0.786371,0.7859,3.14085,1.96279,3.53358,-0.393792,2.88166,4.45245,0.522728,0
0.1,-6.50011,-1.02089,0.00255412,0.000453366,3.36506e-05,0.904697,-0.786385,-0.758022,0.783625,0.0248897,3.14084,-1.9598,1.96277,-3.53234,3.53356,0.392767,-0.393805,-2.87868,2.88173,-4.45214,4.45249,-0.524254,0.522722,-5.45045,-1.02019,-7.80799,0.575925,-7.77725,-2.68004,-4.90011,-1.02083,-7.30016,0.364727,-7.30007,-2.40655,0.0263526,0.39503,-0.522379,0.00228713,-0.0208866,-0.0175485,3.36506e-05,1.14786,-0.786385,-1.16929,0.785913,-0.0149854,3.14084,-0.0475427,1.96277,-0.0165551,3.53357,-0.0140854,-0.393807,-0.0147783,1.00031,-0.00750746,-1.25039,1.25039,11.726,10.0438,-20.0875,11.5049,-19.5457,-5.59557,11.191,-11.5062,6.77019,-1.2888,-0.000211528,0.000423039,-1.11345,-0.594334,-33.0475,16.4881,0,16.5433,0.223467,6.85707,-3.4137,3.3827,-0.00712916,-0.00610325,0.00244361,-1.1963,0.200062,0.0267693,0.0419715,0.519103,2.81863,2.42444,0.0453322,0.122858,-0.0465462,0.0223152,0.0369592,-0.11005,0.304411,0.198946,0.199957,-6.5,-1,-0.0208866,0,0,-6.94567e-20,3.46945e-18,2.968e-18,-3.67545e-17,-1.19262e-17,-1.19533e-17,-6.27482e-18,3.1984e-17,-5.64056e-17,-5.17842e-17,0,-0.526124,-0.165647,0.784647,-0.00300805,3.14159,1.96277,-0.0033114,3.53318,-0.00281707,-0.392699,2.88173,-0.00571673,4.44971,-0.00284335,0.523599,0,0,0,0.00228642,3.36506e-05,-0.786385,0.785913,3.14084,1.96277,3.53357,-0.393807,2.88173,4.45251,0.522719,0
0.11,-6.50003,-1.02104,0.00282109,0.000458484,3.62284e-05,0.909195,-0.786398,-0.75852,0.783516,0.0242868,3.14083,-1.95934,1.96275,-3.53228,3.53354,0.392802,-0.39382,-2.87843,2.88172,-4.4521,4.45248,-0.524218,0.522713,-5.45037,-1.02033,-7.80791,0.575773,-7.77717,-2.6802,-4.90003,-1.02099,-7.30008,0.364568,-7.29998,-2.40671,0.0257579,0.395089,-0.522328,0.00255492,-0.0210436,-0.0178768,3.62284e-05,1.21045,-0.786398,-1.23084,0.785926,-0.0149875,3.14083,-0.0490532,1.96275,-0.017735,3.53355,-0.0140673,-0.393822,-0.0147783,1.00032,-0.00791793,-1.2504,1.25039,12.4346,10.104,-20.2078,11.6599,-20.8235,-5.65591,11.3117,-11.6616,6.89476,-1.35759,-0.000213551,0.000427083,-1.1137,-0.625721,-33.0717,16.4938,0,16.5655,0.231231,6.86646,-3.41578,3.38321,-0.00857374,-0.0062685,0.00250881,-1.19648,0.200063,0.0266977,0.0422256,0.449854,2.77157,2.36415,0.0460811,0.127514,-0.0429836,0.0250712,0.0409306,-0.106463,0.310003,0.198977,0.199751,-6.5,-1,-0.0210436,0,0,-1.18585e-20,-1.73472e-17,-1.41624e-17,4.85994e-17,1.06252e-17,5.47251e-17,5.33156e-17,-3.38271e-17,-1.22162e-16,-1.20062e-16,0,-0.5261,-0.174328,0.784634,-0.00300917,3.14159,1.96275,-0.00354756,3.53317,-0.00281346,-0.392699,2.88172,-0.00545292,4.4497,-0.00284113,0.523599,0,0,0,0.00255412,3.62284e-05,-0.786398,0.785926,3.14083,1.96275,3.53355,-0.393822,2.88172,4.4525,0.52271,0
