t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,,al1211,al1212u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,b4,b5,b6,b7,b8,b9,b10,b11,b12
0,-6.50022,-2.00347,0,0,-8.6897e-05,0.523599,-0.523606,-0.523607,0.523592,-5.79924e-05,3.14159,-2.61799,2.22731,-3.27451,3.27451,0.392203,-0.39068,-3.66519,4.19155,-3.14435,3.14435,-0.523869,0.526362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02,-6.50022,-2.00347,0.0348905,0.0508264,-8.6897e-05,0.591498,-0.523606,-0.450985,0.523589,0.0588413,3.14161,-2.14791,2.22731,-3.11744,3.2828,0.544922,-0.39069,-4.37398,4.19155,-5.08442,3.12971,-2.46038,0.526191,-5.45022,-2.00361,-7.80865,-0.408311,-7.77589,-3.66536,-4.90022,-2.00361,-7.3001,-0.61776,-7.30034,-3.38904,0.0725852,0.556049,-2.4809,0,-0.00347066,-0.047516,-8.6897e-05,-0.0459259,-0.523606,-0.0481856,0.523592,-0.0473519,3.14159,-3.43422,2.22731,2.03784,3.27451,-0.0478315,-0.39068,4.41764,4.19155,-2.2696,3.14435,-0.0473926,0.526362,-0.0474152,1.00016,-0.011935,-1.25021,1.25021,0.00330412,8.89035,-17.7807,8.89121,-0.0293981,-4.44524,8.89048,-8.89129,4.4465,-0.0127258,3.20165e-05,-6.40427e-05,-1.1114,-27.8579,-22.304,14.0835,0,6.26603,10.4244,5.96748,-4.78926,0.899018,0.58533,0.00561102,-0.00243781,-0.278547,34.306,-23.1107,15.4238,5.10832,0.257165,3.8003,-3.82482,-2.54196,-0.0178054,0.03849,-0.0111129,0.0055701,0.00367755,-0.00593607,0.00592748,0.200033,1.74453,2.54132,3.39498,3.6311,2.94496,23.5042,7.85343,7.63594,-35.4394,-97.0036,-96.8256,0,0,-0,-6.5,-2,-0.00347066,0,0,-0,-0,-0,0,-0,0,0,0,0,0,0,-0.523606,-0.00959822,0.523591,-0.00947038,3.14159,2.22731,0.407568,3.27451,-0.0095663,-0.392699,4.19155,-0.453912,3.14436,-0.00947852,0.523599,0,0,0,0,-8.6897e-05,-0.523606,0.523592,3.14159,2.22731,3.27451,-0.39068,4.19155,3.14435,0.526362,0,-0.508382,-0.00356104,2.30735e-08,0.0764657,0.00073551,-0.00118721,0.0011855,0.000493333,0.0474074,0.0117992,1.00016,40.7178,-14.8029,0.762681,230.911,-83.6313,-0.00159168,-272.846,91.9411,-0.128442
0.04,-6.50023,-2.00373,0.0583688,0.0837828,-9.46201e-05,0.631663,-0.523606,-0.429133,0.522382,0.0789092,3.14161,-2.18029,2.22748,-3.24617,3.27236,0.417159,-0.390532,-4.2465,4.19177,-3.14637,3.15373,-0.514792,0.526535,-5.45023,-2.00388,-7.8087,-0.408646,-7.77586,-3.66571,-4.90023,-2.00388,-7.3001,-0.618012,-7.30037,-3.38929,0.0932293,0.416715,-0.519175,0.0349109,-0.00372851,-0.0275655,-9.46201e-05,-0.0349102,-0.523606,-0.35624,0.523591,-0.0473524,3.14158,0.77564,2.22748,-0.628293,3.27468,-0.0497155,-0.390516,-4.79948,4.19177,2.24312,3.14457,-0.0546527,0.52658,-0.0475298,1.0014,0.0129869,-1.25175,1.25345,-0.263942,9.26503,-18.5553,9.30415,-1.31056,-4.81442,9.64201,-9.30425,4.63079,-0.34187,3.3064e-05,-6.62285e-05,-1.06854,11.5115,-26.2206,12.1531,0,14.9658,-10.1474,8.3734,-3.59211,4.51271,-0.825166,0.00784463,-0.0017631,-1.39822,-110.685,-38.3876,15.5731,36.8569,93.2074,11.3854,-3.88616,-18.3335,8.07119,6.09985,-0.0238712,0.00611642,0.0286533,2.69085,-2.68664,0.200157,1.17391,1.64782,2.00825,4.72376,3.94849,-1.6193,1.42516,1.24957,6.37387,-0.0900996,0.454782,0.208255,0.232269,0.419129,-6.5,-2,-0.00372851,0,0,-1.73472e-18,-1.04083e-17,-9.3559e-18,9.35294e-18,3.81639e-17,2.77556e-17,2.54245e-17,4.16334e-17,2.77556e-17,1.01915e-17,0,-0.523606,-0.0558059,0.523591,-0.00947002,3.14159,2.22748,-0.125659,3.27468,-0.0099431,-0.392699,4.19177,0.448615,3.14457,-0.0109305,0.523599,0,0,0,0.0348905,-9.46201e-05,-0.523606,0.523591,3.14158,2.22748,3.27468,-0.390516,4.19177,3.14457,0.52658,0,-3.66662,1.61422,-1.04575e-05,5.85213,0.00573066,0.538169,-0.537328,0.240405,0.0474074,0.0117992,1.00018,17.5564,2.32633,0.828605,-45.5921,21.1025,0.255508,352.502,-116.301,-1.28165
0.06,-6.50024,-2.0038,0.073172,0.104167,-9.68924e-05,0.65559,-0.523606,-0.416845,0.521725,0.0901452,3.14161,-2.18112,2.22753,-3.23817,3.27381,0.426528,-0.390484,-4.17438,4.19183,-3.12451,3.14719,-0.49911,0.526602,-5.45024,-2.00395,-7.80871,-0.408745,-7.77585,-3.66582,-4.90024,-2.00396,-7.30011,-0.618086,-7.30037,-3.38937,0.104859,0.426121,-0.503923,0.0584457,-0.00380434,-0.015593,-9.68924e-05,-0.0554596,-0.523606,-0.52543,0.523591,-0.0473532,3.14158,0.116376,2.22753,-0.27644,3.27472,-0.0494327,-0.390468,-1.58976,4.19183,0.592729,3.14463,-0.0523182,0.526644,-0.0477372,1.0036,0.0279964,-1.2545,1.25904,-0.697148,9.51691,-19.1026,9.59121,-1.73077,-5.05649,10.1496,-9.59132,4.71663,-0.509572,3.35116e-05,-6.72759e-05,-1.04115,2.50777,-25.8554,12.4194,0,13.0981,-2.33528,8.13239,-3.73937,3.87441,-0.285178,0.00784003,-0.0019077,-1.20045,-27.0442,-32.7203,15.604,20.9049,19.0449,8.5476,-3.88341,-10.3974,5.3555,1.11973,-0.0198705,0.00624526,0.016601,1.78547,-1.78262,0.200377,0.740163,1.01922,1.19635,5.33818,4.51033,-0.0414721,1.82754,1.71859,3.60599,1.00594,1.23922,0.212014,0.19932,0.277973,-6.5,-2,-0.00380434,0,0,0,1.38778e-17,1.01801e-17,-5.7251e-17,3.46945e-17,3.64292e-17,3.44234e-17,4.51028e-17,4.85723e-17,3.82723e-17,0,-0.523606,-0.0811841,0.523591,-0.00946992,3.14159,2.22753,-0.0552881,3.27472,-0.00988653,-0.392699,4.19183,0.118543,3.14464,-0.0104636,0.523599,0,0,0,0.0583688,-9.68924e-05,-0.523606,0.523591,3.14158,2.22753,3.27472,-0.390468,4.19183,3.14463,0.526644,0,-2.07944,1.07109,-6.93852e-06,1.29314,0.00332019,0.357094,-0.356523,0.0431209,0.0474074,0.0117992,1.00018,3.40669,12.7845,0.862169,-7.95848,7.28525,0.13001,107.488,-31.7526,-0.353111
0.08,-6.49998,-2.00387,0.0827278,0.116992,-9.58624e-05,0.670515,-0.523795,-0.408703,0.521165,0.0964217,3.14143,-2.1762,2.22768,-3.23302,3.27416,0.432697,-0.390337,-4.1508,4.19202,-3.11261,3.14488,-0.488888,0.526768,-5.44998,-2.00392,-7.80848,-0.40889,-7.77554,-3.66596,-4.89998,-2.00403,-7.29985,-0.618157,-7.30011,-3.38944,0.112627,0.43148,-0.494494,0.0733164,-0.00387432,-0.00846756,-9.58624e-05,-0.0765912,-0.523795,-0.621387,0.523402,-0.0472528,3.1414,-0.021719,2.22768,-0.226998,3.27488,-0.049455,-0.390317,-0.401329,4.19202,-0.033709,3.14482,-0.0512366,0.526809,-0.0479223,1.00556,0.0369889,-1.25696,1.26389,-1.05638,9.6805,-19.4677,9.7795,-1.85414,-5.21042,10.4784,-9.7784,4.75944,-0.599939,9.74322e-05,-0.000195969,-1.02426,0.827743,-25.8919,12.4688,0,12.7584,-1.03152,8.14298,-3.75633,3.71921,-0.216511,0.00826651,-0.00201758,-1.15235,-5.04077,-30.6718,15.6537,16.4378,2.8012,7.50855,-3.89064,-8.17289,4.36443,0.00973389,-0.0174458,0.00599141,0.0124899,1.4553,-1.45307,0.200573,0.47779,0.641218,0.746233,5.73991,4.82368,0.246411,2.09299,2.03008,1.17893,1.61093,1.7645,0.213977,0.191355,0.22656,-6.5,-2,-0.00387432,0,0,0,-3.46945e-18,-7.71139e-18,7.71139e-18,-4.51028e-17,-4.51028e-17,-4.58075e-17,5.07407e-17,5.12828e-17,6.90637e-17,0,-0.523795,-0.0955884,0.523401,-0.00944806,3.14159,2.22768,-0.0454001,3.27487,-0.00989101,-0.392699,4.19202,-0.00674155,3.1448,-0.0102473,0.523599,0,0,0,0.073172,-9.58624e-05,-0.523795,0.523402,3.1414,2.22768,3.27488,-0.390317,4.19202,3.14482,0.526809,0,-1.6347,0.872929,2.1626e-05,0.330667,0.00249797,0.291059,-0.290614,-0.000509373,0.0474074,0.0117992,1.00018,-4.86743,19.0072,0.939303,-2.7036,5.77756,0.0697757,21.9836,-2.39961,-0.204831
0.1,-6.49915,-2.00393,0.0890538,0.125708,-0.000111261,0.680896,-0.523991,-0.402548,0.520738,0.100599,3.14123,-2.17222,2.22781,-3.23004,3.27425,0.436123,-0.390209,-4.14434,4.19216,-3.10788,3.14435,-0.484206,0.526909,-5.44915,-2.00389,-7.80766,-0.409004,-7.7747,-3.66607,-4.89915,-2.00411,-7.299,-0.618204,-7.29931,-3.38948,0.118549,0.43442,-0.490442,0.0828895,-0.00393334,-0.00428653,-0.00015393,-0.0895368,-0.524034,-0.681372,0.523164,-0.0471664,3.14116,-0.0454686,2.22776,-0.236712,3.27496,-0.0494692,-0.390231,-0.113255,4.19212,-0.201063,3.14492,-0.051199,0.526909,-0.0480745,1.00706,0.0423102,-1.25884,1.26749,-1.28117,9.7884,-19.7113,9.90625,-1.92791,-5.31066,10.6945,-9.90393,4.78616,-0.654863,0.000160565,-0.000323414,-1.01374,0.584555,-25.9887,12.4695,0,12.7405,-0.890301,8.19381,-3.747,3.67907,-0.225209,0.00841225,-0.0020317,-1.13986,-0.383079,-30.1358,15.6977,15.4426,-0.299866,7.22673,-3.8994,-7.6762,4.13739,-0.219069,-0.0177389,0.00625838,0.0122216,1.37962,-1.37742,0.200723,0.316299,0.435802,0.519078,6.04238,5.03211,0.198909,2.24828,2.20669,0.323035,1.85406,2.00026,0.215242,0.18933,0.214824,-6.4991,-2,-0.00393334,0,4,0,-1.38778e-17,6.06476e-18,-2.99782e-17,-1.9082e-17,-2.08167e-17,-3.10624e-17,-1.04083e-17,-1.04083e-17,6.17995e-18,0,-0.524034,-0.1046,0.523161,-0.00942875,3.14159,2.22776,-0.0473425,3.27496,-0.00989385,-0.392699,4.19212,-0.0402144,3.1449,-0.0102398,0.523599,0,0,0,0.0826851,-0.00015393,-0.524034,0.523164,3.14116,2.22776,3.27496,-0.390231,4.19212,3.14492,0.526909,4.26693e-05,-1.53534,0.827514,1.75251e-05,0.108413,0.00244432,0.275924,-0.275484,-0.00933943,0.047418,0.0118027,1.00019,-9.37974,22.6619,1.02566,-4.17575,6.66507,0.0448807,-0.203176,5.38466,-0.193342
0.12,-6.49777,-2.00399,0.0934306,0.132137,-0.000127727,0.688923,-0.524203,-0.397381,0.520367,0.103661,3.14103,-2.16972,2.22792,-3.22843,3.27431,0.437977,-0.390095,-4.14207,4.19228,-3.10635,3.14432,-0.482482,0.527031,-5.44777,-2.00386,-7.80628,-0.409106,-7.77331,-3.66618,-4.89777,-2.00419,-7.29759,-0.618247,-7.29795,-3.38953,0.123552,0.435983,-0.489062,0.0891993,-0.00398986,-0.00123205,-0.00023441,-0.098419,-0.524309,-0.723086,0.522888,-0.047079,3.14088,-0.0494804,2.22782,-0.249488,3.27501,-0.0494841,-0.390179,-0.0656907,4.19218,-0.239805,3.14498,-0.0513159,0.526968,-0.0481934,1.00814,0.0462181,-1.26022,1.27018,-1.44316,9.86557,-19.8872,9.99876,-1.97456,-5.3819,10.8493,-9.99513,4.80463,-0.692384,0.000228647,-0.000461081,-1.00644,0.57693,-26.064,12.467,0,12.7535,-0.914287,8.23439,-3.73841,3.66113,-0.238609,0.00848123,-0.0020304,-1.13424,0.392468,-30.0188,15.7332,15.2745,-0.833229,7.15684,-3.90697,-7.59101,4.11263,-0.2702,-0.0182208,0.00648034,0.0124863,1.37139,-1.36913,0.200832,0.21884,0.321491,0.40135,6.2952,5.1849,0.12481,2.3347,2.30478,0.113797,1.93689,2.08813,0.21613,0.188443,0.213581,-6.49775,-2,-0.00398986,0,10,-3.46945e-18,6.93889e-18,-2.03288e-19,-4.77862e-17,2.94903e-17,2.77556e-17,1.91904e-17,-5.37764e-17,-5.37764e-17,-6.54858e-17,0,-0.524309,-0.110872,0.522887,-0.00940892,3.14159,2.22782,-0.0498977,3.27501,-0.00989681,-0.392699,4.19218,-0.0479633,3.14496,-0.0102632,0.523599,0,0,0,0.0889471,-0.00023441,-0.524309,0.522888,3.14088,2.22782,3.27501,-0.390179,4.19218,3.14498,0.526968,0.000106683,-1.5183,0.82256,1.75257e-05,0.0336262,0.00249727,0.274277,-0.273826,-0.0111888,0.047434,0.0118081,1.00019,-11.988,25.0083,1.11974,-5.97487,7.53479,0.0318245,-5.36416,7.30315,-0.201268
0.14,-6.49584,-2.00405,0.0966588,0.137383,-0.000143442,0.69588,-0.524427,-0.392562,0.520019,0.106194,3.14081,-2.16837,2.22804,-3.22767,3.2744,0.438909,-0.389973,-4.14124,4.19242,-3.10597,3.1444,-0.481878,0.527163,-5.44584,-2.00382,-7.80435,-0.409213,-7.77136,-3.66628,-4.89584,-2.00428,-7.29564,-0.618292,-7.29604,-3.38957,0.128242,0.4367,-0.488733,0.0935276,-0.00404741,0.00138239,-0.000335495,-0.104839,-0.524619,-0.755433,0.522578,-0.0469898,3.14057,-0.0503417,2.22785,-0.257953,3.27505,-0.0495146,-0.390142,-0.059232,4.19223,-0.251914,3.14503,-0.0514803,0.527016,-0.0482899,1.00894,0.0495721,-1.26123,1.27229,-1.57131,9.92581,-20.0259,10.073,-2.01041,-5.43729,10.9706,-10.0678,4.81902,-0.721161,0.000302003,-0.000609627,-1.00085,0.603765,-26.1132,12.4679,0,12.7508,-0.94639,8.26128,-3.73382,3.64747,-0.247283,0.00857262,-0.00204067,-1.12994,0.528936,-29.993,15.7625,15.2637,-0.943281,7.13426,-3.91312,-7.58387,4.12111,-0.287055,-0.0188273,0.00671984,0.0129109,1.37424,-1.3719,0.200911,0.16141,0.262296,0.347844,6.52963,5.31066,0.0674104,2.37836,2.35676,0.0413687,1.96238,2.12006,0.216826,0.187764,0.214053,-6.49595,-2,-0.00404741,0,18,-3.46945e-18,-1.38778e-17,-1.39998e-17,1.39862e-17,-3.81639e-17,-3.46945e-17,-3.33934e-17,6.245e-17,6.245e-17,6.49437e-17,0,-0.524619,-0.115743,0.522577,-0.00938847,3.14159,2.22785,-0.0515907,3.27505,-0.00990293,-0.392699,4.19223,-0.0503855,3.14501,-0.0102961,0.523599,0,0,0,0.0932385,-0.000335495,-0.524619,0.522578,3.14057,2.22785,3.27505,-0.390142,4.19223,3.14503,0.527016,0.000192053,-1.51687,0.824257,1.784e-05,-0.00713416,0.00258218,0.274848,-0.27438,-0.0117375,0.0474552,0.0118152,1.00019,-13.4788,26.6191,1.22319,-7.28565,8.12254,0.0226194,-7.14254,7.98464,-0.211187
0.16,-6.4935,-2.00411,0.0992838,0.142406,-0.000177109,0.70306,-0.524712,-0.387156,0.519628,0.108735,3.14053,-2.16794,2.22812,-3.22746,3.27446,0.438871,-0.389897,-4.1413,4.19248,-3.10605,3.14445,-0.482219,0.527224,-5.4435,-2.00378,-7.80198,-0.409289,-7.76905,-3.66635,-4.8935,-2.00439,-7.29325,-0.618329,-7.29374,-3.38961,0.133537,0.436901,-0.488826,0.0966674,-0.00411225,0.00391635,-0.00048658,-0.110026,-0.525022,-0.783587,0.522176,-0.0469336,3.14017,-0.0516122,2.22781,-0.261916,3.27501,-0.0495363,-0.390184,-0.0602789,4.19217,-0.256072,3.14497,-0.0516008,0.52696,-0.0483763,1.00954,0.0528293,-1.26201,1.27408,-1.68568,9.978,-20.1473,10.1393,-2.04115,-5.48533,11.0766,-10.1324,4.8316,-0.745933,0.000359804,-0.000727055,-0.99603,0.624979,-26.1437,12.4739,0,12.7265,-0.958853,8.27722,-3.73294,3.63323,-0.250797,0.00858725,-0.00203811,-1.12548,0.549249,-29.9942,15.7869,15.2968,-0.964449,7.12838,-3.91864,-7.59956,4.13565,-0.293599,-0.0191836,0.00685991,0.0131858,1.3791,-1.3767,0.200971,0.131249,0.251148,0.358969,6.79282,5.435,0.0215813,2.39299,2.35859,-0.00304528,1.9616,2.10324,0.217431,0.187047,0.214829,-6.49348,-2,-0.00411225,0,29,3.46945e-18,-6.93889e-18,-2.33103e-18,2.33103e-18,1.73472e-17,2.08167e-17,2.01662e-17,3.29597e-17,3.46945e-17,4.32597e-17,0,-0.525022,-0.119988,0.522173,-0.00937498,3.14159,2.22781,-0.0523834,3.27501,-0.00990727,-0.392699,4.19217,-0.0512169,3.14495,-0.0103202,0.523599,0,0,0,0.0963493,-0.00048658,-0.525022,0.522176,3.14017,2.22781,3.27501,-0.390184,4.19217,3.14497,0.52696,0.000309471,-1.52,0.827163,1.66079e-05,-0.0424999,0.00263717,0.275819,-0.27534,-0.011903,0.0474845,0.011825,1.0002,-13.9351,27.6855,1.35643,-8.25031,8.48775,0.0372119,-8.18271,8.32597,-0.190345
0.18,-6.4909,-2.00418,0.101615,0.14742,-0.000218206,0.71047,-0.524998,-0.381661,0.51923,0.111337,3.14025,-2.16803,2.22815,-3.22746,3.27449,0.438348,-0.389866,-4.14179,4.19244,-3.10618,3.14441,-0.48313,0.527188,-5.4409,-2.00376,-7.79933,-0.409342,-7.76652,-3.66637,-4.8909,-2.00453,-7.2906,-0.618367,-7.2912,-3.38965,0.138914,0.436892,-0.488965,0.0991998,-0.00418393,0.0069251,-0.000645135,-0.11435,-0.525425,-0.813281,0.521772,-0.046886,3.13976,-0.0522954,2.22772,-0.262411,3.27492,-0.0495437,-0.390272,-0.0618388,4.19201,-0.25617,3.14481,-0.051588,0.526805,-0.0484532,1.01004,0.0566867,-1.26266,1.27587,-1.80277,10.0313,-20.2729,10.2102,-2.08043,-5.53489,11.1869,-10.2016,4.84555,-0.771878,0.000412697,-0.000834875,-0.991117,0.661246,-26.1608,12.4868,0,12.6761,-0.965377,8.28474,-3.73591,3.6164,-0.250244,0.0085414,-0.00202617,-1.12024,0.567271,-30.011,15.8091,15.3605,-0.966935,7.13352,-3.92442,-7.63171,4.15313,-0.294963,-0.018918,0.00677079,0.0130503,1.38493,-1.38256,0.201021,0.116538,0.250667,0.370509,7.06052,5.56204,-0.00452064,2.39414,2.33451,-0.0242826,1.95289,2.05799,0.218087,0.186189,0.215748,-6.491,-2,-0.00418393,0,40,3.46945e-18,0,-1.76183e-17,4.18502e-17,1.56125e-17,1.21431e-17,8.94467e-18,-7.11237e-17,-7.11237e-17,-7.68699e-17,0,-0.525425,-0.124465,0.52177,-0.00936321,3.14159,2.22772,-0.0524822,3.27492,-0.00990873,-0.392699,4.19201,-0.0512364,3.1448,-0.0103176,0.523599,0,0,0,0.0988568,-0.000645135,-0.525425,0.521772,3.13976,2.22772,3.27492,-0.390272,4.19201,3.14481,0.526805,0.000426928,-1.52643,0.830657,1.56491e-05,-0.0633601,0.00261006,0.276986,-0.276512,-0.0119,0.0475137,0.0118348,1.0002,-14.3822,28.7806,1.49002,-8.75083,8.62803,0.0654831,-8.66938,8.43691,-0.140999
