t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,,al1211,al1212u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,b4,b5,b6,b7,b8,b9,b10,b11,b12
0,-6.50009,-2.00168,0,0,-3.26765e-05,0.523599,-0.523603,-0.5236,0.523594,-4.12713e-05,3.14159,-2.61799,2.22618,-3.27337,3.27337,0.392486,-0.391819,-3.66519,4.19003,-3.14283,3.14283,-0.523717,0.524845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02,-6.50009,-2.00168,0.0169645,0.032446,-3.26765e-05,0.572759,-0.523603,-0.469721,0.523593,0.0401273,3.14161,-2.16744,2.22618,-3.17754,3.28169,0.459991,-0.391811,-4.39395,4.19003,-0.942332,3.12505,4.79717,0.52483,-5.45009,-2.00173,-7.80836,-0.405982,-7.7761,-3.66289,-4.90009,-2.00173,-7.30004,-0.616011,-7.30013,-3.38729,0.0538519,0.495952,1.65789,0,-0.00167761,-0.0474483,-3.26765e-05,-0.0468667,-0.523603,-0.0476815,0.523594,-0.0473621,3.14159,-3.44254,2.22618,2.03976,3.27337,-0.0475916,-0.391819,4.40644,4.19003,-2.26967,3.14283,-0.0474044,0.524845,-0.0474112,1.00008,-0.0118502,-1.2501,1.2501,-0.00626662,8.8896,-17.7792,8.88991,-0.0181872,-4.4448,8.88961,-8.88992,4.44527,-0.0121541,2.61539e-05,-5.23108e-05,-1.11124,-27.9077,-22.3112,14.0953,0,6.25608,10.3572,5.95098,-4.78289,0.891287,0.571678,0.0024607,-0.00107076,-0.276128,34.2502,-23.1016,15.4085,5.12138,0.109291,3.82715,-3.83818,-2.55519,-0.00805412,0.010921,-0.00502249,0.00251401,0.00166873,-0.00268489,0.00268314,0.200016,0.848223,1.6223,2.45803,2.69395,2.00843,22.5277,4.79142,3.37522,-36.4381,110.025,266.044,0,0,-0,-6.5,-2,-0.00167761,0,0,-0,-0,-0,0,-0,0,0,0,0,0,0,-0.523603,-0.0095226,0.523594,-0.00947242,3.14159,2.22618,0.407952,3.27337,-0.00951832,-0.392699,4.19003,-0.453925,3.14284,-0.00948088,0.523599,0,0,0,0,-3.26765e-05,-0.523603,0.523594,3.14159,2.22618,3.27337,-0.391819,4.19003,3.14283,0.524845,0,-0.511027,-0.0016108,1.04492e-08,0.0925749,0.000333745,-0.000536978,0.000536627,0.000400496,0.0474074,0.0117992,1.00008,29.2595,-10.6383,0.76185,223.31,-82.7401,0.365137,-278.832,91.8624,0.357623
0.04,-6.50011,-2.00193,0.0296412,0.0543735,-4.01421e-05,0.602834,-0.523604,-0.451836,0.522709,0.0567219,3.14161,-2.20777,2.22633,-3.26393,3.27163,0.393793,-0.391652,-4.27293,4.19024,-3.15595,3.15328,-0.528333,0.525054,-5.45011,-2.00199,-7.8084,-0.406307,-7.77607,-3.66323,-4.90011,-2.00199,-7.30005,-0.616255,-7.30016,-3.38754,0.0708515,0.399349,-0.527716,0.0169676,-0.00192788,-0.0280917,-4.01421e-05,-0.035266,-0.523604,-0.272347,0.523594,-0.0473629,3.14159,0.716767,2.22633,-0.523209,3.27353,-0.0484984,-0.39166,-5.19171,4.19024,2.51244,3.14305,-0.0511108,0.525057,-0.0474386,1.00038,0.0123303,-1.25048,1.25143,-0.254393,9.15223,-18.3184,9.17899,-0.94216,-4.7061,9.41941,-9.17901,4.58174,-0.254902,2.64417e-05,-5.29275e-05,-1.0805,10.4054,-25.966,12.2932,0,14.4384,-8.89644,8.19911,-3.67257,4.45341,-0.668708,0.00370512,-0.000878223,-1.37973,-126.879,-39.5602,15.4834,40.3238,107.804,12.0291,-3.86854,-20.1112,8.40749,7.13338,-0.0121586,0.00296913,0.0153826,2.80272,-2.80057,0.200047,0.633837,1.09637,1.50373,3.58825,2.83823,-2.01634,0.479967,0.0671089,6.05137,-0.645083,-0.229898,0.206146,0.229359,0.436797,-6.5,-2,-0.00192788,0,0,0,-1.21431e-17,-8.98448e-18,-1.39066e-17,1.04083e-17,6.93889e-18,1.32544e-17,1.38778e-17,0,-2.1684e-18,0,-0.523604,-0.0432224,0.523594,-0.00947231,3.14159,2.22633,-0.104642,3.27353,-0.00969968,-0.392699,4.19024,0.502479,3.14305,-0.0102222,0.523599,0,0,0,0.0169645,-4.01421e-05,-0.523604,0.523594,3.14159,2.22633,3.27353,-0.39166,4.19024,3.14305,0.525057,0,-4.02216,1.68148,-1.0906e-05,5.89927,0.00307653,0.560543,-0.560114,0.284445,0.0474074,0.0117992,1.00009,12.5235,1.80285,0.81051,-49.1527,19.4641,0.575769,371.135,-126.053,-1.07105
0.06,-6.50011,-2.002,0.0379235,0.0681487,-4.21789e-05,0.620933,-0.523604,-0.441794,0.522203,0.0659796,3.14162,-2.21549,2.22638,-3.26318,3.27309,0.395196,-0.391609,-4.20493,4.1903,-3.14131,3.14631,-0.521929,0.525111,-5.45011,-2.00206,-7.80841,-0.406396,-7.77606,-3.66333,-4.90011,-2.00206,-7.30005,-0.616322,-7.30017,-3.3876,0.0803865,0.401516,-0.520111,0.0296527,-0.00199613,-0.0164857,-4.21789e-05,-0.04483,-0.523604,-0.401695,0.523594,-0.0473634,3.14159,0.119524,2.22638,-0.169157,3.27358,-0.0483924,-0.391616,-1.69344,4.1903,0.754542,3.1431,-0.0498968,0.525115,-0.0474946,1.00097,0.0268328,-1.25122,1.25382,-0.565888,9.32501,-18.6888,9.37716,-1.30735,-4.87624,9.77278,-9.37718,4.65091,-0.387563,2.6624e-05,-5.33623e-05,-1.06045,2.46101,-25.4881,12.5609,0,12.6143,-1.89809,7.90159,-3.83019,3.86642,-0.156915,0.00374457,-0.000969823,-1.19787,-30.4973,-33.5114,15.494,22.3001,22.0171,9.00607,-3.8657,-11.1209,5.43982,1.43573,-0.0102328,0.00308315,0.00883802,1.81342,-1.81198,0.200107,0.414114,0.688761,0.904935,4.09036,3.30114,-0.385931,0.519676,0.137846,3.39996,0.0895674,0.090638,0.209228,0.199098,0.282576,-6.5,-2,-0.00199613,0,0,1.73472e-18,-3.46945e-18,-4.31817e-18,2.75489e-17,-2.77556e-17,-2.60209e-17,-1.76725e-17,-1.73472e-17,-2.77556e-17,-4.04407e-17,0,-0.523604,-0.0626245,0.523593,-0.00947226,3.14159,2.22638,-0.0338315,3.27357,-0.00967848,-0.392699,4.1903,0.150905,3.14311,-0.00997937,0.523599,0,0,0,0.0296412,-4.21789e-05,-0.523604,0.523594,3.14159,2.22638,3.27358,-0.391616,4.1903,3.1431,0.525115,0,-2.22414,1.08795,-7.05608e-06,1.18373,0.0017676,0.362684,-0.362396,0.0570064,0.0474074,0.0117992,1.00009,1.83712,9.66082,0.837069,-9.87135,4.54477,0.458332,113.142,-37.3517,0.0282381
0.08,-6.49982,-2.00214,0.0443393,0.0779104,-4.3549e-05,0.63762,-0.523796,-0.407342,0.522631,0.0695668,3.14161,-2.21429,2.22658,-3.26082,3.27357,0.396973,-0.391408,-4.18338,4.19045,-3.13217,3.14385,-0.524346,0.525286,-5.44982,-2.0021,-7.80816,-0.406636,-7.77575,-3.66352,-4.89982,-2.00221,-7.29976,-0.616465,-7.29988,-3.38775,0.115275,0.404157,-0.513602,0.0379348,-0.00214093,-0.00956989,-5.42158e-05,-0.057175,-0.523807,-0.242675,0.523391,0.00401548,3.14138,-0.0110618,2.22657,-0.0995731,3.27377,-0.0457361,-0.391432,-0.410361,4.19043,0.104019,3.14324,-0.0326944,0.525222,-0.0475504,1.00154,0.0354924,-1.25193,1.25595,-0.821582,9.4346,-18.9298,9.50451,-0.422062,-4.56839,9.16614,-8.95754,4.43258,-0.289069,0.0389377,-0.0781311,-1.08677,0.931525,-25.4099,12.6216,0,12.188,-0.631474,7.85337,-3.86308,3.71567,-0.0734331,-0.00658883,0.00173348,-1.14888,-5.50644,-31.3304,15.5165,17.3222,3.64147,7.91012,-3.8684,-8.63627,4.36558,0.205053,0.0689972,-0.0227393,-0.0505675,1.46507,-1.47382,0.200164,0.320793,0.488087,0.834382,3.24936,3.27856,0.0599952,0.647908,0.350394,1.0772,0.553931,0.546515,0.205047,0.191333,0.226777,-6.49978,-2,-0.00214093,0,1,-3.46945e-18,-3.46945e-18,-1.73472e-18,1.96241e-17,4.77049e-18,4.77049e-18,1.68051e-17,1.99493e-17,1.73472e-17,3.90313e-17,0,-0.523807,-0.0404516,0.523389,0.00104532,3.14159,2.22657,-0.0199149,3.27376,-0.00914721,-0.392699,4.19043,0.0208058,3.14322,-0.00653889,0.523599,0,0,0,0.0379128,-5.42158e-05,-0.523807,0.523391,3.14138,2.22657,3.27377,-0.391432,4.19043,3.14324,0.525222,1.06668e-05,-1.72738,0.873158,2.15501e-05,0.278147,-0.0101135,0.293014,-0.294764,0.0104091,0.0474101,0.0118001,1.0001,2.94968,6.8957,0.0861816,-1.22642,1.6152,0.342401,25.5448,-6.83639,-0.0483897
0.1,-6.49893,-2.00285,0.0552632,0.092204,-0.000172119,0.663458,-0.524681,-0.335466,0.523769,0.0666499,3.14112,-2.20628,2.22722,-3.25018,3.2742,0.395248,-0.390692,-4.1684,4.19003,-3.09822,3.14278,-0.565621,0.525329,-5.44893,-2.00253,-7.80722,-0.407563,-7.77516,-3.66391,-4.89893,-2.00312,-7.29869,-0.61707,-7.29916,-3.38835,0.188776,0.414717,-0.480768,0.044321,-0.00284845,-0.00550595,-0.000225456,-0.0283784,-0.524734,0.265416,0.522463,0.126706,3.14046,-0.0303747,2.22716,-0.100059,3.27436,-0.0199346,-0.39084,-0.105425,4.18997,-0.0601748,3.14278,0.108726,0.524743,-0.0476119,1.0021,0.0406038,-1.25265,1.25778,-0.632198,9.53927,-19.1568,9.65518,1.42473,-3.60755,7.24455,-7.70461,3.98867,0.145759,0.19063,-0.382902,-1.12822,0.753053,-25.4206,12.6159,0,12.1102,-0.503308,7.87001,-3.86153,3.67882,-0.0992656,-0.109289,0.0286189,-1.11659,-0.335653,-30.7508,15.5291,16.2412,0.252866,7.62711,-3.87381,-8.10321,4.12332,-0.23865,0.755876,-0.255461,-0.53264,1.4656,-1.57986,0.200223,0.546193,0.714677,1.29191,-0.204028,1.33212,0.400216,1.2118,1.44215,0.749242,2.23058,3.26512,0.195923,0.189418,0.214191,-6.49888,-2,-0.00284845,0,5,1.73472e-18,-6.93889e-18,-6.93889e-18,-1.47451e-17,-2.68882e-17,-2.68882e-17,-3.55618e-17,-2.34188e-17,-2.3744e-17,-3.1225e-17,0,-0.524734,0.0464599,0.522465,0.0243952,3.14159,2.22716,-0.0200122,3.27435,-0.00398692,-0.392699,4.18997,-0.0120394,3.14274,0.0217452,0.523599,0,0,0,0.044286,-0.000225456,-0.524734,0.522463,3.14046,2.22716,3.27436,-0.39084,4.18997,3.14278,0.524743,5.33374e-05,-1.62084,0.824735,4.16695e-05,0.29357,-0.106528,0.29312,-0.315973,0.0365103,0.0474207,0.0118036,1.00014,22.1405,-9.4226,-1.52414,3.37277,1.69082,-0.216954,9.04171,5.41453,-2.28838
0.12,-6.49754,-2.00402,0.0735061,0.116095,-0.000557535,0.699714,-0.525934,-0.254088,0.524914,0.072203,3.1403,-2.19017,2.22782,-3.22418,3.27469,0.378857,-0.389831,-4.14727,4.18888,-3.04503,3.1413,-0.626502,0.524891,-5.44754,-2.00362,-7.80544,-0.40874,-7.77462,-3.66422,-4.89755,-2.00491,-7.29677,-0.617933,-7.29832,-3.38921,0.272118,0.440331,-0.428627,0.0552123,-0.00401956,-0.00169537,-0.000674888,0.0485103,-0.526051,0.858105,0.521146,0.267479,3.13914,-0.029145,2.22771,-0.13161,3.2749,0.0544401,-0.39029,-0.00163008,4.18876,-0.142318,3.14156,0.316939,0.523533,-0.0477322,1.00324,0.0454344,-1.25413,1.26088,0.0384833,9.70933,-19.5239,9.92776,3.11861,-2.45273,4.93077,-6.21712,3.74593,0.624283,0.463658,-0.932762,-1.07534,0.821843,-25.5187,12.578,0,12.1764,-0.643213,7.93704,-3.83758,3.66393,-0.203172,-0.408799,0.105011,-1.06038,1.37882,-30.3821,15.5465,15.7456,-0.923459,7.46191,-3.88586,-7.87163,4.05392,-0.811983,1.76397,-0.60594,-1.22564,1.56171,-1.90315,0.200343,0.912144,1.19456,1.81277,-5.46713,-1.48115,0.805509,2.5418,4.08726,1.05658,4.83217,6.31801,0.192494,0.188579,0.210522,-6.49753,-2,-0.00401956,0,11,0,1.38778e-17,1.38778e-17,2.77556e-17,-4.51028e-17,-4.59702e-17,-4.85723e-17,5.46438e-17,5.29091e-17,2.77556e-17,0,-0.526051,0.167855,0.521142,0.0507931,3.14159,2.22771,-0.0263224,3.2749,0.010888,-0.392699,4.18876,-0.0284745,3.14153,0.0633877,0.523599,0,0,0,0.0551458,-0.000674888,-0.526051,0.521146,3.13914,2.22771,3.2749,-0.39029,4.18876,3.14156,0.523533,0.000117353,-1.57448,0.810843,4.51107e-05,0.425214,-0.245128,0.312343,-0.38063,0.144554,0.0474366,0.011809,1.00019,50.4995,-29.0643,-2.92708,6.53941,4.62256,-1.35381,5.36228,17.0449,-5.77265
0.14,-6.49589,-2.00545,0.0986522,0.148794,-0.00101207,0.746034,-0.526292,-0.180351,0.526456,0.143785,3.14022,-2.16724,2.22845,-3.19019,3.27503,0.357756,-0.388894,-4.12255,4.18836,-2.99172,3.14032,-0.675383,0.524996,-5.44589,-2.00558,-7.80328,-0.410124,-7.77374,-3.66505,-4.89589,-2.00707,-7.29449,-0.618998,-7.29729,-3.39028,0.347478,0.473739,-0.376394,0.0734646,-0.00544817,0.00500758,-0.00120413,0.1274,-0.526484,1.33688,0.520713,0.340536,3.1387,0.00238744,2.22826,-0.201549,3.27546,0.146321,-0.389738,0.132143,4.18817,-0.258999,3.14097,0.502237,0.522947,-0.0479749,1.00565,0.0539831,-1.25724,1.26721,0.711763,9.96641,-20.0924,10.3356,4.45715,-1.48482,2.98996,-4.97485,3.79468,0.882914,0.70264,-1.41744,-0.953417,1.30645,-25.7452,12.518,0,12.3761,-1.16725,8.07422,-3.79062,3.66288,-0.335308,-0.787174,0.194913,-1.0124,3.52005,-29.9435,15.6224,15.1451,-2.40157,7.23398,-3.90815,-7.57817,3.97399,-1.6468,2.65945,-0.936892,-1.81425,1.64158,-2.26243,0.200591,1.2573,1.63494,2.316,-10.0951,-1.98168,1.14648,4.27296,7.50811,1.23571,7.47251,8.54601,0.196888,0.188388,0.20624,-6.49595,-2,-0.00544817,0,18,0,0,0,-6.93889e-18,-3.64292e-17,-3.46945e-17,-3.46945e-17,-2.77556e-17,-2.94903e-17,-1.38778e-17,0,-0.526484,0.267249,0.52071,0.0661251,3.14159,2.22826,-0.0403106,3.27545,0.0292643,-0.392699,4.18817,-0.0518171,3.14094,0.100447,0.523599,0,0,0,0.073314,-0.00120413,-0.526484,0.520713,3.1387,2.22826,3.27546,-0.389738,4.18817,3.14097,0.522947,0.000192053,-1.51576,0.794851,5.1277e-05,0.525409,-0.36285,0.328315,-0.452486,0.296523,0.0474552,0.0118152,1.00026,73.1418,-45.3726,-3.26681,7.28919,9.45029,-2.55063,-1.61974,29.6412,-9.30993
0.16,-6.49378,-2.00755,0.134465,0.194562,-0.0016208,0.807469,-0.52658,-0.107218,0.52736,0.265727,3.14013,-2.13465,2.22924,-3.14899,3.27543,0.340784,-0.387792,-4.09113,4.18723,-2.93637,3.13869,-0.7044,0.524341,-5.44378,-2.0085,-7.80049,-0.412143,-7.77278,-3.66612,-4.89378,-2.01014,-7.29153,-0.62061,-7.29602,-3.39189,0.421606,0.514236,-0.322018,0.0987071,-0.00754623,0.0141428,-0.00191959,0.21391,-0.526879,1.65281,0.520318,0.375239,3.13832,0.0474955,2.22894,-0.299739,3.27613,0.236336,-0.389052,0.239067,4.18693,-0.38193,3.13974,0.644592,0.521715,-0.0484149,1.0101,0.0658095,-1.26298,1.2783,1.4855,10.3319,-20.9173,10.9283,5.38011,-0.77725,1.56683,-4.08411,4.02928,0.959859,0.88246,-1.78816,-0.844058,2.01574,-26.1111,12.4435,0,12.696,-1.92196,8.28623,-3.72264,3.66358,-0.450796,-1.17468,0.275083,-0.983049,5.18805,-29.5079,15.7461,14.6097,-3.63933,7.006,-3.94708,-7.32459,3.93017,-2.51566,3.31261,-1.2008,-2.228,1.70805,-2.59211,0.201043,1.79063,2.28838,3.07176,-12.6008,0.755473,1.62968,6.37239,11.2187,1.57125,10.1833,10.1401,0.20671,0.188213,0.203758,-6.4937,-2,-0.00754623,0,28,-3.46945e-18,-1.38778e-17,-1.38778e-17,-5.55112e-17,3.46945e-17,3.46945e-17,3.46945e-17,5.0307e-17,5.20417e-17,4.16334e-17,0,-0.526879,0.323478,0.520322,0.0754154,3.14159,2.22894,-0.0599461,3.27614,0.0472673,-0.392699,4.18693,-0.0764045,3.13971,0.128918,0.523599,0,0,0,0.0983534,-0.00191959,-0.526879,0.520318,3.13832,2.22894,3.27613,-0.389052,4.18693,3.13974,0.521715,0.000298795,-1.46501,0.786074,4.65547e-05,0.702998,-0.4456,0.341609,-0.518422,0.536123,0.0474818,0.0118241,1.00036,89.4496,-56.4057,-2.6353,10.1209,13.9541,-3.38436,-5.56161,40.9049,-12.3914
0.18,-6.49109,-2.01087,0.18842,0.260267,-0.002335,0.886083,-0.528608,-0.0257936,0.525626,0.355238,3.13836,-2.08368,2.23068,-3.09357,3.27634,0.331138,-0.386029,-4.04571,4.18529,-2.87073,3.13616,-0.713455,0.522751,-5.44108,-2.01185,-7.79711,-0.415631,-7.77161,-3.66794,-4.89109,-2.01461,-7.28785,-0.623366,-7.29432,-3.39464,0.503061,0.568797,-0.257321,0.134916,-0.0108732,0.0267402,-0.00276193,0.299153,-0.529035,1.73927,0.518163,0.422695,3.13616,0.099719,2.23026,-0.434579,3.27745,0.328845,-0.387739,0.3276,4.18486,-0.527578,3.13767,0.754089,0.51964,-0.0492497,1.01871,0.0825719,-1.27408,1.29872,2.3083,10.901,-22.2294,11.8541,5.69107,-0.420986,0.84815,-3.68884,4.32681,0.956929,1.06252,-2.1692,-0.7959,2.91844,-26.719,12.3471,0,13.2048,-2.90862,8.63122,-3.61984,3.65704,-0.548098,-1.60799,0.343934,-0.968794,6.54506,-29.0807,15.97,14.0959,-4.80228,6.76844,-4.01822,-7.09066,3.9204,-3.39908,3.75607,-1.41072,-2.49607,1.76598,-2.8765,0.201914,2.69777,3.28527,3.93068,-12.0229,4.36334,2.54862,9.21528,15.5925,2.27108,13.3682,11.6657,0.21872,0.187451,0.20283,-6.491,-2,-0.0108732,0,40,6.93889e-18,6.93889e-18,1.38778e-17,6.93889e-18,-6.93889e-18,-3.46945e-18,6.93889e-18,1.38778e-17,1.38778e-17,4.16334e-17,0,-0.529035,0.331637,0.518165,0.0875486,3.14159,2.23026,-0.0869158,3.27745,0.065769,-0.392699,4.18486,-0.105544,3.13763,0.150818,0.523599,0,0,0,0.134038,-0.00276193,-0.529035,0.518163,3.13616,2.23026,3.27745,-0.387739,4.18486,3.13767,0.51964,0.000426928,-1.41823,0.784128,6.43875e-05,1.0473,-0.499214,0.353197,-0.575301,0.963724,0.0475137,0.0118348,1.00052,101.154,-58.5435,-0.955856,20.7774,16.4078,-3.53112,-4.29826,51.9224,-15.6171
