t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,,al1211,al1212u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,b4,b5,b6,b7,b8,b9,b10,b11,b12
0,-6.50151,-6.50461,0,0,-0.00206179,0.523599,-0.523078,-0.523602,0.524119,0.000755824,3.14211,-2.22529,2.22572,-3.27292,3.27292,0.396196,-0.392286,-4.18879,4.18808,-3.14088,3.14088,-0.523752,0.522799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02,-6.50151,-6.50461,0,0.00454625,-0.00206179,0.527036,-0.523078,-0.526318,0.524036,0.0160672,3.14208,-2.22894,2.22572,-3.27853,3.27294,0.392521,-0.392307,-4.19061,4.18808,-3.14187,3.14093,-0.5305,0.522817,-5.45151,-6.5082,-7.80687,-4.90706,-7.78092,-8.16319,-4.90151,-6.50791,-7.29865,-5.11733,-7.30436,-7.8886,-0.0027654,0.386718,-0.523751,0,0,-0.00257723,-0.00206179,0.041279,-0.523078,-0.0206554,0.524119,-0.000846854,3.14211,-0.0205775,2.22572,0.00466648,3.27292,-0.00470568,-0.392286,-0.0427944,4.18808,0.0134595,3.14088,0.00122936,0.522799,-0,1,-0.00322154,-1.25,1.25,0.412737,8.88879,-17.7777,8.91263,-0.483107,-4.44442,8.88889,-8.91266,4.48016,-0.0220601,-0.000483694,0.000970876,-1.11408,-0.293474,-25.2362,12.5908,0,12.6638,0.188139,7.75385,-3.86711,3.87924,0.0115727,0.017565,-0.00467103,-1.20538,-0.696424,-30.8279,15.4319,15.4152,0.392356,7.72127,-3.86276,-7.71711,3.87233,0.0159734,0.00636012,-0.00212802,-0.00423824,1.29089,-1.2916,0.2,0,0.227313,0.171857,-0.135781,0.76557,-0.18209,-0.280402,-0.183741,-0.0911764,-0.0493639,-0.337415,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,-0,0,-0.523078,-0.00309829,0.52412,-0.000169824,3.14159,2.22572,0.000933377,3.27291,-0.000941136,-0.392699,4.18808,0.00269262,3.14079,0.000245872,0.523599,0,0,0,0,-0.00206179,-0.523078,0.524119,3.14211,2.22572,3.27292,-0.392286,4.18808,3.14088,0.522799,0,-1.54388,0.774621,7.74633e-05,-0.159944,-0.000847649,0.258178,-0.25832,0.000542191,0,0,1,3.13428,-1.133,-1.00411,-2.63497,0.442674,-0.113671,-1.91801,0.139997,0.372468
0.04,-6.50298,-6.50576,0,0.010147,-0.00296275,0.536184,-0.523163,-0.517032,0.523961,0.0216393,3.14199,-2.23585,2.22711,-3.2891,3.27434,0.392187,-0.390917,-4.19417,4.18756,-3.14269,3.14044,-0.535082,0.522366,-5.45299,-6.51073,-7.80738,-4.9082,-7.78375,-8.16341,-4.90299,-6.5105,-7.29887,-5.11775,-7.30708,-7.88902,0.00653106,0.376154,-0.524615,0,0,0.0019794,-0.00296275,0.00628976,-0.523163,-0.0185125,0.524035,0.000862929,3.14202,-0.00309359,2.22711,0.00802192,3.27431,-0.00178939,-0.390885,-0.022664,4.18756,0.0174823,3.14037,0.00161418,0.522338,-0,1,0.00247427,-1.25001,1.25002,0.0207619,8.90643,-17.8131,8.9104,-0.120727,-4.4621,8.92442,-8.9106,4.45886,-0.0215056,0.000493455,-0.000992035,-1.10936,-0.0138964,-25.1467,12.5611,0,12.5471,0.0472601,7.73429,-3.86954,3.86894,0.0117691,0.00665742,-0.00176629,-1.19884,-0.320516,-30.8873,15.4427,15.5265,0.236497,7.75872,-3.86897,-7.77976,3.87918,0.020639,0.00835742,-0.00279366,-0.00559522,1.29305,-1.29398,0.2,0,0.280039,0.457423,0.329307,1.12122,-0.345627,-0.739739,-0.00958336,-0.177658,-0.115986,-0.574804,0.200647,0.199268,0.201568,0,0,0,0,0,5.42101e-20,-3.68629e-18,-3.21195e-18,3.13063e-18,-1.0842e-19,0,9.6494e-18,5.42101e-19,7.58942e-19,8.45678e-18,0,-0.523163,-0.00277694,0.524023,0.000173001,3.14159,2.22711,0.00160439,3.27431,-0.000357879,-0.392699,4.18756,0.00349683,3.14033,0.000322836,0.523599,0,0,0,0,-0.00296275,-0.523163,0.524035,3.14202,2.22711,3.27431,-0.390885,4.18756,3.14037,0.522338,0,-1.55613,0.775896,3.02071e-05,-0.207222,-0.00111904,0.25861,-0.258796,0.000669094,0,0,1,6.03679,-1.72741,-0.878347,-4.14432,0.680885,-0.873198,-3.69065,0.3374,0.594803
0.06,-6.50304,-6.5058,0,0.0146489,-0.00298525,0.54484,-0.523162,-0.510274,0.523836,0.0284009,3.14199,-2.24083,2.22716,-3.29315,3.27452,0.388953,-0.390863,-4.19829,4.18756,-3.14604,3.14045,-0.53844,0.52236,-5.45304,-6.51081,-7.80742,-4.90825,-7.78384,-8.16343,-4.90304,-6.51058,-7.2989,-5.11778,-7.30717,-7.88905,0.0131626,0.37223,-0.527943,0,0,0.00895262,-0.00298525,-0.011644,-0.523162,-0.0501641,0.524036,0.00085702,3.14202,-0.0181209,2.22716,0.0388241,3.27436,-0.00182752,-0.390832,0.00785243,4.18756,0.0237747,3.14036,0.001629,0.52233,-0,1,0.0111911,-1.25003,1.25012,-0.26462,8.95359,-17.9088,8.94904,-0.0376631,-4.50912,9.01939,-8.94924,4.46695,-0.0562722,0.000493215,-0.00099164,-1.10224,-0.109082,-25.0718,12.5987,0,12.2967,0.250238,7.68935,-3.89305,3.81525,0.0481158,0.00686312,-0.00184479,-1.18222,0.26008,-30.9843,15.4448,15.72,-0.00357331,7.80728,-3.86963,-7.87683,3.8899,0.0286452,0.008446,-0.00281207,-0.00570119,1.29663,-1.29756,0.2,0,0.225091,0.432763,0.667189,1.4593,-0.248935,-0.939471,-0.17125,-0.206274,-0.28392,-0.742708,0.201011,0.196502,0.202125,0,0,0,0,0,-4.33681e-19,-2.60209e-18,-2.35814e-18,-4.22568e-17,2.1684e-19,8.67362e-19,3.08998e-18,8.67362e-19,1.30104e-18,-3.1984e-18,0,-0.523162,-0.00752476,0.524024,0.00017253,3.14159,2.22716,0.00776486,3.27436,-0.000365504,-0.392699,4.18756,0.00475547,3.14032,0.000325799,0.523599,0,0,0,0,-0.00298525,-0.523162,0.524036,3.14202,2.22716,3.27436,-0.390832,4.18756,3.14036,0.52233,0,-1.57555,0.778041,3.02908e-05,-0.174299,-0.00114024,0.259325,-0.259513,0.00101921,0,0,1,4.57123,-0.0142116,-0.872754,-1.36133,-0.793307,-0.906432,-3.763,-0.0763831,0.596749
0.08,-6.50322,-6.50613,0,0.0186137,-0.00316051,0.552399,-0.523194,-0.506005,0.523494,0.0340832,3.14191,-2.24602,2.22786,-3.29975,3.27528,0.387906,-0.390164,-4.20243,4.188,-3.14999,3.14094,-0.541878,0.522824,-5.45323,-6.5114,-7.80751,-4.9088,-7.78414,-8.16384,-4.90323,-6.51119,-7.29884,-5.11797,-7.3076,-7.88924,0.0171696,0.365692,-0.531873,0,0,0.0143617,-0.00316051,-0.0119519,-0.523194,-0.128159,0.524003,-0.0155814,3.14198,-0.0158713,2.22786,0.0541559,3.27506,-0.000548654,-0.390126,0.0164416,4.188,0.0362322,3.1408,0.00835494,0.522777,-0,1,0.0179528,-1.25005,1.25026,-0.366171,8.99861,-18.0008,8.99708,-0.330043,-4.62293,9.24857,-9.08915,4.53534,-0.121249,-0.00862832,0.0173587,-1.09045,-0.00825905,-25.0012,12.6085,0,12.1296,0.266908,7.66175,-3.90725,3.78617,0.0641061,0.00206685,-0.000558958,-1.17171,0.480066,-31.1146,15.4637,15.9372,-0.0439324,7.85951,-3.87163,-7.97957,3.91125,0.0357767,0.0433317,-0.0143826,-0.0294829,1.30795,-1.31283,0.2,0,0.198244,0.377946,1.32052,1.42974,-0.25962,-1.23445,-0.134432,-0.206704,-0.459686,-0.63563,0.203043,0.194985,0.203235,0,0,0,0,0,4.33681e-19,6.93889e-18,4.11997e-18,1.79978e-17,-4.33681e-19,-4.33681e-19,-1.8567e-18,2.1684e-18,2.1684e-18,1.84314e-17,0,-0.523194,-0.019028,0.523987,-0.00316986,3.14159,2.22786,0.010831,3.27507,-0.000109731,-0.392699,4.188,0.00724696,3.14077,0.00167099,0.523599,0,0,0,0,-0.00316051,-0.523194,0.524003,3.14198,2.22786,3.27506,-0.390126,4.188,3.1408,0.522777,0,-1.59606,0.782299,2.42806e-05,-0.155169,-0.00589658,0.261591,-0.262567,0.000860816,0,0,1,1.65259,2.68231,-0.132674,-0.41597,-1.44482,-1.28832,-3.14571,-0.387861,0.239321
0.1,-6.50307,-6.5065,0,0.0221516,-0.00333575,0.559375,-0.523288,-0.499864,0.523247,0.0386062,3.1418,-2.25054,2.22831,-3.30499,3.2758,0.386198,-0.389725,-4.20653,4.18865,-3.1548,3.14165,-0.544341,0.523489,-5.45308,-6.51199,-7.80721,-4.90925,-7.78405,-8.16437,-4.90308,-6.51183,-7.29844,-5.11819,-7.30769,-7.88946,0.0231781,0.360542,-0.536637,0,0,0.0191,-0.00333575,-0.0129956,-0.523288,-0.167066,0.52391,-0.0263669,3.14189,-0.0252701,2.22831,0.0745843,3.27551,0.000559367,-0.389685,0.019337,4.18865,0.0494815,3.14145,0.0144841,0.523431,-0,1,0.0238764,-1.25007,1.25043,-0.463037,9.03831,-18.0826,9.0401,-0.447888,-4.67277,9.34979,-9.14576,4.56085,-0.149166,-0.014564,0.0293136,-1.08463,-0.0557509,-24.9349,12.6251,0,11.9587,0.390075,7.63133,-3.92287,3.75056,0.0858148,-0.0021182,0.000577118,-1.1595,0.600772,-31.2532,15.4892,16.1537,-0.0334763,7.90996,-3.87393,-8.07883,3.93393,0.0447276,0.0751491,-0.0248796,-0.0515071,1.31955,-1.32812,0.2,0,0.176895,0.348814,1.68987,1.21715,-0.22597,-1.47408,-0.15023,-0.205114,-0.667266,-0.496723,0.204035,0.19314,0.204413,0,0,0,0,0,4.33681e-19,-5.20417e-18,-4.33681e-18,-4.0766e-17,-1.30104e-18,-1.30104e-18,2.60209e-18,5.20417e-18,5.20417e-18,4.33681e-18,0,-0.523288,-0.0247679,0.523898,-0.00539158,3.14159,2.22831,0.0149168,3.27551,0.000111873,-0.392699,4.18865,0.00989696,3.14142,0.00289682,0.523599,0,0,0,0,-0.00333575,-0.523288,0.52391,3.14189,2.22831,3.27551,-0.389685,4.18865,3.14145,0.523431,0,-1.61592,0.786836,2.49855e-05,-0.138238,-0.0103014,0.263909,-0.265623,0.000908889,0,0,1,0.0522689,4.00515,0.481684,1.15989,-2.32661,-1.5356,-2.34538,-0.757685,-0.210218
0.12,-6.50265,-6.50687,0,0.0253219,-0.00349822,0.565957,-0.523422,-0.492085,0.523077,0.0421661,3.14166,-2.25466,2.22875,-3.30991,3.27631,0.384734,-0.389291,-4.2105,4.18936,-3.16024,3.14242,-0.545624,0.524186,-5.45266,-6.51255,-7.80666,-4.90972,-7.78367,-8.16494,-4.90266,-6.51247,-7.2978,-5.11844,-7.3075,-7.88971,0.0309242,0.355694,-0.542004,0,0,0.0233211,-0.00349822,-0.012164,-0.523422,-0.176288,0.523776,-0.0311345,3.14176,-0.0311662,2.22875,0.0912553,3.27595,0.00174351,-0.389249,0.0166269,4.18936,0.0639399,3.14216,0.0172079,0.524128,-0,1,0.0291535,-1.25009,1.25061,-0.534197,9.07529,-18.1592,9.08214,-0.455195,-4.67101,9.34773,-9.13636,4.55348,-0.152917,-0.0176912,0.0356173,-1.08421,-0.0656296,-24.8767,12.6385,0,11.8134,0.47338,7.60567,-3.93636,3.72102,0.102793,-0.00662979,0.00181756,-1.14913,0.622355,-31.3943,15.5165,16.3716,0.0299084,7.96006,-3.8764,-8.17771,3.95869,0.0604693,0.0892804,-0.0294869,-0.0616307,1.3299,-1.34016,0.2,0,0.158511,0.329104,1.83343,0.929051,-0.206043,-1.69818,-0.149937,-0.19861,-0.903651,-0.427891,0.204294,0.191608,0.205699,0,0,0,0,0,0,-6.07153e-18,-7.80626e-18,5.20417e-17,-3.46945e-18,-3.46945e-18,-3.14419e-18,2.1684e-18,1.30104e-18,-1.17094e-17,0,-0.523422,-0.0262862,0.523764,-0.00637087,3.14159,2.22875,0.0182512,3.27594,0.000348703,-0.392699,4.18936,0.0127893,3.14212,0.00344157,0.523599,0,0,0,0,-0.00349822,-0.523422,0.523776,3.14176,2.22875,3.27595,-0.389249,4.18936,3.14216,0.524128,0,-1.63578,0.791814,3.8826e-05,-0.12141,-0.0123261,0.265981,-0.268032,0.00148397,0,0,1,-0.711922,4.35303,0.939926,2.38294,-3.03605,-1.78094,-1.29827,-1.33701,-0.616085
0.14,-6.50203,-6.50724,0,0.028175,-0.00364945,0.572613,-0.523711,-0.482064,0.522769,0.041787,3.14139,-2.25846,2.22918,-3.31454,3.27681,0.383571,-0.388858,-4.21415,4.19006,-3.16525,3.14318,-0.546449,0.524876,-5.45204,-6.51301,-7.80591,-4.91019,-7.78307,-8.16552,-4.90204,-6.51308,-7.29696,-5.11869,-7.30708,-7.88995,0.0409127,0.351126,-0.546953,0,0,0.0270971,-0.00364945,-0.00982036,-0.523711,-0.181013,0.523486,-0.0334722,3.14147,-0.0363351,2.22918,0.106103,3.27638,0.00294759,-0.388813,0.00962168,4.19006,0.079164,3.14286,0.0195565,0.524819,-0,1,0.0338743,-1.25011,1.25079,-0.583926,9.11053,-18.2324,9.1238,-0.460687,-4.66127,9.32972,-9.11834,4.54261,-0.154962,-0.0196246,0.0395183,-1.08485,-0.0713372,-24.8236,12.6501,0,11.6842,0.545092,7.58292,-3.94861,3.69469,0.117436,-0.0112493,0.00310097,-1.13974,0.564284,-31.5332,15.5436,16.5871,0.135073,8.00936,-3.87899,-8.27536,3.98478,0.0783689,0.101421,-0.0334187,-0.0705001,1.34049,-1.35223,0.2,0,0.142658,0.332806,2.05082,0.519149,-0.189895,-1.90787,-0.132908,-0.182371,-1.11969,-0.352123,0.204478,0.190241,0.207055,0,0,0,0,0,-8.67362e-19,6.93889e-18,3.23905e-18,-2.68882e-17,0,0,7.15573e-18,2.60209e-18,8.67362e-19,8.67362e-18,0,-0.523711,-0.027169,0.523475,-0.00684891,3.14159,2.22918,0.0212208,3.27638,0.000589519,-0.392699,4.19006,0.0158347,3.14281,0.00391131,0.523599,0,0,0,0,-0.00364945,-0.523711,0.523486,3.14147,2.22918,3.27638,-0.388813,4.19006,3.14286,0.524819,0,-1.65534,0.797041,4.38275e-05,-0.104796,-0.0141,0.268099,-0.270445,0.00218127,0,0,1,-1.35625,4.59895,1.61223,3.46028,-3.65295,-2.02607,-0.0721764,-1.94059,-1.01192
0.16,-6.50122,-6.5076,0,0.0307587,-0.00379277,0.57942,-0.52414,-0.469998,0.522328,0.0379779,3.141,-2.26207,2.22963,-3.3193,3.27731,0.382396,-0.388426,-4.21739,4.19063,-3.16969,3.14381,-0.547819,0.525426,-5.45123,-6.51337,-7.80499,-4.91065,-7.78231,-8.16601,-4.90123,-6.51367,-7.29596,-5.11894,-7.30647,-7.8902,0.0529206,0.346439,-0.551309,0,0,0.0304869,-0.00379277,-0.0023675,-0.52414,-0.184358,0.523057,-0.0314872,3.14105,-0.041014,2.22963,0.119457,3.27683,0.00397496,-0.388378,0.00061708,4.19063,0.0941839,3.14344,0.0219573,0.525367,-0,1,0.0381124,-1.25012,1.25098,-0.580175,9.14654,-18.3073,9.17002,-0.510728,-4.64465,9.29794,-9.09476,4.53178,-0.161059,-0.0191131,0.0384951,-1.08641,-0.0754226,-24.7741,12.6599,0,11.5682,0.608402,7.56263,-3.95981,3.67103,0.130443,-0.0152187,0.00421551,-1.13132,0.463662,-31.661,15.5675,16.7911,0.259834,8.0563,-3.88159,-8.36878,4.01054,0.0964482,0.113773,-0.0374031,-0.0796137,1.3509,-1.36415,0.2,0,0.129183,0.340359,2.32319,0.0917531,-0.180433,-2.12332,-0.123715,-0.161872,-1.31296,-0.309994,0.204765,0.189011,0.208393,0,0,0,0,0,0,-6.93889e-18,-4.98733e-18,-1.99493e-17,-1.73472e-18,-1.73472e-18,-6.50521e-19,5.20417e-18,6.07153e-18,3.03577e-18,0,-0.52414,-0.0278807,0.523056,-0.00644155,3.14159,2.22963,0.0238929,3.27681,0.000794991,-0.392699,4.19063,0.0188405,3.14336,0.00439145,0.523599,0,0,0,0,-0.00379277,-0.52414,0.523057,3.14105,2.22963,3.27683,-0.388378,4.19063,3.14344,0.525367,0,-1.67418,0.802244,6.99344e-05,-0.089194,-0.0159227,0.27018,-0.27283,0.00289156,0,0,1,-2.13135,4.97177,2.37139,4.41814,-4.23871,-2.26645,1.19366,-2.5731,-1.33792
0.18,-6.50021,-6.50796,0.0201081,0.0614088,-0.00391679,0.625031,-0.524586,-0.407418,0.521887,0.044881,3.14068,-2.25143,2.23002,-3.30152,3.27775,0.385058,-0.388013,-4.20722,4.19103,-3.15394,3.14426,-0.54578,0.525829,-5.45022,-6.51369,-7.8039,-4.91111,-7.78138,-8.16644,-4.90023,-6.51423,-7.29478,-5.1192,-7.30563,-7.89046,0.115385,0.364243,-0.535508,0,-0.00796439,-0.0177041,-0.00391679,-0.0402696,-0.524586,-0.236354,0.522611,-0.0756157,3.1406,-0.0983178,2.23002,0.0814371,3.27722,-0.0463279,-0.387992,-0.0602607,4.19103,0.0572839,3.14383,-0.0258945,0.525741,-0.051303,1.00041,0.0291519,-1.25065,1.25168,-0.52936,9.18746,-18.3921,9.2257,-0.619289,-4.61989,9.24983,-9.06567,4.52165,-0.184011,-0.0153638,0.0309471,-1.08956,-0.110943,-24.7388,12.6755,0,11.4644,0.668504,7.54644,-3.97226,3.64948,0.13041,-0.0190308,0.00529669,-1.12363,0.332272,-31.7855,15.5922,16.9863,0.377816,8.10345,-3.88558,-8.46024,4.0368,0.0999109,0.131374,-0.0430892,-0.0925156,1.36194,-1.37737,0.200082,1.0054,1.53251,2.28051,5.05138,0.368831,0.532015,-1.21511,0.0733824,0.508085,-0.505646,-0.0700744,0.205147,0.187814,0.209672,-6.5,-6.5,-0.00796439,0,0,-1.73472e-18,5.20417e-18,5.63785e-18,1.64799e-17,0,8.67362e-19,2.38524e-18,5.20417e-18,6.07153e-18,9.54098e-18,0,-0.524586,-0.0384989,0.522608,-0.0152324,3.14159,2.23002,0.0162889,3.2772,-0.00926559,-0.392699,4.19103,0.0114623,3.14373,-0.00517891,0.523599,0,0,0,0,-0.00391679,-0.524586,0.522611,3.1406,2.23002,3.27722,-0.387992,4.19103,3.14383,0.525741,0,-1.6926,0.807538,9.13199e-05,0.454727,-0.0185031,0.272388,-0.275473,0.0172063,0.0512821,0.0128458,1.00041,20.1817,-2.97144,5.01028,14.3046,-6.76285,-1.4421,14.9721,-5.70057,-0.639148
