t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,,al1211,al1212u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,b4,b5,b6,b7,b8,b9,b10,b11,b12
0,-6.50006,-2.00127,0,0,-2.1207e-05,0.523599,-0.523603,-0.523598,0.523595,-3.93463e-05,3.14159,-2.61799,2.22592,-3.27311,3.27311,0.392545,-0.392078,-3.66519,4.18969,-3.14249,3.14249,-0.523685,0.524501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02,-6.50006,-2.00127,0.0129025,0.0282879,-2.1207e-05,0.568525,-0.523603,-0.473955,0.523594,0.0358969,3.14161,-2.17188,2.22592,-3.19133,3.28143,0.440518,-0.392065,-4.39849,4.18969,1.92451,3.15004,9.81779,0.524571,-5.45006,-2.0013,-7.8083,-0.405453,-7.77616,-3.66233,-4.90006,-2.00131,-7.30003,-0.615614,-7.30009,-3.3869,0.0496177,0.482172,4.54998,0,-0.00127136,-0.0474339,-2.1207e-05,-0.0470645,-0.523603,-0.0475755,0.523595,-0.0473625,3.14159,-3.44443,2.22592,2.04019,3.27311,-0.0475362,-0.392078,4.40388,4.18969,-2.26968,3.14249,-0.0474058,0.524501,-0.0474103,1.00006,-0.0118323,-1.25008,1.25008,-0.00827971,8.88942,-17.7788,8.88962,-0.0158301,-4.44471,8.88941,-8.88961,4.44501,-0.0120359,2.59517e-05,-5.19054e-05,-1.1112,-27.9191,-22.3128,14.0979,0,6.25383,10.3419,5.94723,-4.78144,0.889528,0.568509,0.00172463,-0.000750723,-0.275577,34.2374,-23.0996,15.4051,5.12434,0.0758163,3.83323,-3.8412,-2.55819,-0.0058385,0.00464013,-0.00363231,0.0018176,0.00120793,-0.00194626,0.00194534,0.200012,0.645123,1.4144,2.2463,2.48214,1.79681,22.3055,4.08941,2.39866,-36.6649,253.35,517.074,0,0,-0,-6.5,-2,-0.00127136,0,0,-0,-0,-0,0,-0,0,0,0,0,0,0,-0.523603,-0.00950669,0.523595,-0.00947249,3.14159,2.22592,0.40804,3.27311,-0.00950725,-0.392699,4.18969,-0.453927,3.1425,-0.00948116,0.523599,0,0,0,0,-2.1207e-05,-0.523603,0.523595,3.14159,2.22592,3.27311,-0.392078,4.18969,3.14249,0.524501,0,-0.511628,-0.00116768,7.57661e-09,0.0953056,0.000241586,-0.000389252,0.000389069,0.000231108,0.0474074,0.0117992,1.00006,26.6709,-9.69729,0.761604,221.586,-82.5386,0.447982,-280.198,91.8481,0.468511
0.04,-6.50008,-2.00152,0.0231117,0.0476912,-2.79279e-05,0.596243,-0.523603,-0.457144,0.522783,0.0515284,3.14161,-2.21402,2.22607,-3.26803,3.27146,0.388396,-0.391907,-4.27892,4.1899,-3.15803,3.1532,-0.531275,0.524718,-5.45008,-2.00156,-7.80834,-0.405775,-7.77612,-3.66267,-4.90008,-2.00156,-7.30004,-0.615855,-7.30012,-3.38714,0.0656168,0.395341,-0.529554,0.0129041,-0.00151836,-0.0282006,-2.79279e-05,-0.0353593,-0.523603,-0.253409,0.523594,-0.0473634,3.14159,0.703736,2.22607,-0.499583,3.27327,-0.0482183,-0.39192,-5.28801,4.1899,2.57735,3.1427,-0.0502563,0.52471,-0.0474264,1.00024,0.0121967,-1.2503,1.25109,-0.252591,9.12792,-18.2674,9.15202,-0.858721,-4.68241,9.37077,-9.15202,4.57066,-0.234994,2.60378e-05,-5.21111e-05,-1.0832,10.1681,-25.9121,12.3249,0,14.3246,-8.62478,8.16132,-3.69031,4.44022,-0.634117,0.00275372,-0.000660242,-1.37561,-131.023,-39.8501,15.4633,41.1976,111.532,12.1869,-3.86427,-20.5594,8.4902,7.39376,-0.00934555,0.00225605,0.0119718,2.83024,-2.82859,0.200031,0.510461,0.970165,1.38589,3.32275,2.57844,-2.10681,0.262109,-0.205696,5.97844,-0.766781,-0.378564,0.20566,0.228701,0.441122,-6.5,-2,-0.00151836,0,0,-2.60209e-18,1.73472e-18,3.004e-18,-2.58379e-17,-1.73472e-17,-2.08167e-17,-2.24701e-17,0,-5.55112e-17,-5.09575e-17,0,-0.523603,-0.0403817,0.523594,-0.00947245,3.14159,2.22607,-0.0999167,3.27327,-0.00964366,-0.392699,4.1899,0.51546,3.1427,-0.0100513,0.523599,0,0,0,0.0129025,-2.79279e-05,-0.523603,0.523594,3.14159,2.22607,3.27327,-0.39192,4.1899,3.1427,0.52471,0,-4.11179,1.69802,-1.10161e-05,5.91224,0.00239435,0.566048,-0.565718,0.295234,0.0474074,0.0117992,1.00007,11.3988,1.67506,0.806337,-49.8944,19.0668,0.648311,375.718,-128.395,-1.0278
0.06,-6.50008,-2.00159,0.0299165,0.0599629,-2.99628e-05,0.612991,-0.523603,-0.447666,0.522314,0.0602838,3.14162,-2.22327,2.22612,-3.26886,3.27293,0.388074,-0.391864,-4.21186,4.18995,-3.14504,3.14611,-0.526998,0.524773,-5.45008,-2.00163,-7.80835,-0.405864,-7.77611,-3.66276,-4.90008,-2.00163,-7.30004,-0.615922,-7.30012,-3.3872,0.0746242,0.395928,-0.523701,0.0231175,-0.00158661,-0.0166781,-2.99628e-05,-0.0428749,-0.523603,-0.373226,0.523594,-0.0473641,3.14159,0.120056,2.22612,-0.144667,3.27332,-0.0481509,-0.391877,-1.7185,4.18995,0.792103,3.14276,-0.0493332,0.524768,-0.0474612,1.00061,0.026591,-1.25076,1.25294,-0.54148,9.28438,-18.6011,9.33133,-1.20395,-4.83722,9.6913,-9.33133,4.63551,-0.358795,2.61293e-05,-5.23523e-05,-1.06482,2.4491,-25.4135,12.5938,0,12.5115,-1.79712,7.85289,-3.85032,3.86442,-0.127699,0.00281613,-0.000739125,-1.19722,-31.3698,-33.7115,15.472,22.6469,22.7539,9.11886,-3.86216,-11.3006,5.46039,1.51091,-0.00794721,0.00237056,0.00691718,1.82025,-1.81913,0.200068,0.340242,0.613585,0.83743,3.79664,3.01623,-0.46244,0.222627,-0.221223,3.35296,-0.114299,-0.164392,0.208559,0.199025,0.283677,-6.5,-2,-0.00158661,0,0,1.73472e-18,8.67362e-18,8.83646e-18,1.43149e-17,-1.73472e-18,-3.46945e-18,-2.60209e-18,-8.32667e-17,-8.32667e-17,-7.68157e-17,0,-0.523603,-0.0583543,0.523594,-0.00947243,3.14159,2.22612,-0.0289334,3.27331,-0.00963019,-0.392699,4.18995,0.158417,3.14276,-0.00986664,0.523599,0,0,0,0.0231117,-2.99628e-05,-0.523603,0.523594,3.14159,2.22612,3.27332,-0.391877,4.18995,3.14276,0.524768,0,-2.26008,1.09206,-7.08456e-06,1.15481,0.00138344,0.364049,-0.363826,0.0601867,0.0474074,0.0117992,1.00008,1.54685,8.91728,0.831126,-10.2029,3.88477,0.532323,114.448,-38.6289,0.114192
0.08,-6.49985,-2.00167,0.0347901,0.0682967,-4.60512e-05,0.624448,-0.523828,-0.439543,0.521853,0.0655441,3.1414,-2.22381,2.22622,-3.2682,3.27333,0.389035,-0.391764,-4.19212,4.19011,-3.14023,3.14364,-0.52736,0.524916,-5.44985,-2.00161,-7.80811,-0.40598,-7.77587,-3.66288,-4.89985,-2.00174,-7.29978,-0.615988,-7.29991,-3.38727,0.082503,0.396891,-0.521504,0.0299171,-0.00166551,-0.00982798,-5.6718e-05,-0.0535153,-0.523838,-0.433693,0.523359,-0.0455899,3.14135,-0.0102267,2.22621,-0.0697455,3.27341,-0.0478864,-0.391787,-0.412255,4.1901,0.135135,3.1429,-0.045257,0.524888,-0.0474981,1.00097,0.0351598,-1.25122,1.2546,-0.777296,9.38328,-18.8173,9.44611,-1.2952,-4.91873,9.86411,-9.42534,4.6591,-0.421798,0.00112017,-0.00224661,-1.05491,0.93479,-25.3165,12.6594,0,12.0682,-0.523994,7.79266,-3.88671,3.7135,-0.0370106,0.00186614,-0.000498931,-1.15021,-5.61776,-31.5026,15.4913,17.5409,3.83452,8.00946,-3.86444,-8.7504,4.3657,0.253599,0.0101688,-0.00331901,-0.00749174,1.45757,-1.45883,0.200105,0.243677,0.416687,0.572866,4.10746,3.26808,-0.0272115,0.260809,-0.157787,0.987278,0.134082,-0.0492201,0.209851,0.19125,0.226807,-6.49978,-2,-0.00166551,0,1,-3.46945e-18,-1.04083e-17,-8.18573e-18,8.29753e-18,1.09504e-17,1.10589e-17,2.45301e-18,2.08167e-17,2.08167e-17,2.11419e-17,0,-0.523838,-0.0675522,0.523358,-0.00909881,3.14159,2.22621,-0.0139491,3.2734,-0.00957728,-0.392699,4.1901,0.0270296,3.14288,-0.0090514,0.523599,0,0,0,0.0299059,-5.6718e-05,-0.523838,0.523359,3.14135,2.22621,3.27341,-0.391787,4.1901,3.1429,0.524888,1.06668e-05,-1.75021,0.873183,2.08905e-05,0.226197,-0.00149835,0.291514,-0.291765,0.010363,0.0474101,0.0118001,1.00008,-3.54349,12.8034,0.891604,-1.49882,0.688945,0.481474,25.3721,-8.31356,0.259841
0.1,-6.49911,-2.00176,0.0386765,0.0745798,-5.67886e-05,0.63312,-0.524097,-0.432652,0.521434,0.0691382,3.14114,-2.22265,2.22631,-3.26701,3.27345,0.390029,-0.39167,-4.1877,4.19017,-3.13806,3.14305,-0.526695,0.52498,-5.44911,-2.00158,-7.80737,-0.406114,-7.77513,-3.663,-4.89911,-2.00185,-7.29903,-0.616075,-7.29918,-3.38736,0.0892316,0.398117,-0.51999,0.0347643,-0.00176069,-0.00548706,-9.94579e-05,-0.0587259,-0.524139,-0.472455,0.523058,-0.0435226,3.14105,-0.0336424,2.22627,-0.0608023,3.27347,-0.0471165,-0.391727,-0.0988273,4.19013,-0.0266202,3.14293,-0.0438562,0.524916,-0.0475359,1.00129,0.0406028,-1.25162,1.25595,-0.915982,9.45309,-18.9716,9.53043,-1.36601,-4.96951,9.9735,-9.4865,4.67275,-0.463164,0.00244153,-0.00490074,-1.04902,0.713682,-25.3163,12.6738,0,11.9527,-0.334494,7.79208,-3.89239,3.67025,-0.0273257,-0.00119501,0.000319939,-1.13611,-0.243023,-30.9599,15.508,16.4759,0.343902,7.73462,-3.86779,-8.21829,4.11747,0.0123146,0.0174286,-0.00582831,-0.0123431,1.37563,-1.37771,0.200138,0.194323,0.314156,0.433558,4.34725,3.44244,0.0583571,0.325038,-0.0694907,0.220631,0.245349,0.0426503,0.210724,0.189024,0.213916,-6.4991,-2,-0.00176069,0,4,-3.46945e-18,-3.46945e-18,-1.51788e-18,2.46995e-17,1.89735e-18,1.84314e-18,-3.40168e-18,-8.85793e-17,-8.84709e-17,-9.34582e-17,0,-0.524139,-0.0735334,0.523057,-0.00865927,3.14159,2.22627,-0.0121605,3.27346,-0.0094233,-0.392699,4.19013,-0.00532383,3.14291,-0.00877124,0.523599,0,0,0,0.0347474,-9.94579e-05,-0.524139,0.523058,3.14105,2.22627,3.27347,-0.391727,4.19013,3.14293,0.524916,4.26693e-05,-1.64376,0.82353,1.76068e-05,0.0713876,-0.00246862,0.275126,-0.275542,0.000803742,0.047418,0.0118027,1.00008,-6.48181,15.1924,0.963464,-0.0665283,0.315746,0.448308,4.43817,-1.07902,0.276026
0.12,-6.49802,-2.00186,0.0420058,0.0800098,-8.71759e-05,0.640721,-0.524369,-0.426143,0.521054,0.0724316,3.14088,-2.2214,2.22634,-3.26591,3.27347,0.390883,-0.391637,-4.18601,4.19008,-3.13658,3.14285,-0.52606,0.524899,-5.44802,-2.00157,-7.80626,-0.406204,-7.77411,-3.66303,-4.89802,-2.002,-7.2979,-0.616148,-7.29815,-3.38743,0.0956228,0.399199,-0.518629,0.0386031,-0.00185853,-0.00250863,-0.000183189,-0.0605726,-0.524465,-0.500254,0.522732,-0.0417448,3.14072,-0.0385482,2.22625,-0.063635,3.27344,-0.0470319,-0.391748,-0.0509091,4.18999,-0.0563023,3.14279,-0.0437342,0.524781,-0.047576,1.00158,0.04435,-1.25199,1.25708,-0.996735,9.50722,-19.0919,9.59808,-1.43477,-5.00408,10.0491,-9.53013,4.68186,-0.493275,0.00362308,-0.00727777,-1.04526,0.697414,-25.3352,12.6774,0,11.9121,-0.321302,7.80232,-3.89163,3.65063,-0.0305379,-0.00159292,0.000425664,-1.12994,0.583866,-30.8486,15.5202,16.331,-0.18254,7.67894,-3.87129,-8.14717,4.09193,-0.0291921,0.0181138,-0.00609124,-0.0127783,1.36712,-1.36928,0.200167,0.166462,0.271501,0.380046,4.56514,3.58585,0.0625161,0.381312,-0.0207537,0.0845594,0.3153,0.0760803,0.211398,0.188016,0.212592,-6.49798,-2,-0.00185853,0,9,-1.73472e-18,-1.38778e-17,-1.10589e-17,3.42964e-17,-1.76725e-17,-1.76725e-17,-3.18484e-18,-1.27936e-17,-1.30646e-17,-5.96311e-18,0,-0.524465,-0.077891,0.52273,-0.00827861,3.14159,2.22625,-0.012727,3.27344,-0.00940638,-0.392699,4.18999,-0.0112606,3.14278,-0.00874685,0.523599,0,0,0,0.0385805,-0.000183189,-0.524465,0.522732,3.14072,2.22625,3.27344,-0.391748,4.18999,3.14279,0.524781,9.60132e-05,-1.62953,0.818417,1.52243e-05,0.0381606,-0.00255566,0.273424,-0.273856,-0.000895388,0.0474313,0.0118072,1.00009,-7.98283,16.6588,1.04596,-0.189395,0.479665,0.454425,0.779655,0.275469,0.325798
0.14,-6.49653,-2.00194,0.0448489,0.0847721,-0.000106597,0.647102,-0.524447,-0.421898,0.520843,0.0755979,3.1408,-2.22038,2.22635,-3.26499,3.27346,0.391379,-0.391633,-4.18493,4.18998,-3.13535,3.14271,-0.525726,0.524795,-5.44653,-2.00164,-7.80474,-0.406272,-7.77268,-3.66305,-4.89653,-2.00211,-7.29639,-0.616215,-7.29668,-3.3875,0.0997346,0.400103,-0.517435,0.041874,-0.00194073,0.000111211,-0.000266634,-0.0600025,-0.524607,-0.534517,0.52259,-0.0417827,3.14058,-0.0394229,2.22619,-0.0678908,3.27338,-0.0469969,-0.391808,-0.0437109,4.18982,-0.0646317,3.14262,-0.0435932,0.524611,-0.047617,1.00185,0.0476534,-1.25233,1.25814,-1.04753,9.55527,-19.1993,9.6608,-1.55943,-5.05031,10.1478,-9.59211,4.70178,-0.526897,0.00362807,-0.00729288,-1.0405,0.724622,-25.3554,12.6805,0,11.8841,-0.341519,7.81288,-3.89048,3.63633,-0.0352942,-0.00180527,0.000481463,-1.12547,0.737669,-30.8096,15.5307,16.327,-0.284505,7.66014,-3.87462,-8.14675,4.09975,-0.04095,0.0188125,-0.00634074,-0.0132923,1.36973,-1.37198,0.200194,0.142157,0.238114,0.319051,4.77606,3.74296,0.0506703,0.427578,0.00654941,0.0543353,0.371413,0.0929271,0.212302,0.187281,0.213,-6.49663,-2,-0.00194073,0,15,0,-3.46945e-18,-5.85469e-18,-1.77538e-17,2.80808e-17,2.81893e-17,2.74032e-17,-5.14996e-17,-5.13912e-17,-5.65954e-17,0,-0.524607,-0.0830702,0.522587,-0.00828081,3.14159,2.22619,-0.0135782,3.27338,-0.00939937,-0.392699,4.18982,-0.0129265,3.14261,-0.00871863,0.523599,0,0,0,0.0418457,-0.000266634,-0.524607,0.52259,3.14058,2.22619,3.27338,-0.391808,4.18982,3.14262,0.524611,0.000160037,-1.62942,0.819973,1.21462e-05,0.02195,-0.00265847,0.273947,-0.274397,-0.0014051,0.0474472,0.0118125,1.00009,-9.5679,18.2432,1.09884,-0.582343,0.71054,0.473974,-0.192941,0.699523,0.38052
0.16,-6.49462,-2.00201,0.0473049,0.0892294,-0.00011802,0.653181,-0.524463,-0.417665,0.520723,0.0789714,3.14079,-2.22004,2.22649,-3.26499,3.27359,0.391687,-0.391489,-4.18439,4.18992,-3.13466,3.14263,-0.525798,0.524742,-5.44462,-2.00172,-7.80284,-0.406408,-7.77079,-3.66309,-4.89462,-2.0022,-7.29445,-0.616276,-7.29478,-3.38756,0.10386,0.40009,-0.516773,0.0446267,-0.00201209,0.00250587,-0.000374114,-0.062577,-0.524719,-0.561702,0.522478,-0.0418247,3.14047,-0.0375767,2.22624,-0.072619,3.27343,-0.0471511,-0.39176,-0.0406452,4.18966,-0.0697106,3.14247,-0.0435199,0.52446,-0.0476637,1.00209,0.050684,-1.25265,1.25913,-1.12427,9.59616,-19.2918,9.71299,-1.62423,-5.08952,10.2322,-9.64362,4.71583,-0.553115,0.00363289,-0.00730771,-1.03629,0.7812,-25.3695,12.6814,0,11.8598,-0.382461,7.82278,-3.88954,3.6255,-0.0403725,-0.0012878,0.000342743,-1.12214,0.821114,-30.7872,15.5416,16.3425,-0.338924,7.64849,-3.8777,-8.15528,4.10996,-0.0481664,0.0192182,-0.0064884,-0.0136067,1.37316,-1.37546,0.200218,0.122801,0.222868,0.303979,4.98631,3.91053,0.0170339,0.435063,0.0234263,0.026684,0.402885,0.0898006,0.212943,0.186723,0.213534,-6.4946,-2,-0.00201209,0,24,6.93889e-18,6.93889e-18,3.25261e-18,4.40559e-17,3.10082e-17,3.1225e-17,2.77962e-17,4.55365e-17,4.55365e-17,5.0307e-17,0,-0.524719,-0.0871803,0.522476,-0.00828493,3.14159,2.22624,-0.0145238,3.27343,-0.00943021,-0.392699,4.18966,-0.0139423,3.14245,-0.00870397,0.523599,0,0,0,0.0445928,-0.000374114,-0.524719,0.522478,3.14047,2.22624,3.27343,-0.39176,4.18966,3.14247,0.52446,0.000256094,-1.63112,0.822014,1.08552e-05,0.0015438,-0.00272134,0.274631,-0.275092,-0.00174386,0.0474712,0.0118205,1.0001,-10.3906,19.3835,1.14021,-1.25105,0.991101,0.461967,-1.00218,1.00888,0.429344
0.18,-6.49235,-2.00208,0.0495392,0.0935165,-0.000119586,0.659169,-0.524497,-0.413414,0.520592,0.0821957,3.14076,-2.21992,2.22656,-3.26486,3.27365,0.391596,-0.391419,-4.18412,4.18985,-3.13409,3.14255,-0.526099,0.524673,-5.44235,-2.00178,-7.80058,-0.406513,-7.76854,-3.66312,-4.89235,-2.00227,-7.29218,-0.616346,-7.29252,-3.38763,0.108012,0.400218,-0.516215,0.0469812,-0.00208408,0.00501489,-0.000482442,-0.0662724,-0.52486,-0.58698,0.522338,-0.0418859,3.14033,-0.0385394,2.2262,-0.0737533,3.2734,-0.0472286,-0.391796,-0.0394453,4.18948,-0.0720137,3.14229,-0.0434261,0.524283,-0.0477109,1.00231,0.0538621,-1.25294,1.2601,-1.21478,9.63543,-19.3814,9.76311,-1.66757,-5.12722,10.3138,-9.69309,4.72813,-0.57716,0.00362672,-0.00730053,-1.03219,0.806523,-25.3774,12.6877,0,11.8192,-0.390344,7.8274,-3.89116,3.61129,-0.0414545,-0.00108763,0.000289343,-1.11773,0.87556,-30.7781,15.5517,16.3791,-0.367298,7.64415,-3.88071,-8.17458,4.12242,-0.0516261,0.0197333,-0.006669,-0.0140099,1.37732,-1.3797,0.20024,0.111713,0.214353,0.299414,5.19757,4.06988,0.00607226,0.445186,0.0201959,0.0138402,0.427838,0.0751396,0.213504,0.185991,0.214183,-6.49235,-2,-0.00208408,0,34,-3.46945e-18,-3.46945e-18,-2.1684e-18,2.57735e-17,3.05745e-17,3.03577e-17,3.30682e-17,4.51028e-17,4.53197e-17,1.07336e-17,0,-0.52486,-0.0910027,0.522336,-0.00829344,3.14159,2.2262,-0.0147507,3.2734,-0.00944571,-0.392699,4.18948,-0.0144029,3.14228,-0.00868523,0.523599,0,0,0,0.0469421,-0.000482442,-0.52486,0.522338,3.14033,2.2262,3.2734,-0.391796,4.18948,3.14229,0.524283,0.000362856,-1.63497,0.824502,9.61994e-06,-0.0101579,-0.00280198,0.275464,-0.27594,-0.00191006,0.0474977,0.0118294,1.0001,-11.0372,20.4155,1.19081,-1.49178,1.08848,0.475064,-1.42394,1.16518,0.485406
