t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,delta1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT
0.02,-6.5002,-1.01136,0.000200821,0.000322672,2.73551e-05,-0.0222635,5.49717,-0.0981785,0.791213,0.693588,3.14125,-1.96333,1.96311,-3.53324,3.53391,0.392371,-0.393184,-2.87965,2.88056,-4.45105,4.45132,-0.524258,0.523159,-5.45036,-1.01108,-7.80825,0.58502,-7.77687,-2.67134,-4.9002,-1.01132,-7.30024,0.374256,-7.30016,-2.39703,0.693375,0.393857,-0.52289,2.95525e-05,-0.0113632,-0.0147423,2.73551e-05,-3.35965,5.49717,3.32824,0.785498,-0.0150394,3.14124,-0.0215773,1.96311,-0.0119737,3.5339,-0.0145508,-0.393186,-0.0147763,1.00017,-0.00399856,-1.25021,1.25021,-18.5587,5.54712,-11.0944,4.71619,11.0215,-1.09928,2.19874,-4.71467,-2.24552,3.71068,-0.000266122,0.000532229,-1.11056,-0.115273,-32.8652,16.4388,0,16.4092,0.0515529,6.79483,-3.39991,3.39355,-0.000953789,-0.00195692,0.000785386,-1.20005,0.200034,0.0171274,0.0295317,-26.5731,68.7416,69.3088,0.0185307,0.0666834,-0.0628993,0.00558154,0.0310848,-0.0910344,-0.101012,0.199523,0.201382,-6.5,-1,-0.0113632,0,0,0,0,5.63955e-18,5.60566e-18,2.16163e-17,2.16569e-17,2.28021e-17,-2.27954e-17,-1.11727e-16,-1.17019e-16,0,-0.52687,0.467482,0.785042,-0.00296789,3.14159,1.96311,-0.00239463,3.53381,-0.00291016,-0.392699,2.88056,-0.00713553,4.45015,-0.00290577,0.523599,0,0,0,2.95476e-05,2.73551e-05,5.49717,0.785498,3.14124,1.96311,3.5339,-0.393186,2.88056,4.45136,0.523158,0
0.03,-6.5002,-1.01143,0.000371169,0.000323869,2.73373e-05,-0.388657,5.49717,-0.35716,0.793625,0.435606,3.14124,-1.96313,1.9631,-3.53321,3.53391,0.392394,-0.393188,-2.87957,2.88056,-4.45102,4.45132,-0.524235,0.523156,-5.45036,-1.01114,-7.80825,0.584959,-7.77687,-2.67141,-4.9002,-1.01138,-7.30024,0.374193,-7.30016,-2.39709,0.436821,0.393887,-0.522862,0.000200855,-0.0114262,-0.0149565,2.73373e-05,-4.56125,5.49717,4.5274,0.785504,-0.0143601,3.14123,-0.0242281,1.9631,-0.0120423,3.5339,-0.0145464,-0.393189,-0.0147763,1.00017,-0.00426633,-1.25021,1.25021,-19.7517,4.34315,-8.68654,4.44505,-1.45361,0.106912,-0.213576,-4.43823,-4.64488,5.02459,0.000415481,-0.00083094,-1.10848,-0.16245,-32.8748,16.441,0,16.4151,0.0700633,6.79866,-3.40075,3.39193,-0.00104663,-0.00199724,0.00080144,-1.19948,0.200034,0.0170348,0.0296532,-36.6393,42.7834,43.5107,0.020108,0.0693406,-0.0605383,0.00804191,0.0330852,-0.0887655,-0.209104,0.199462,0.201148,-6.5,-1,-0.0114262,0,0,0,-6.93889e-17,-8.33751e-17,1.06557e-16,2.04304e-17,-2.38524e-17,-2.32629e-17,2.03559e-17,-6.85216e-17,-8.85861e-17,0,-0.526858,0.637018,0.785035,-0.00295674,3.14159,1.9631,-0.00240836,3.5338,-0.00290928,-0.392699,2.88056,-0.00655632,4.45015,-0.00290511,0.523599,0,0,0,0.000200821,2.73373e-05,5.49717,0.785504,3.14123,1.9631,3.5339,-0.393189,2.88056,4.45136,0.523155,0
0.04,-6.5002,-1.01158,0.000541778,0.00032642,2.75021e-05,-0.73161,5.49715,-0.509547,0.797071,0.284038,3.14121,-1.96291,1.96309,-3.53316,3.53389,0.392418,-0.393204,-2.87947,2.88058,-4.45102,4.45134,-0.524217,0.523148,-5.45037,-1.01128,-7.80825,0.584812,-7.77688,-2.67155,-4.9002,-1.01154,-7.30024,0.374035,-7.30016,-2.39725,0.287907,0.393934,-0.522832,0.000371232,-0.0115835,-0.015169,2.75021e-05,-6.2812,5.49715,6.22781,0.785518,-0.0131128,3.14122,-0.026724,1.96309,-0.0121676,3.53389,-0.0145318,-0.393206,-0.0147763,1.00017,-0.00453208,-1.25021,1.25021,-16.4367,2.62065,-5.24164,5.18864,-34.4322,1.82858,-3.65681,-5.15803,-8.04781,6.7877,0.00168259,-0.0033651,-1.09609,-0.207124,-32.8855,16.4437,0,16.4219,0.0873395,6.80262,-3.40162,3.39048,-0.00122012,-0.00212763,0.000853625,-1.19897,0.200034,0.0170609,0.0298917,-34.2953,27.3271,28.2477,0.0217391,0.072395,-0.058574,0.009956,0.0348014,-0.0873065,-0.363084,0.199377,0.200953,-6.5,-1,-0.0115835,0,0,-8.47033e-21,2.77556e-17,-4.09828e-17,8.13152e-17,8.52623e-18,8.53809e-18,1.1235e-17,-3.59413e-17,-3.59413e-17,-4.60786e-17,0,-0.526834,0.880562,0.785022,-0.00309433,3.14159,1.96309,-0.00243342,3.53378,-0.00290635,-0.392699,2.88058,-0.0061979,4.45014,-0.00290381,0.523599,0,0,0,0.000371169,2.75021e-05,5.49715,0.785518,3.14122,1.96309,3.53389,-0.393206,2.88058,4.45137,0.523146,0
0.05,-6.5002,-1.01174,0.000712595,0.000327349,2.60404e-05,-0.955314,5.49716,-0.601362,0.801417,0.206045,3.14125,-1.96268,1.96308,-3.53312,3.53388,0.392437,-0.393225,-2.87935,2.88059,-4.45102,4.45135,-0.524201,0.523138,-5.45037,-1.01144,-7.80824,0.584672,-7.77689,-2.67169,-4.9002,-1.01169,-7.30024,0.373883,-7.30016,-2.3974,0.2004,0.393986,-0.5228,0.000541872,-0.0117366,-0.015386,2.60404e-05,-8.45108,5.49716,8.38243,0.785508,-0.0177182,3.14123,-0.0290737,1.96308,-0.0123664,3.53387,-0.0145069,-0.393227,-0.0147763,1.00017,-0.00480333,-1.25022,1.25022,-3.82228,0.448499,-0.897438,8.02692,-101.1,3.98696,-7.97348,-7.97539,-12.3594,9.30193,-0.00298557,0.00597099,-1.08802,-0.249538,-32.897,16.4466,0,16.4298,0.103407,6.80684,-3.40254,3.38922,-0.00149478,-0.00234857,0.000942105,-1.19852,0.200035,0.0170817,0.0301308,-22.3705,18.1186,20.001,0.0232751,0.075602,-0.0566868,0.01183,0.0367574,-0.0857013,-0.557753,0.199304,0.200776,-6.5,-1,-0.0117366,0,0,2.71051e-20,-3.29597e-17,-2.23346e-17,8.37004e-17,-2.06812e-17,-2.07083e-17,-2.29105e-17,-2.08167e-17,6.79253e-17,6.32361e-17,0,-0.526851,1.18577,0.785031,-0.00241063,3.14159,1.96308,-0.00247318,3.53376,-0.00290137,-0.392699,2.88059,-0.0058981,4.45013,-0.00290138,0.523599,0,0,0,0.000541778,2.60404e-05,5.49716,0.785508,3.14123,1.96308,3.53387,-0.393227,2.88059,4.45138,0.523136,0
0.06,-6.5002,-1.01188,0.000883544,0.000325299,2.15656e-05,-1.08673,5.49717,-0.654767,0.80602,0.16382,3.1413,-1.96243,1.96305,-3.53306,3.53385,0.392459,-0.393245,-2.87921,2.88058,-4.45098,4.45135,-0.524177,0.523128,-5.45036,-1.01161,-7.80823,0.584537,-7.7769,-2.67183,-4.9002,-1.01185,-7.30023,0.373739,-7.30017,-2.39754,0.151542,0.39404,-0.52276,0.00071272,-0.0118839,-0.0156108,2.15656e-05,-10.7465,5.49717,10.6587,0.785494,-0.0208887,3.14124,-0.0313971,1.96305,-0.0125981,3.53385,-0.0144832,-0.393246,-0.0147764,1.00018,-0.00508432,-1.25022,1.25022,19.7508,-1.84829,3.69611,13.3358,-202.193,6.26647,-12.5325,-13.242,-16.9142,12.0901,-0.00620746,0.0124147,-1.07797,-0.291723,-32.9095,16.4498,0,16.4386,0.119229,6.81119,-3.40347,3.38803,-0.00180774,-0.0025588,0.00102625,-1.1981,0.200035,0.0170949,0.0303733,-13.1412,12.7461,15.4525,0.0248103,0.0790943,-0.0544275,0.014063,0.0394217,-0.0833614,-0.763545,0.199236,0.200586,-6.5,-1,-0.0118839,0,0,2.71051e-20,-6.93889e-18,2.94903e-16,-2.94036e-16,1.44605e-17,1.4447e-17,2.36424e-17,-2.99782e-17,-3.00324e-17,-2.84332e-17,0,-0.526876,1.50839,0.785043,-0.00115992,3.14159,1.96305,-0.00251954,3.53374,-0.00289664,-0.392699,2.88058,-0.00556308,4.45012,-0.00289888,0.523599,0,0,0,0.000712595,2.15656e-05,5.49717,0.785494,3.14124,1.96305,3.53385,-0.393246,2.88058,4.45137,0.523126,0
0.07,-6.50021,-1.01203,0.00105457,0.000320926,1.47413e-05,-1.16945,5.49719,-0.687424,0.810371,0.140213,3.14137,-1.96217,1.96302,-3.53299,3.53382,0.392486,-0.393263,-2.87904,2.88054,-4.4509,4.45131,-0.524144,0.523118,-5.45036,-1.01178,-7.80823,0.584402,-7.77691,-2.67197,-4.90021,-1.012,-7.30023,0.373602,-7.30019,-2.39768,0.123171,0.394096,-0.52271,0.000883701,-0.0120268,-0.0158415,1.47413e-05,-12.9152,5.49719,12.8043,0.78548,-0.0230931,3.14125,-0.0337087,1.96302,-0.0128518,3.53382,-0.0144612,-0.393264,-0.0147764,1.00018,-0.00537286,-1.25022,1.25022,51.6681,-4.01715,8.03391,20.529,-326.499,8.41486,-16.8293,-20.3677,-21.2069,14.8444,-0.00845896,0.0169177,-1.06574,-0.333895,-32.923,16.4533,0,16.4482,0.134935,6.81564,-3.40439,3.38687,-0.0021453,-0.00275468,0.00110461,-1.1977,0.200036,0.0171026,0.0306185,-8.27222,9.4371,12.8383,0.0263696,0.0829407,-0.0517243,0.0167853,0.0430217,-0.0800572,-0.95774,0.199171,0.200376,-6.5,-1,-0.0120268,0,0,3.13402e-20,-4.16334e-17,-1.2837e-16,2.08167e-17,2.38524e-18,2.30393e-18,1.68051e-18,2.22261e-18,9.09104e-17,9.95094e-17,0,-0.526903,1.81309,0.785059,0.000366889,3.14159,1.96302,-0.00257031,3.53373,-0.00289225,-0.392699,2.88054,-0.00517502,4.45011,-0.00289629,0.523599,0,0,0,0.000883544,1.47413e-05,5.49719,0.78548,3.14125,1.96302,3.53382,-0.393264,2.88054,4.45133,0.523116,0
0.08,-6.50023,-1.01217,0.00122562,0.000314393,5.72949e-06,-1.22608,5.49721,-0.709673,0.814427,0.12685,3.14145,-1.96189,1.96298,-3.53291,3.53378,0.392514,-0.39328,-2.87884,2.88047,-4.45079,4.45124,-0.524103,0.523107,-5.45038,-1.01195,-7.80824,0.584271,-7.77694,-2.67212,-4.90023,-1.01216,-7.30024,0.37347,-7.30022,-2.39781,0.1049,0.394153,-0.522651,0.00105476,-0.0121657,-0.0160779,5.72949e-06,-14.9374,5.49721,14.7977,0.785466,-0.0252689,3.14127,-0.035912,1.96298,-0.0131661,3.53378,-0.0144396,-0.393282,-0.0147764,1.00018,-0.00566836,-1.25023,1.25022,89.8521,-6.03811,12.076,29.1405,-467.481,10.4109,-20.8216,-28.8799,-25.1948,17.6079,-0.010695,0.0213898,-1.0506,-0.374454,-32.9374,16.4572,0,16.4588,0.149741,6.82029,-3.40536,3.38586,-0.00255495,-0.00294774,0.00118179,-1.19735,0.200036,0.0171051,0.0308663,-5.66274,7.15568,11.2302,0.0278622,0.0869706,-0.0488188,0.0198676,0.0474824,-0.0759002,-1.13848,0.199115,0.200161,-6.5,-1,-0.0121657,0,0,5.67512e-20,0,1.9082e-17,1.07553e-16,1.0571e-17,-3.36374e-17,-4.48792e-17,1.03541e-17,9.89606e-17,9.22046e-17,0,-0.526929,2.09704,0.785077,0.00231426,3.14159,1.96298,-0.00263318,3.53371,-0.00288792,-0.392699,2.88047,-0.00477744,4.4501,-0.00289358,0.523599,0,0,0,0.00105457,5.72949e-06,5.49721,0.785466,3.14127,1.96298,3.53378,-0.393282,2.88047,4.45126,0.523106,0
0.09,-6.50027,-1.0123,0.00139666,0.000305725,-5.45378e-06,-1.26751,5.49724,-0.726309,0.818238,0.121059,3.14157,-1.9616,1.96294,-3.53283,3.53374,0.392544,-0.393297,-2.87861,2.88037,-4.45064,4.45116,-0.524053,0.523097,-5.4504,-1.01213,-7.80826,0.584144,-7.77697,-2.67228,-4.90027,-1.01231,-7.30026,0.373344,-7.30028,-2.39794,0.0919549,0.394211,-0.522584,0.00122584,-0.0123014,-0.0163197,-5.45378e-06,-16.846,5.49724,16.671,0.78544,-0.0283377,3.1413,-0.0379889,1.96294,-0.0135477,3.53374,-0.0144185,-0.393299,-0.0147764,1.00018,-0.00597069,-1.25023,1.25023,133.329,-7.94405,15.8883,38.9529,-622.601,12.2863,-24.5728,-38.5534,-28.9417,20.6685,-0.0138609,0.027722,-1.03211,-0.413103,-32.9526,16.4612,0,16.4705,0.163503,6.82519,-3.40636,3.38503,-0.00304463,-0.00313682,0.00125734,-1.19707,0.200036,0.0171037,0.0311178,-4.14346,5.42305,10.2721,0.0292691,0.0911314,-0.0457592,0.0232406,0.0527789,-0.0708874,-1.30868,0.199069,0.19995,-6.5,-1,-0.0123014,0,0,-5.46336e-20,-2.22045e-16,1.17961e-16,-2.67147e-16,1.0842e-19,1.35525e-19,-9.87979e-18,-4.45607e-17,-1.33194e-16,-1.45676e-16,0,-0.526977,2.3645,0.785106,0.00524398,3.14159,1.96294,-0.00270951,3.53369,-0.00288369,-0.392699,2.88037,-0.00439658,4.45009,-0.00289097,0.523599,0,0,0,0.00122562,-5.45378e-06,5.49724,0.78544,3.1413,1.96294,3.53374,-0.393299,2.88037,4.45117,0.523096,0
0.1,-6.50032,-1.01243,0.00156764,0.000294543,-1.92032e-05,-1.29941,5.49728,-0.739613,0.821876,0.121116,3.14174,-1.96129,1.9629,-3.53274,3.5337,0.392575,-0.393313,-2.87834,2.88026,-4.45046,4.45104,-0.523997,0.523085,-5.45044,-1.01232,-7.8083,0.58402,-7.77702,-2.67243,-4.90032,-1.01246,-7.3003,0.373222,-7.30035,-2.39806,0.0821201,0.394269,-0.522507,0.00139691,-0.0124342,-0.0165679,-1.92032e-05,-18.6743,5.49728,18.4562,0.785408,-0.0324111,3.14133,-0.0399485,1.9629,-0.0139953,3.5337,-0.0143976,-0.393315,-0.0147765,1.00019,-0.00628102,-1.25023,1.25023,181.734,-9.76834,19.5374,49.8849,-791.129,14.0733,-28.1472,-49.2963,-32.5115,24.3043,-0.0180864,0.0361734,-1.00963,-0.450003,-32.9685,16.4653,0,16.4831,0.17629,6.83034,-3.40741,3.38438,-0.00361301,-0.00332354,0.00133189,-1.19685,0.200037,0.0170985,0.0313746,-3.19023,4.01122,9.76998,0.0305906,0.0953937,-0.0425799,0.0268765,0.0589215,-0.0651697,-1.47129,0.199034,0.199746,-6.5,-1,-0.0124342,0,0,-1.18585e-20,2.77556e-16,-3.86843e-16,6.93889e-17,4.87891e-18,-3.9282e-17,-3.57787e-17,-3.98986e-17,-4.00206e-17,-4.49741e-17,0,-0.527037,2.62003,0.785139,0.00956121,3.14159,1.9629,-0.00279905,3.53368,-0.00287952,-0.392699,2.88026,-0.00404637,4.45007,-0.00288774,0.523599,0,0,0,0.00139666,-1.92032e-05,5.49728,0.785408,3.14133,1.9629,3.5337,-0.393315,2.88026,4.45105,0.523084,0
0.11,-6.50039,-1.01255,0.00173838,0.000281911,-3.42554e-05,-1.32498,5.49731,-0.75101,0.825404,0.126611,3.14197,-1.96097,1.96286,-3.53266,3.53365,0.392608,-0.393328,-2.87804,2.88012,-4.45025,4.4509,-0.523933,0.523075,-5.45048,-1.0125,-7.80834,0.58391,-7.77708,-2.67258,-4.90039,-1.01261,-7.30034,0.373117,-7.30043,-2.39816,0.0740166,0.394326,-0.522425,0.00156793,-0.0125515,-0.0168193,-3.42554e-05,-20.4502,5.49731,20.1862,0.785366,-0.0378698,3.14137,-0.0417699,1.96286,-0.0145088,3.53365,-0.0143787,-0.39333,-0.0147765,1.00019,-0.00659534,-1.25023,1.25023,235.069,-11.539,23.0793,61.9375,-973.509,15.8033,-31.6078,-61.1186,-35.9703,29.0423,-0.0237651,0.0475316,-0.985976,-0.48475,-32.9852,16.4697,0,16.4967,0.18795,6.83572,-3.40849,3.3839,-0.00425758,-0.00349326,0.00139958,-1.19669,0.200037,0.0170741,0.0316166,-2.5571,2.79575,9.65539,0.0318028,0.0997401,-0.0392123,0.0306401,0.0658032,-0.0586783,-1.62904,0.199009,0.199564,-6.5,-1,-0.0125515,0,0,-3.55754e-20,2.22045e-16,-2.08167e-17,2.08167e-16,4.77049e-18,4.69934e-18,1.37152e-17,4.2826e-18,9.28348e-17,8.07121e-17,0,-0.52711,2.86712,0.785177,0.015937,3.14159,1.96286,-0.00290175,3.53366,-0.00287574,-0.392699,2.88012,-0.00376273,4.45006,-0.00288484,0.523599,0,0,0,0.00156764,-3.42554e-05,5.49731,0.785366,3.14137,1.96286,3.53365,-0.39333,2.88012,4.45091,0.523073,0
