t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,al1211,al1212,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,nu1,nu2,nu3,nu4,nu5,nu6,nu7,nu8,nu9,nu10,nu11,nu12,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,lambda13,lambda14,lambda15,lambda16,lambda17,lambda18,Q_phiR1, Q_varphiR1, Q_phiF1, Q_varphiF1, Q_phiR2, Q_varphiR2, Q_phiF2, Q_varphiF2, Q_phiR3, Q_varphiR3, Q_phiF3, Q_varphiF3
0,-6.50049,-2.00077,0,0,4.7327e-06,0.523599,-0.523629,-0.523631,0.523566,-1.66997e-06,-3.14147e-05,-2.22529,2.22398,-3.27117,3.27117,0.392772,-0.394019,-4.18879,4.189,-3.14181,3.14181,-0.523469,0.523817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,-6.50049,-2.00077,0.00539437,0.0205937,4.7327e-06,0.56158,-0.523629,-0.479137,0.523567,0.0166196,4.57906e-05,-2.22821,2.22398,-3.25058,3.27124,0.370012,-0.39389,-4.1967,4.189,-3.13902,3.1418,-0.54173,0.52388,-3.45049,-2.0008,-7.80835,-0.403983,-7.77674,-3.66152,-4.90049,-2.00076,-7.3005,-0.61513,-7.30048,-3.38641,0.0443842,0.414547,-0.5211,0,-0.000766515,-0.0474015,4.7327e-06,-0.0477623,-0.523629,-0.0473805,0.523566,-0.0474421,-3.14147e-05,-0.0640203,2.22398,-0.0372078,3.27117,-0.0459132,-0.394019,-0.0440378,4.189,-0.0490734,3.14181,-0.0478536,0.523817,-0.0474091,1.00004,-0.0117918,-1.25005,1.25005,-0.0150587,8.88921,-17.7784,8.88901,-0.00847251,-4.44486,8.88972,-8.88934,4.44447,-0.0117307,-6.01163e-05,0.000120232,-1.1111,-0.221806,-25.3206,12.6748,0,12.624,0.156162,7.75439,-3.88606,3.86702,-0.001442,-0.00562833,0.00152013,-1.19757,0.0401734,-30.7987,15.4022,15.3909,-0.044151,7.6954,-3.84911,-7.69257,3.84626,-0.0133578,-0.00232086,0.000774023,0.00154616,1.28199,-1.28173,0.150005,0.134859,0.514841,0.949532,1.11235,0.415532,-0.0728314,0.514913,-0.569001,-0.197714,0.0697549,-0.456523,0,0,0,-6.5,-2,-0.000766515,0,0,0,-0,-0,-0,-0,0,-0,0,0,0,0,-0.523566,0.00710787,0.523599,0,0,2.22398,-0.00555576,3.27249,0,-0.392699,4.189,-0.00736647,3.14159,0,0.523599,0,0,0,0,4.7327e-06,-0.523629,0.523566,-3.14147e-05,2.22398,3.27117,-0.394019,4.189,3.14181,0.523817,0,-1.15474,0.577366,0,-0.142494,0,0,0,0,0.0474074,0.0117992,1.00004,0.760944,-1.34963,-5.23473,-9.65921,22.1744,8.05022,-1.3895,7.92497,-14.0013,1.62692,-1.19302,-11.3389,0.000314422,83.8607,0.0040643,83.8607,40.0078,-140.536,39.9454,-140.561,-40.0854,-113.479,-40.0874,-113.482,-255.818,0.00803646,193.038,-80.2575,138.875,80.2201,0.853414,-12.5746,2.35074,-12.5746,-1.48429,23.3273,0.840136,23.3317,-1.20205,18.9994,-0.126473,19
0.08,-6.50077,-2.00101,0.0102859,0.034576,-1.13627e-05,0.586061,-0.523627,-0.477222,0.522504,0.0182009,4.77439e-05,-2.23016,2.22342,-3.24593,3.27061,0.366002,-0.394419,-4.20061,4.18907,-3.14227,3.14201,-0.543511,0.523946,-3.45077,-2.00108,-7.80849,-0.403937,-7.77702,-3.66178,-4.90077,-2.00103,-7.30076,-0.615365,-7.30079,-3.38665,0.0452348,0.419096,-0.524208,0.00539468,-0.00101479,-0.028418,-1.13627e-05,-0.0274558,-0.523627,-0.226723,0.523569,-0.0474607,-2.92861e-05,0.0172954,2.22342,-0.0490062,3.27062,-0.0453049,-0.394573,-0.0166834,4.18907,-0.0250527,3.14187,-0.0480323,0.523884,-0.0474124,1.00008,0.0119319,-1.2501,1.25059,-0.175644,9.08899,-18.1852,9.11363,-0.816001,-4.64458,9.29284,-9.11414,4.55983,-0.216148,-9.27029e-05,0.00018548,-1.13993,1.0294,-25.301,12.7076,0,12.351,-0.583239,7.73039,-3.89868,3.83137,-0.015767,-0.00798448,0.00217356,-1.18638,0.765185,-31.0162,15.4112,15.9683,-0.240407,7.80189,-3.85097,-7.98027,3.92384,0.0183409,-0.00321636,0.0010635,0.00220238,1.3078,-1.30744,0.150009,0.122288,0.349559,0.612013,1.16062,0.455067,-0.0487953,0.617153,-0.670001,-0.0978423,-0.00991262,-0.502607,0.153886,0.148068,0.152913,-6.5,-2,-0.00101479,0,0,-4.33681e-19,-8.67362e-19,-4.92973e-19,1.43932e-05,2.55872e-17,2.55601e-17,2.25514e-17,2.88398e-17,2.82977e-17,1.15739e-17,0,-0.523569,0.034012,0.523599,0,0,2.22343,-0.00730348,3.27249,0,-0.392699,4.18907,-0.00376157,3.14159,0,0.523599,0,0,0,0.00539437,-1.13627e-05,-0.523627,0.523569,-2.92861e-05,2.22342,3.27062,-0.394573,4.18907,3.14187,0.523884,0,-1.19821,0.58915,0,-0.0642326,0,0,0,0,0.0474074,0.0117992,1.00005,0.761026,-1.2221,-3.55033,-6.24039,23.1339,8.90467,-0.242836,11.3974,-14.6407,1.03764,-1.28512,-10.8597,0.000308043,68.986,0.00483379,68.986,36.6101,-131.925,36.5229,-131.96,-36.9248,-108.916,-36.927,-108.92,-228.424,0.00668964,176.591,-73.5344,127.934,73.9116,0.943995,-10.1721,2.45245,-10.1721,-1.55207,21.9419,1.20825,21.9481,-1.15124,18.2866,-0.136237,18.2875
0.12,-6.50092,-2.00115,0.0140919,0.0438148,-2.10505e-05,0.601702,-0.523625,-0.476079,0.521815,0.0191166,4.9512e-05,-2.23081,2.22313,-3.24299,3.27032,0.36408,-0.394697,-4.20217,4.18911,-3.14358,3.14214,-0.543952,0.523981,-3.45092,-2.00122,-7.80857,-0.403912,-7.77717,-3.66192,-4.90092,-2.00118,-7.30089,-0.615488,-7.30095,-3.38677,0.0456872,0.422032,-0.525424,0.0102868,-0.00114552,-0.0170526,-2.10505e-05,-0.0136034,-0.523625,-0.343171,0.52357,-0.0474708,-2.73909e-05,0.0438575,2.22313,-0.0489508,3.27033,-0.0450035,-0.394864,-0.0158621,4.18911,-0.00929337,3.14191,-0.0481308,0.52392,-0.0474199,1.00016,0.0261307,-1.2502,1.25156,-0.259868,9.22337,-18.4668,9.27878,-1.35444,-4.77866,9.56776,-9.27939,4.63511,-0.354445,-0.000110526,0.000221296,-1.15874,1.48903,-25.2876,12.7339,0,12.1567,-0.82024,7.71544,-3.90873,3.79141,-0.0157411,-0.0092179,0.0025228,-1.17392,0.952573,-31.1282,15.4245,16.3263,-0.229099,7.85618,-3.85408,-8.15865,3.98377,0.0398826,-0.00368462,0.0012137,0.00256728,1.32775,-1.32733,0.150016,0.0951509,0.230969,0.39103,1.18939,0.477963,-0.0162534,0.683604,-0.718446,-0.0390389,-0.0418086,-0.514423,0.156423,0.146527,0.155245,-6.5,-2,-0.00114552,0,0,0,1.73472e-18,3.3407e-18,1.71092e-05,-2.05998e-17,-2.02949e-17,-1.31188e-17,-1.69136e-17,-1.64799e-17,-9.12085e-18,0,-0.52357,0.0514806,0.523599,0,0,2.22314,-0.0072879,3.27249,0,-0.392699,4.18911,-0.00139554,3.14159,0,0.523599,0,0,0,0.0102859,-2.10505e-05,-0.523625,0.52357,-2.73909e-05,2.22313,3.27033,-0.394864,4.18911,3.14191,0.52392,0,-1.22514,0.59822,0,-0.0265746,0,0,0,0,0.0474074,0.0117992,1.00005,0.768046,-0.947255,-2.34178,-3.98887,23.6884,9.42778,-0.148742,13.3596,-14.8767,0.450686,-1.24175,-10.5015,0.000255746,34.4309,0.00413763,34.4309,28.5665,-112.452,28.4677,-112.491,-29.0562,-96.3878,-29.0552,-96.3949,-161.646,0.00442762,137.771,-57.4164,100.676,58.1681,0.99945,-4.62101,2.51124,-4.62101,-1.57709,18.825,1.41627,18.8319,-1.11328,16.3031,-0.13164,16.3045
0.16,-6.50068,-2.00127,0.0172359,0.0501197,-1.20939e-05,0.611571,-0.523577,-0.453883,0.52239,0.0287732,0.000278743,-2.23,2.22287,-3.23929,3.27006,0.360499,-0.394906,-4.20238,4.18919,-3.14424,3.14226,-0.543122,0.524075,-3.45068,-2.00126,-7.80829,-0.40392,-7.77689,-3.66211,-4.90068,-2.00129,-7.30067,-0.615624,-7.3007,-3.38691,0.068229,0.42567,-0.526059,0.0140937,-0.00127465,-0.0102328,-1.20939e-05,-0.00350315,-0.523577,-0.253914,0.52362,-0.00634301,2.18355e-05,0.0544657,2.22287,-0.0490219,3.27007,-0.0362095,-0.395121,-0.0160643,4.18919,-0.00284433,3.14199,-0.0482814,0.524019,-0.0474289,1.00026,0.0346515,-1.25032,1.25248,-0.294987,9.31193,-18.6559,9.39386,-0.972429,-4.57922,9.17423,-9.01341,4.50213,-0.293187,0.0717605,-0.143769,-1.14732,1.69881,-25.2888,12.7525,0,12.0418,-0.921158,7.70976,-3.91441,3.76316,-0.0230312,-0.0432641,0.0118745,-1.15811,1.05049,-31.1768,15.4378,16.5215,-0.226834,7.87762,-3.85688,-8.25509,4.02033,0.0492302,-0.00442067,0.00145464,0.00311052,1.33993,-1.33943,0.150024,0.0785994,0.157623,0.246737,0.848307,0.719145,0.0202755,0.769359,-0.624778,-0.00505782,-0.0562896,-0.493898,0.15498,0.145438,0.156669,-6.5,-2,-0.00127465,0,0,0,-8.67362e-18,-1.04083e-17,-0.0110868,-1.21431e-17,-1.20346e-17,-1.75641e-17,-6.93889e-18,-6.93889e-18,-2.47063e-17,0,-0.52362,0.0380843,0.523599,0,0,2.22288,-0.00729192,3.27249,0,-0.392699,4.18919,-0.000427236,3.14159,0,0.523599,0,0,0,0.0140919,-1.20939e-05,-0.523577,0.52362,2.18355e-05,2.22287,3.27007,-0.395121,4.18919,3.14199,0.524019,0,-1.23996,0.603878,0,-0.00342154,0,0,0,0,0.0474074,0.0117992,1.00006,0.740351,-0.789856,-1.59476,-2.49443,16.9874,14.3185,-0.471082,15.4488,-12.5765,0.121777,-1.17045,-9.84382,-0.0106402,19.5081,-2.27038,19.4396,23.6495,-99.741,24.6749,-99.5601,-24.7141,-87.6749,-24.7065,-87.685,-127.713,-0.00278868,116.111,-48.4246,85.6297,49.4862,1.51792,-2.27246,1.80085,-2.26096,-1.33325,16.752,1.63775,16.7262,-1.04356,14.8863,-0.124081,14.8882
0.2,-6.50065,-2.00141,0.020045,0.0548219,-1.64785e-05,0.618458,-0.523572,-0.452778,0.522125,0.0297548,0.000284927,-2.22817,2.22261,-3.23496,3.26977,0.360578,-0.39516,-4.20179,4.18929,-3.14456,3.14237,-0.542036,0.52417,-3.45065,-2.0014,-7.80819,-0.403919,-7.77684,-3.66229,-4.90065,-2.00144,-7.30063,-0.615759,-7.30067,-3.38704,0.0690622,0.429967,-0.526363,0.0172387,-0.00141314,-0.0062701,-1.64785e-05,0.00105922,-0.523572,-0.299393,0.523625,-0.0060775,2.68148e-05,0.0619296,2.22261,-0.0534695,3.26981,-0.0359711,-0.395386,-0.0183495,4.18929,-0.00160196,3.1421,-0.0484213,0.524118,-0.0474385,1.00036,0.0396038,-1.25046,1.25323,-0.328114,9.3692,-18.78,9.46905,-1.17631,-4.6334,9.28736,-9.08514,4.53041,-0.3472,0.0723474,-0.145017,-1.15456,1.83756,-25.306,12.7615,0,11.9951,-1.00646,7.71391,-3.91479,3.74832,-0.0280191,-0.0444063,0.0121877,-1.15347,1.06983,-31.1889,15.4501,16.6183,-0.216832,7.87989,-3.85927,-8.30187,4.04346,0.0514634,-0.00510151,0.00167959,0.00360872,1.34764,-1.34705,0.150032,0.0702276,0.117554,0.172181,0.874939,0.742834,0.0456341,0.871066,-0.623345,0.0146865,-0.0616979,-0.466757,0.155956,0.144869,0.15757,-6.5,-2,-0.00141314,0,0,-8.67362e-19,-5.20417e-18,-6.93889e-18,-0.0111585,-9.75782e-18,-9.89334e-18,-1.25767e-17,6.85216e-17,6.89553e-17,7.15709e-17,0,-0.523625,0.0449047,0.523599,0,0,2.22262,-0.00794629,3.27249,0,-0.392699,4.1893,-0.000240715,3.14159,0,0.523599,0,0,0,0.0172359,-1.64785e-05,-0.523572,0.523625,2.68148e-05,2.22261,3.26981,-0.395386,4.18929,3.1421,0.524118,0,-1.24746,0.60758,0,0.0100961,0,0,0,0,0.0474074,0.0117992,1.00007,0.761475,-0.697079,-1.18163,-1.73818,17.4533,14.7906,-0.702778,17.6674,-12.2334,-0.0432911,-1.03832,-9.03201,-0.0129653,6.17453,-1.85155,6.11247,21.0528,-94.3604,21.9831,-94.2252,-22.1869,-84.801,-22.1687,-84.8163,-104.08,-0.00279088,103.348,-43.1337,76.8685,44.4333,1.56797,-0.11006,1.85025,-0.0995686,-1.29688,15.9106,1.87294,15.8923,-0.957494,14.4553,-0.110074,14.4581
0.24,-6.50078,-2.00155,0.0226619,0.0585824,-2.10467e-05,0.623443,-0.523545,-0.441423,0.522431,0.0395159,0.000340542,-2.2257,2.22234,-3.23015,3.26945,0.359577,-0.395403,-4.20067,4.18939,-3.14441,3.14246,-0.540567,0.524262,-3.45078,-2.00151,-7.80826,-0.403916,-7.77695,-3.66248,-4.90078,-2.00159,-7.30075,-0.615895,-7.30081,-3.38718,0.0806667,0.434696,-0.526212,0.0200492,-0.00155296,-0.00389405,-2.10467e-05,0.0046621,-0.523545,-0.252464,0.523654,0.000607188,5.42979e-05,0.0694184,2.22234,-0.0615552,3.26953,-0.0312901,-0.395659,-0.0219197,4.18939,-0.00331592,3.1422,-0.0485581,0.524215,-0.0474486,1.00048,0.0425745,-1.2506,1.25386,-0.340143,9.40997,-18.869,9.52356,-0.975753,-4.53348,9.09062,-8.95382,4.46857,-0.299969,0.0841473,-0.168735,-1.14847,1.95853,-25.3348,12.7641,0,11.9917,-1.10121,7.72493,-3.91153,3.7425,-0.0406367,-0.0627894,0.0171996,-1.14805,1.04376,-31.1788,15.4607,16.659,-0.202004,7.87129,-3.86126,-8.32078,4.05925,0.0495869,-0.0057647,0.00190051,0.00408959,1.3529,-1.35223,0.150041,0.0654226,0.0940121,0.124623,0.720513,0.698086,0.0617349,0.984449,-0.553073,0.027955,-0.0553658,-0.430072,0.155234,0.144649,0.158184,-6.5,-2,-0.00155296,0,0,1.73472e-18,3.46945e-18,1.73472e-18,-0.0129623,1.30104e-18,1.30104e-18,3.03577e-18,8.23994e-18,7.37257e-18,1.06794e-17,0,-0.523654,0.0378623,0.523599,0,0,2.22235,-0.00913934,3.27249,0,-0.392699,4.18939,-0.000498429,3.14159,0,0.523599,0,0,0,0.020045,-2.10467e-05,-0.523545,0.523654,5.42979e-05,2.22234,3.26953,-0.395659,4.18939,3.1422,0.524215,0,-1.25073,0.610161,0,0.0182871,0,0,0,0,0.0474074,0.0117992,1.00007,0.770933,-0.642606,-0.935464,-1.24471,14.3586,13.9153,-0.865469,20.0298,-10.6635,-0.177731,-0.771346,-8.15442,-0.54235,-0.509432,-2.42291,-0.631858,19.4247,-91.2629,21.0277,-91.0215,-20.8327,-83.204,-20.8042,-83.2238,-91.3502,-0.00496013,96.2559,-40.2048,72.1726,41.7282,1.47518,0.965422,1.52217,0.986209,-1.13046,15.4224,2.12338,15.3884,-0.86446,14.2141,-0.0817713,14.2177
0.28,-6.50116,-2.0017,0.0242319,0.0608909,-3.1896e-05,0.626568,-0.52355,-0.441172,0.522292,0.0395694,0.000335878,-2.22385,2.22205,-3.22603,3.2691,0.35938,-0.395673,-4.20014,4.18949,-3.14488,3.14253,-0.539818,0.52435,-3.45116,-2.00168,-7.80857,-0.403907,-7.77732,-3.66265,-4.90116,-2.00175,-7.30112,-0.616029,-7.30121,-3.38731,0.0807842,0.438747,-0.5267,0.0226674,-0.00155296,-0.0024644,-3.1896e-05,0.00597292,-0.52355,-0.274695,0.523647,0.000770201,4.85323e-05,0.0772188,2.22205,-0.0720205,3.26925,-0.0309902,-0.395941,-0.025306,4.18949,-0.00729561,3.14229,-0.0486885,0.524308,-0.0474592,1.00059,0.0443627,-1.25074,1.25439,-0.355759,9.44003,-18.9353,9.56305,-1.071,-4.56096,9.1486,-8.99054,4.48171,-0.326338,0.0845304,-0.169558,-1.15187,2.0728,-25.3712,12.7624,0,12.0153,-1.20492,7.74034,-3.90589,3.74229,-0.0525419,-0.0641018,0.017503,-1.14791,1.00682,-31.1539,15.4701,16.6627,-0.194469,7.85543,-3.86299,-8.3213,4.0698,0.0445314,-0.00639463,0.00211221,0.0045423,1.35642,-1.35568,0.15005,0.0392497,0.0577128,0.0781189,0.725803,0.698889,0.0462603,1.08054,-0.558553,0.01326,-0.0647523,-0.411351,0.155694,0.144646,0.158596,-6.5,-2,-0.00155296,0,0,0,-8.67362e-18,-1.04083e-17,-0.0130064,-3.10082e-17,-3.05745e-17,-3.59955e-17,4.33681e-17,4.31512e-17,4.45878e-17,0,-0.523647,0.0411973,0.523599,0,0,2.22207,-0.0106828,3.27249,0,-0.392699,4.18949,-0.00109698,3.14159,0,0.523599,0,0,0,0.0226619,-3.1896e-05,-0.52355,0.523647,4.85323e-05,2.22205,3.26925,-0.395941,4.18949,3.14229,0.524308,0,-1.25121,0.611943,0,0.0084558,0,0,0,0,0.0474074,0.0117992,1.00007,0.790311,-0.366202,-0.554526,-0.76238,14.418,13.9223,-0.69618,21.7182,-10.9206,-0.0240101,-1.11631,-7.88157,-0.134186,-37.0686,-0.561679,-37.1461,11.3367,-72.1687,12.6448,-72.1058,-12.6006,-70.2346,-12.5617,-70.2595,-20.8169,-0.00101029,56.1767,-23.4828,43.6517,25.2436,1.47592,6.83967,1.52847,6.8533,-1.1577,12.3875,2.30238,12.3824,-0.835535,12.1639,-0.118342,12.1683
0.32,-6.50174,-2.00184,0.0251738,0.062348,-4.55353e-05,0.628542,-0.523544,-0.435882,0.522443,0.0455153,0.000335821,-2.22239,2.22176,-3.22212,3.26876,0.358884,-0.395953,-4.19998,4.18958,-3.14559,3.14261,-0.539357,0.524436,-3.45174,-2.00183,-7.80906,-0.403892,-7.77789,-3.66283,-4.90174,-2.00191,-7.30168,-0.616163,-7.3018,-3.38744,0.0862257,0.442598,-0.527419,0.0242384,-0.00155296,-0.00154902,-4.55353e-05,0.00728874,-0.523544,-0.250239,0.523654,-0.000599094,5.49943e-05,0.0854388,2.22176,-0.08027,3.26896,-0.0306655,-0.396233,-0.0283378,4.18958,-0.00900457,3.14238,-0.0488142,0.524398,-0.0474662,1.00066,0.0455083,-1.25083,1.25474,-0.361247,9.45901,-18.9771,9.58852,-0.965524,-4.51045,9.0491,-8.92431,4.45152,-0.296599,0.0821796,-0.164877,-1.1489,2.18499,-25.4,12.7622,0,12.039,-1.30149,7.75123,-3.90165,3.74489,-0.0619361,-0.0654386,0.0178294,-1.14863,0.968871,-31.1443,15.4772,16.6721,-0.179099,7.84754,-3.86417,-8.32472,4.07731,0.0424877,-0.00700633,0.0023168,0.0049816,1.35892,-1.3581,0.150055,0.0235488,0.0364269,0.0493553,0.641364,0.603418,0.0366605,1.17104,-0.571495,0.00399715,-0.0803336,-0.399863,0.155324,0.144755,0.158891,-6.5,-2,-0.00155296,0,0,0,-1.73472e-18,3.46945e-18,-0.0126349,1.4203e-17,1.38778e-17,8.67362e-18,-4.72712e-17,-4.74881e-17,-6.02274e-17,0,-0.523654,0.0375286,0.523599,0,0,2.22178,-0.0118945,3.27249,0,-0.392699,4.18958,-0.00135437,3.14159,0,0.523599,0,0,0,0.0242319,-4.55353e-05,-0.523544,0.523654,5.49943e-05,2.22176,3.26896,-0.396233,4.18958,3.14238,0.524398,0,-1.25211,0.613264,0,0.00258972,0,0,0,0,0.0474074,0.0117992,1.00007,0.805904,-0.19596,-0.32571,-0.455755,12.7124,12.0273,-0.585377,23.3605,-11.2823,0.0749623,-1.52922,-7.70596,0.231874,-59.7518,0.726933,-59.8132,6.35751,-60.644,7.74509,-60.6776,-7.53973,-62.5031,-7.49192,-62.532,22.9409,0.00126162,31.5078,-13.1816,26.1186,15.1074,1.27503,10.4844,1.34766,10.4958,-1.19605,10.5604,2.47648,10.5709,-0.816919,10.9467,-0.162114,10.9519
0.36,-6.50273,-2.00202,0.025739,0.0633601,-7.03698e-05,0.63002,-0.523567,-0.435481,0.522368,0.0455179,0.000313658,-2.221,2.2214,-3.21753,3.26836,0.357971,-0.396303,-4.20013,4.18968,-3.14665,3.14271,-0.539078,0.524535,-3.45273,-2.00209,-7.80994,-0.403866,-7.77889,-3.66304,-4.90273,-2.00213,-7.30263,-0.616322,-7.30283,-3.3876,0.0865741,0.447127,-0.528479,0.025181,-0.00155296,-0.000929949,-7.03698e-05,0.00772867,-0.523567,-0.258837,0.52363,-0.000517211,3.14168e-05,0.0930836,2.2214,-0.0866393,3.26859,-0.0302499,-0.396599,-0.0310918,4.18968,-0.0093435,3.14248,-0.0489575,0.5245,-0.0474706,1.00071,0.0462833,-1.25089,1.25496,-0.369241,9.47106,-19.0038,9.6045,-1.00103,-4.52109,9.07167,-8.93872,4.45649,-0.306827,0.0823623,-0.165268,-1.1502,2.28634,-25.4253,12.7642,0,12.0613,-1.38557,7.75865,-3.89841,3.74834,-0.0692739,-0.0671065,0.0182603,-1.14959,0.931568,-31.1448,15.4835,16.6857,-0.159532,7.8445,-3.86506,-8.32999,4.08299,0.0423021,-0.00771002,0.00255116,0.00548611,1.36081,-1.35991,0.150059,0.0141292,0.0253049,0.036936,0.650235,0.602947,0.0346504,1.27647,-0.594836,-0.0037647,-0.104307,-0.392921,0.155503,0.144897,0.159115,-6.5,-2,-0.00155296,0,0,0,3.46945e-18,1.38778e-17,-0.0126572,2.40422e-17,2.40693e-17,2.1684e-17,-3.36103e-17,-3.36103e-17,-2.05727e-17,0,-0.52363,0.0388214,0.523599,0,0,2.22142,-0.0128221,3.27249,0,-0.392699,4.18968,-0.00140585,3.14159,0,0.523599,0,0,0,0.0251738,-7.03698e-05,-0.523567,0.52363,3.14168e-05,2.2214,3.26859,-0.396599,4.18968,3.14248,0.5245,0,-1.25335,0.614337,0,-0.00163292,0,0,0,0,0.0474074,0.0117992,1.00007,0.827387,-0.0840356,-0.194407,-0.311779,12.8485,12.0049,-0.600948,25.3009,-11.8298,0.172091,-2.08468,-7.57553,0.551166,-76.016,1.65523,-76.0543,3.08368,-53.694,4.28355,-53.8491,-4.22343,-58.1315,-4.1663,-58.1646,52.7912,0.00165853,15.2916,-6.40399,14.6302,8.46432,1.27265,13.1124,1.36208,13.1201,-1.25409,9.47147,2.68218,9.50166,-0.803091,10.2736,-0.221,10.2795
