t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,,al1211,al1212u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,b4,b5,b6,b7,b8,b9,b10,b11,b12
0,-6.50007,-6.50354,0,0,-0.000733348,0.523599,-0.522912,-0.522216,0.524286,0.000744793,3.14228,-2.22529,2.2257,-3.2729,3.2729,0.403413,-0.392299,-4.18879,4.18868,-3.14148,3.14148,-0.524737,0.5234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02,-6.50007,-6.50354,0.0356147,0.0582258,-0.000733348,0.603653,-0.522912,-0.439136,0.524272,0.0721798,3.14231,-2.21142,2.2257,-3.25635,3.2729,0.405363,-0.392328,-4.17411,4.18868,-3.12213,3.1415,-0.518694,0.523425,-5.45007,-6.50509,-7.80727,-4.90704,-7.77748,-8.16347,-4.90007,-6.50471,-7.29906,-5.11731,-7.30109,-7.8886,0.0844228,0.408877,-0.504053,0,-0.00354159,-0.0521989,-0.000733348,-0.0321354,-0.522912,-0.0546926,0.524286,-0.0505744,3.14228,-0.0553557,2.2257,-0.0516233,3.2729,-0.0647167,-0.392299,-0.0642764,4.18868,-0.0476104,3.14148,-0.049562,0.5234,-0.0512914,1.00018,-0.0139921,-1.25023,1.25023,0.173681,8.89048,-17.781,8.90154,-0.206328,-4.43462,8.86924,-8.88734,4.45472,-0.0174323,0.000409127,-0.000819291,-1.11358,-0.0759923,-25.2702,12.6226,0,12.6584,0.0210594,7.76409,-3.87682,3.88485,0.00314933,0.0501883,-0.0134226,-1.2145,-0.226841,-30.8142,15.4154,15.4018,0.104938,7.70575,-3.85459,-7.70234,3.85607,-0.0102557,0.00893018,-0.00298179,-0.00594973,1.2862,-1.2872,0.200036,1.78073,2.91129,4.00271,4.15401,3.57175,0.693619,0.827518,0.0975017,0.733996,0.967859,0.302147,0,0,0,-6.5,-6.5,-0.00354159,0,0,-0,0,0,0,0,0,0,-0,0,-0,0,-0.522912,-0.0107688,0.524288,-0.0101148,3.14159,2.2257,-0.0103246,3.27289,-0.0129433,-0.392699,4.18868,-0.00952196,3.14139,-0.0099124,0.523599,0,0,0,0,-0.000733348,-0.522912,0.524286,3.14228,2.2257,3.2729,-0.392299,4.18868,3.14148,0.5234,0,-1.54095,0.771373,7.98248e-05,0.504368,-0.00118995,0.25724,-0.257439,0.00103406,0.0512821,0.0128458,1.00018,48.4642,-17.7205,0.650121,10.9597,-3.03608,0.856575,13.227,-2.77293,0.851571
0.04,-6.50106,-6.50436,0.056951,0.101177,-0.00172032,0.663008,-0.523022,-0.402557,0.522724,0.102507,3.1422,-2.20956,2.22572,-3.25626,3.27272,0.400192,-0.392291,-4.17398,4.18821,-3.12332,3.14078,-0.521632,0.522956,-5.45106,-6.50743,-7.80689,-4.90707,-7.77996,-8.16327,-4.90106,-6.50711,-7.29867,-5.11734,-7.30344,-7.88862,0.119555,0.408746,-0.505488,0.0356362,-0.00354159,-0.0251048,-0.00172032,-0.0204629,-0.523022,-0.424083,0.524175,-0.0504925,3.14217,-0.0638744,2.22572,-0.100838,3.27291,-0.0567329,-0.392291,-0.0515965,4.18821,-0.107443,3.14101,-0.0501387,0.522927,-0.05142,1.00145,0.0198565,-1.25194,1.2544,-0.213694,9.33292,-18.7033,9.40217,-1.70856,-4.88119,9.78319,-9.4022,4.67881,-0.409862,0.000474328,-0.000953278,-1.06208,0.171705,-25.4368,12.5646,0,12.3987,-0.205848,7.86307,-3.83503,3.73864,-0.0639899,0.0213534,-0.00554482,-1.16246,0.372856,-30.4854,15.4796,15.5648,-0.332103,7.53704,-3.87356,-7.79024,3.98941,-0.0891081,0.0056533,-0.00192587,-0.00386306,1.32995,-1.33061,0.200163,1.06682,2.14754,2.96777,6.05221,5.16266,0.0932306,0.832615,0.16016,0.00675951,0.884643,0.107756,0.210412,0.192471,0.207165,-6.5,-6.5,-0.00354159,0,0,-1.73472e-18,0,-1.19262e-18,2.45978e-17,2.1684e-17,2.21177e-17,2.3744e-17,-6.46184e-17,-6.37511e-17,-4.6187e-17,0,-0.523022,-0.0661762,0.524176,-0.0100905,3.14159,2.22572,-0.020168,3.2729,-0.0113466,-0.392699,4.18821,-0.0214922,3.14092,-0.0100277,0.523599,0,0,0,0.0356147,-0.00172032,-0.523022,0.524175,3.14217,2.22572,3.27291,-0.392291,4.18821,3.14101,0.522927,0,-1.55853,0.798046,8.17151e-05,-0.0684461,-0.000772611,0.26599,-0.266122,-0.00318529,0.0512821,0.0128458,1.00018,29.5473,-0.582497,0.948644,-1.2468,1.62374,0.778915,-3.37209,2.44343,1.03312
0.06,-6.50111,-6.50439,0.0697208,0.126971,-0.00176339,0.697906,-0.52303,-0.385955,0.521779,0.117184,3.1422,-2.20943,2.22572,-3.25612,3.27267,0.399822,-0.392289,-4.1747,4.18819,-3.12427,3.14074,-0.522216,0.52294,-5.45111,-6.50752,-7.80688,-4.90707,-7.78008,-8.16326,-4.90111,-6.50721,-7.29867,-5.11734,-7.30355,-7.88862,0.135216,0.408843,-0.506469,0.057023,-0.00354159,0.00214883,-0.00176339,-0.0664223,-0.52303,-0.667011,0.524168,-0.050523,3.14216,-0.0440754,2.22572,-0.111651,3.27292,-0.0565458,-0.392289,-0.0344293,4.18819,-0.114172,3.14099,-0.0500789,0.522911,-0.0516222,1.00343,0.0540367,-1.25451,1.26298,-1.20801,9.70351,-19.5395,9.85732,-2.02434,-5.24227,10.5583,-9.85734,4.79304,-0.642402,0.000475543,-0.000960284,-1.02051,0.797292,-25.5084,12.6388,0,11.9683,-0.50427,7.89174,-3.85434,3.60914,-0.0750529,0.0214288,-0.00556919,-1.1222,1.02922,-30.5441,15.5862,16.0987,-0.60063,7.55103,-3.90035,-8.05769,4.11975,-0.101036,0.00577203,-0.00197625,-0.0040718,1.3734,-1.37409,0.200361,0.638488,1.28971,1.74486,6.88227,5.89655,0.00640502,0.839744,0.141655,-0.0363025,0.836137,0.078554,0.215473,0.185738,0.213857,-6.5,-6.5,-0.00354159,0,0,3.46945e-18,-6.93889e-18,8.40257e-19,2.30528e-17,-2.55872e-17,-2.55872e-17,-3.3285e-17,7.63278e-17,7.63278e-17,9.24824e-17,0,-0.52303,-0.102615,0.524168,-0.0100914,3.14159,2.22572,-0.0223308,3.2729,-0.0113092,-0.392699,4.18819,-0.0228384,3.1409,-0.0100158,0.523599,0,0,0,0.056951,-0.00176339,-0.52303,0.524168,3.14216,2.22572,3.27292,-0.392289,4.18819,3.14099,0.522911,0,-1.61203,0.824118,8.43855e-05,-0.0652913,-0.00081436,0.27468,-0.274819,-0.00381413,0.0512821,0.0128458,1.00018,9.02905,14.6912,1.01106,-2.90711,2.20163,0.782025,-4.32244,2.69663,1.04056
0.08,-6.5012,-6.50456,0.0773671,0.14436,-0.00201683,0.730254,-0.52345,-0.324537,0.522548,0.160708,3.14189,-2.21057,2.22573,-3.25316,3.27269,0.388386,-0.392198,-4.17726,4.18847,-3.12729,3.14102,-0.524148,0.523223,-5.4512,-6.50787,-7.80662,-4.90705,-7.78043,-8.16336,-4.9012,-6.50779,-7.2984,-5.11731,-7.30399,-7.88859,0.197711,0.411728,-0.509492,0.0698467,-0.00354159,0.0184665,-0.00201683,-0.10199,-0.52345,-0.356564,0.523748,-0.0164242,3.14174,-0.0450323,2.22573,-0.110419,3.27293,-0.0346268,-0.392274,-0.0325151,4.18847,-0.113991,3.14127,-0.0489903,0.523192,-0.0517885,1.00506,0.0746466,-1.25665,1.27042,-1.93668,9.94265,-20.1053,10.1725,-0.187072,-4.65031,9.40489,-9.08393,4.38926,-0.393069,0.0323183,-0.0654953,-1.08047,1.02803,-25.5462,12.7064,0,11.6766,-0.561177,7.90399,-3.87469,3.52029,-0.0929821,-0.069607,0.0181408,-1.0768,1.28285,-30.6272,15.692,16.4542,-0.678093,7.57064,-3.92482,-8.23168,4.20499,-0.104386,0.0108059,-0.00371734,-0.00776619,1.40266,-1.40398,0.200523,0.382315,0.869437,1.6174,5.07283,4.76404,-0.0571775,0.988319,0.574186,-0.128032,0.699117,0.0338719,0.207521,0.181198,0.218321,-6.5,-6.5,-0.00354159,0,0,-6.93889e-18,-6.93889e-18,1.04083e-17,-2.08167e-17,-5.20417e-18,-5.20417e-18,-4.77049e-18,5.20417e-18,5.20417e-18,1.44741e-17,0,-0.52345,-0.0608878,0.523744,-0.00308078,3.14159,2.22573,-0.0220843,3.27292,-0.00692535,-0.392699,4.18847,-0.0228022,3.14119,-0.00979806,0.523599,0,0,0,0.0697208,-0.00201683,-0.52345,0.523748,3.14174,2.22573,3.27293,-0.392274,4.18847,3.14127,0.523192,0,-1.64683,0.841167,8.46721e-05,-0.130179,-0.00155324,0.280531,-0.280797,-0.00399559,0.0512821,0.0128458,1.00018,11.3381,7.13887,0.489747,-4.55713,3.44187,0.447497,-6.10128,3.05963,0.934059
0.1,-6.50086,-6.50473,0.0937115,0.168223,-0.0022538,0.763557,-0.523453,-0.273166,0.52372,0.202417,3.1421,-2.20005,2.22577,-3.24056,3.27274,0.394277,-0.392133,-4.1698,4.18857,-3.11988,3.14117,-0.515718,0.523313,-5.45087,-6.50842,-7.80597,-4.90704,-7.7804,-8.16338,-4.90087,-6.50833,-7.29774,-5.11729,-7.30399,-7.88856,0.250048,0.424311,-0.502022,0.0775406,-0.00472546,0.0306998,-0.0022538,-0.0391268,-0.523453,-0.0576371,0.523745,0.0599227,3.14175,-0.0350418,2.22577,-0.10867,3.27297,-0.024509,-0.392241,-0.0377421,4.18857,-0.103085,3.14137,-0.0496365,0.523289,-0.0519063,1.00625,0.09018,-1.25823,1.2765,-1.58428,10.1728,-20.6442,10.5718,0.526875,-3.99095,8.09905,-8.29277,4.15132,-0.169829,0.133394,-0.271214,-1.12661,1.33089,-25.558,12.7675,0,11.4535,-0.679628,7.90417,-3.8955,3.46236,-0.0975629,-0.113763,0.0297871,-1.05096,1.35652,-30.7395,15.7763,16.7899,-0.634048,7.61306,-3.94522,-8.39814,4.27487,-0.0892947,0.00766714,-0.00264174,-0.00559723,1.42565,-1.4266,0.200649,0.81722,1.19315,1.66517,2.20806,4.675,0.526329,1.62033,1.36289,0.37307,1.07491,0.436302,0.204811,0.178248,0.22199,-6.5,-6.5,-0.00472546,0,0,1.04083e-17,0,0,2.42861e-17,2.81893e-17,2.77556e-17,2.42861e-17,4.77049e-17,4.68375e-17,5.71917e-17,0,-0.523453,-0.0114028,0.523755,0.0117328,3.14159,2.22577,-0.021735,3.27295,-0.00490179,-0.392699,4.18857,-0.0206204,3.14128,-0.0099273,0.523599,0,0,0,0.0773671,-0.0022538,-0.523453,0.523745,3.14175,2.22577,3.27297,-0.392241,4.18857,3.14137,0.523289,0,-1.68016,0.855152,8.97794e-05,0.277983,-0.00111945,0.28513,-0.28532,-0.00294904,0.0512821,0.0128458,1.00024,21.8026,-2.13658,-2.46127,4.12204,1.58361,0.322573,4.80163,0.554078,0.907927
0.12,-6.50018,-6.50492,0.105434,0.186343,-0.00250682,0.786901,-0.523332,-0.251092,0.523824,0.22957,3.14219,-2.19367,2.22578,-3.2368,3.2726,0.399756,-0.392139,-4.1658,4.1887,-3.11801,3.14116,-0.511595,0.523424,-5.45019,-6.50908,-7.80494,-4.90703,-7.78004,-8.16343,-4.90019,-6.50893,-7.29671,-5.11728,-7.30365,-7.88855,0.272137,0.42794,-0.50027,0.0940105,-0.00492231,0.0403582,-0.00250682,-0.00499121,-0.523332,-0.0615747,0.523865,0.0543685,3.14186,-0.0323056,2.22578,-0.144539,3.27297,-0.0277947,-0.392234,-0.0375135,4.1887,-0.136611,3.1415,-0.0532021,0.523415,-0.0521953,1.00909,0.102706,-1.26189,1.28607,-1.467,10.4404,-21.285,11.0113,0.297089,-3.91479,7.9811,-8.26769,4.1603,-0.16955,0.137494,-0.280853,-1.14428,1.51662,-25.7477,12.7939,0,11.4492,-0.864343,8.00026,-3.88391,3.41724,-0.130501,-0.102107,0.0262494,-1.03952,1.48689,-30.6459,15.9037,16.7824,-0.815714,7.53888,-3.97585,-8.39249,4.32608,-0.132707,-0.00879634,0.0030729,0.00645062,1.44077,-1.43966,0.200932,0.586108,0.906029,1.16722,1.54187,3.93507,0.318865,1.80865,1.49581,0.199862,1.17478,0.524346,0.207348,0.175786,0.224473,-6.5,-6.5,-0.00492231,0,0,6.93889e-18,6.93889e-18,6.93889e-18,-4.51028e-17,1.9082e-17,1.99493e-17,1.30104e-17,4.51028e-17,4.68375e-17,4.26634e-17,0,-0.523332,-0.0121556,0.523866,0.0104112,3.14159,2.22578,-0.028909,3.27296,-0.00555894,-0.392699,4.1887,-0.0273276,3.14141,-0.0106404,0.523599,0,0,0,0.0937115,-0.00250682,-0.523332,0.523865,3.14186,2.22578,3.27297,-0.392234,4.1887,3.1415,0.523415,0,-1.67905,0.865405,9.39555e-05,0.131653,0.00129012,0.288153,-0.287932,-0.00578256,0.0512821,0.0128458,1.00025,15.8462,-0.688386,-2.50103,-0.286868,3.57926,0.358177,-0.0515063,2.46586,0.938989
0.14,-6.49917,-6.50511,0.11434,0.201279,-0.00275626,0.806643,-0.523286,-0.235255,0.523545,0.252701,3.14212,-2.1903,2.2258,-3.23609,3.27254,0.405409,-0.392144,-4.16406,4.18883,-3.11798,3.14122,-0.508627,0.523528,-5.44917,-6.5097,-7.80358,-4.90704,-7.77934,-8.16348,-4.89917,-6.50952,-7.29535,-5.11727,-7.30298,-7.88854,0.287761,0.428592,-0.500287,0.105813,-0.00511227,0.0485996,-0.00279626,-0.00491725,-0.523326,-0.14345,0.523872,0.0112956,3.14187,-0.033219,2.22576,-0.164591,3.27296,-0.0359862,-0.392251,-0.0415508,4.18879,-0.154538,3.14159,-0.0586282,0.523499,-0.0524469,1.01146,0.11349,-1.26498,1.29438,-1.68004,10.6421,-21.7839,11.335,0.0405462,-4.0281,8.24581,-8.47198,4.20403,-0.210924,0.0834918,-0.171265,-1.16003,1.64156,-25.8791,12.8305,0,11.4002,-0.961593,8.06441,-3.88267,3.37466,-0.143071,-0.0678141,0.0172457,-1.03275,1.52624,-30.628,16.0158,16.849,-0.891665,7.50621,-4.0027,-8.42398,4.37347,-0.151115,-0.0331942,0.0117047,0.0244762,1.45354,-1.44935,0.201169,0.445319,0.746788,0.987089,2.15114,3.03628,0.168259,1.84503,1.39658,0.0873687,1.1827,0.493232,0.209797,0.173637,0.226985,-6.49922,-6.5,-0.00511227,0,2,0,0,0,4.85723e-17,-8.67362e-18,-7.80626e-18,-7.37257e-18,9.45424e-17,9.45424e-17,8.30499e-17,0,-0.523326,-0.0272989,0.523874,0.00187992,3.14159,2.22576,-0.0329195,3.27294,-0.00719723,-0.392699,4.18879,-0.0309141,3.14149,-0.0117256,0.523599,0,0,0,0.105394,-0.00279626,-0.523326,0.523872,3.14187,2.22576,3.27296,-0.392251,4.18879,3.14159,0.523499,4.00023e-05,-1.68537,0.874891,9.78524e-05,0.0363215,0.00489525,0.290707,-0.28987,-0.00725282,0.0512921,0.0128495,1.00026,10.6639,1.60239,-0.869716,-3.12977,4.56945,0.478271,-2.96558,3.43013,1.00637
0.16,-6.49786,-6.50527,0.121291,0.214079,-0.00299094,0.824604,-0.523365,-0.218277,0.52325,0.268695,3.14199,-2.1889,2.22582,-3.23608,3.27253,0.40785,-0.392145,-4.1638,4.18888,-3.11892,3.14124,-0.507176,0.523546,-5.44786,-6.51019,-7.80195,-4.90702,-7.77834,-8.16346,-4.89786,-6.51006,-7.29371,-5.11725,-7.302,-7.88852,0.304577,0.428594,-0.501235,0.114771,-0.0052741,0.0563952,-0.00309095,-0.00709353,-0.523465,-0.197949,0.523733,-0.0118837,3.14173,-0.0371337,2.22572,-0.173212,3.27291,-0.0404945,-0.392297,-0.0473544,4.18878,-0.162067,3.14158,-0.0639346,0.523474,-0.0526645,1.01344,0.123738,-1.26759,1.30193,-1.91357,10.8199,-22.2321,11.6295,-0.0899508,-4.10081,8.42694,-8.62106,4.23155,-0.245255,0.0540088,-0.111227,-1.17269,1.72817,-25.9658,12.8778,0,11.3059,-0.997086,8.10395,-3.89025,3.33053,-0.146682,-0.0487352,0.0123352,-1.02266,1.5272,-30.6531,16.1163,16.9705,-0.906121,7.50015,-4.02729,-8.48398,4.42,-0.154926,-0.0565603,0.0200721,0.0419874,1.46602,-1.45888,0.201367,0.347569,0.64,0.898059,2.67344,2.51004,0.0703879,1.84677,1.30906,0.0129286,1.13771,0.389288,0.211601,0.171399,0.229444,-6.49805,-6.5,-0.0052741,0,5,6.93889e-18,1.38778e-17,2.08167e-17,-1.38778e-17,-1.82146e-17,-1.82146e-17,-1.34441e-17,3.46945e-18,2.60209e-18,2.1684e-18,0,-0.523465,-0.0374764,0.523735,-0.00267321,3.14159,2.22572,-0.0346443,3.27289,-0.00809889,-0.392699,4.18878,-0.0324209,3.14147,-0.0127869,0.523599,0,0,0,0.11424,-0.00309095,-0.523465,0.523733,3.14173,2.22572,3.27291,-0.392297,4.18878,3.14158,0.523474,0.000100015,-1.69745,0.884227,0.000111676,-0.0290483,0.00839748,0.293205,-0.291776,-0.00755951,0.0513071,0.0128551,1.00027,7.33342,3.33368,0.304025,-4.86627,5.10418,0.557543,-4.70105,3.81846,1.10053
0.18,-6.49627,-6.5054,0.126752,0.225475,-0.00321116,0.841816,-0.523552,-0.199455,0.522913,0.279965,3.14178,-2.18931,2.22582,-3.23728,3.27253,0.408708,-0.392151,-4.16485,4.18892,-3.1206,3.14127,-0.507,0.523572,-5.44628,-6.51057,-7.80006,-4.90697,-7.77705,-8.16343,-4.89628,-6.51054,-7.29182,-5.1172,-7.30072,-7.88847,0.323267,0.427399,-0.502903,0.12172,-0.00540178,0.0639769,-0.00341121,-0.00435259,-0.523752,-0.23561,0.523446,-0.0247821,3.14144,-0.0400083,2.22562,-0.17549,3.27282,-0.0447921,-0.392389,-0.0516406,4.18872,-0.163418,3.14152,-0.0685046,0.523414,-0.0528586,1.01509,0.13374,-1.26979,1.3089,-2.09067,10.9867,-22.6574,11.9201,-0.198179,-4.14251,8.54413,-8.73367,4.25283,-0.27362,0.0374155,-0.0773492,-1.1851,1.8263,-26.0212,12.9321,0,11.1842,-1.01887,8.12646,-3.90371,3.28746,-0.144004,-0.0299334,0.00757217,-1.01276,1.54774,-30.7049,16.2094,17.1255,-0.904372,7.5103,-4.05016,-8.56085,4.4641,-0.150887,-0.076289,0.0271987,0.0570523,1.47813,-1.46848,0.201531,0.273016,0.569786,0.860597,3.15136,2.05637,-0.0205512,1.78719,1.14799,-0.052646,1.05583,0.249825,0.21324,0.16921,0.231772,-6.4961,-6.5,-0.00540178,0,10,6.93889e-18,-6.93889e-18,0,-2.08167e-17,1.21431e-17,1.12757e-17,1.04083e-17,5.72459e-17,5.81132e-17,7.24247e-17,0,-0.523752,-0.0446404,0.523447,-0.00519386,3.14159,2.22562,-0.0350998,3.2728,-0.00895842,-0.392699,4.18872,-0.032691,3.14141,-0.0137009,0.523599,0,0,0,0.121091,-0.00341121,-0.523752,0.523446,3.14144,2.22562,3.27282,-0.392389,4.18872,3.14152,0.523414,0.000200058,-1.71285,0.893053,0.000114973,-0.086416,0.0114105,0.295626,-0.293696,-0.00710162,0.0513322,0.0128643,1.00028,5.05975,4.60352,1.38355,-6.24677,5.36641,0.650157,-6.06716,3.97323,1.19079
