t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,al1211,al1212,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,nu1,nu2,nu3,nu4,nu5,nu6,nu7,nu8,nu9,nu10,nu11,nu12,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,lambda13,lambda14,lambda15,lambda16,lambda17,lambda18,Q_phiR1, Q_varphiR1, Q_phiF1, Q_varphiF1, Q_phiR2, Q_varphiR2, Q_phiF2, Q_varphiF2, Q_phiR3, Q_varphiR3, Q_phiF3, Q_varphiF3
0,-6.50001,-2.00078,0,0,-3.42349e-05,0.523599,-0.523598,-0.523601,0.523599,-2.24958e-05,7.49191e-07,-2.22529,2.2252,-3.2724,3.2724,0.392707,-0.392797,-4.18879,4.18983,-3.14263,3.14263,-0.52363,0.524624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,-6.50001,-2.00078,0.00548442,0.0209074,-3.42349e-05,0.562042,-0.523598,-0.523601,0.523599,-2.24958e-05,7.49191e-07,-2.23191,2.2252,-3.2724,3.2724,0.392707,-0.392797,-4.19899,4.18983,-3.14263,3.14263,-0.52363,0.524624,-3.45001,-2.00083,-7.80807,-0.404586,-7.77609,-3.66188,-4.90001,-2.00083,-7.29996,-0.615112,-7.30006,-3.38639,-2.82281e-06,0.392797,-0.524624,0,-0.000780023,-0.0474502,-3.42349e-05,-0.0467907,-0.523598,-0.047729,0.523599,-0.0473855,7.49191e-07,-0.049069,2.2252,-0.0465202,3.2724,-0.0472991,-0.392797,-0.0319986,4.18983,-0.0552298,3.14263,-0.0486787,0.524624,-0.0474092,1.00004,-0.0118527,-1.25005,1.25005,-0.00555668,8.88922,-17.7784,8.88957,-0.0190908,-4.44463,8.88926,-8.8896,4.44516,-0.0121808,3.78606e-05,-7.57227e-05,-1.11129,-0.0333537,-25.293,12.6472,0,12.6444,0.00470878,7.76373,-3.8824,3.88109,-0.0108632,-0.000405586,0.000109006,-1.20228,0.224769,-30.8217,15.4251,15.369,-0.159834,7.68468,-3.84934,-7.67071,3.83557,-0.020107,-0.00664017,0.00221932,0.00441161,1.27855,-1.27781,0.150006,0.13711,0.522685,0.961068,1.12183,0.438226,-0.165314,0.174167,-0.491369,-0.255056,-0.145899,-0.416117,0,0,0,-6.5,-2,-0.000780023,0,0,-0,0,-0,-0,-0,0,-0,0,0,0,0,-0.523599,0.00715933,0.523599,0,0,2.2252,-0.00697568,3.27249,0,-0.392699,4.18983,-0.00831425,3.14159,0,0.523599,0,0,0,0,-3.42349e-05,-0.523598,0.523599,7.49191e-07,2.2252,3.2724,-0.392797,4.18983,3.14263,0.524624,0,-1.15474,0.577405,0,-0.147638,0,0,0,0,0.0474074,0.0117992,1.00004,0.751786,-1.37127,-5.30157,-9.74491,22.3814,8.48179,0.47997,0.773812,-12.7912,2.9625,-5.46458,-10.5274,0.00290629,84.967,0.00202066,84.967,40.1103,-140.428,40.1059,-140.43,-40.0482,-112.768,-39.9997,-112.795,-257.12,-0.000192632,193.659,-80.2382,138.64,80.2336,0.899165,-12.7603,2.37268,-12.7603,-1.35601,23.3029,0.0820327,23.3032,-1.11603,18.8737,-0.579307,18.8785
0.08,-6.50001,-2.00102,0.0103685,0.0349966,-4.71935e-05,0.586713,-0.523598,-0.523603,0.523599,-2.26036e-05,5.0876e-07,-2.23625,2.2252,-3.27239,3.27239,0.392711,-0.392798,-4.20397,4.19022,-3.14302,3.14302,-0.523643,0.525018,-3.45001,-2.00109,-7.80806,-0.404814,-7.776,-3.66229,-4.90001,-2.00109,-7.29995,-0.615341,-7.30008,-3.38662,-4.58827e-06,0.392798,-0.525018,0.00548474,-0.00101909,-0.028183,-4.71935e-05,-0.0272214,-0.523598,-0.228695,0.523599,-0.0473869,5.0876e-07,-0.00526755,2.2252,-0.03487,3.27239,-0.0473054,-0.392798,-0.0334909,4.19022,-0.0162586,3.14302,-0.0492128,0.525018,-0.0474125,1.00008,0.0122255,-1.2501,1.25061,-0.177831,9.09145,-18.1903,9.11659,-0.824711,-4.64669,9.29718,-9.11664,4.561,-0.218534,3.57212e-05,-7.14733e-05,-1.14025,0.752726,-25.2213,12.6882,0,12.2589,-0.358176,7.71944,-3.90589,3.81101,0.00289643,-0.00038737,0.000105446,-1.18058,0.500884,-31.1119,15.4438,16.0681,-0.0726006,7.81854,-3.85159,-8.01418,3.93961,0.0316232,-0.00929712,0.00307517,0.00637692,1.31324,-1.31219,0.15001,0.122103,0.352231,0.616794,1.16779,0.474296,-0.10858,0.113508,-0.562957,-0.124519,-0.307691,-0.443651,0.153929,0.147247,0.153527,-6.5,-2,-0.00101909,0,0,-8.67362e-19,3.46945e-18,1.23e-18,-5.54616e-06,-1.36609e-17,-1.34441e-17,-1.64392e-17,-1.17094e-17,-1.19262e-17,-8.70072e-18,0,-0.523599,0.0343043,0.523599,0,0,2.2252,-0.00522872,3.27249,0,-0.392699,4.19022,-0.0024509,3.14159,0,0.523599,0,0,0,0.00548442,-4.71935e-05,-0.523598,0.523599,5.0876e-07,2.2252,3.27239,-0.392798,4.19022,3.14302,0.525018,0,-1.2081,0.593877,0,-0.062218,0,0,0,0,0.0474074,0.0117992,1.00005,0.751354,-1.22107,-3.57139,-6.27284,23.3009,9.2721,0.944566,1.03926,-12.7049,1.63198,-7.15811,-9.7159,0.00252626,66.5655,0.00170632,66.5655,35.86,-129.349,35.8555,-129.351,-35.9867,-106.881,-35.9189,-106.918,-222.551,-0.000113225,173.136,-71.7351,124.549,72.1444,0.982947,-9.79473,2.47016,-9.79473,-1.34686,21.5147,0.110173,21.515,-1.02999,17.9537,-0.75884,17.9604
0.12,-6.50002,-2.00115,0.014193,0.0443074,-5.44649e-05,0.602472,-0.523598,-0.523604,0.523599,-2.265e-05,3.44483e-07,-2.2382,2.2252,-3.27239,3.27239,0.392713,-0.392798,-4.20608,4.19044,-3.14324,3.14324,-0.523647,0.525239,-3.45002,-2.00124,-7.80805,-0.404942,-7.77596,-3.66253,-4.90002,-2.00124,-7.29994,-0.615469,-7.30009,-3.38675,-5.70207e-06,0.392798,-0.525239,0.0103695,-0.00115325,-0.0166713,-5.44649e-05,-0.0136856,-0.523598,-0.345809,0.523599,-0.0473878,3.44483e-07,-0.00212109,2.2252,-0.0200169,3.27239,-0.0473082,-0.392798,-0.0456664,4.19044,0.00646407,3.14324,-0.0495353,0.525239,-0.0474201,1.00016,0.0266073,-1.25021,1.2516,-0.267773,9.22697,-18.4746,9.28317,-1.36167,-4.78184,9.57439,-9.28323,4.63647,-0.3577,3.42666e-05,-6.86118e-05,-1.15911,0.935708,-25.1763,12.7211,0,11.9967,-0.367947,7.6912,-3.92309,3.74967,0.0199187,-0.00038181,0.000104839,-1.16158,0.470907,-31.2604,15.4628,16.4864,0.0769252,7.88591,-3.85503,-8.21966,4.01154,0.0631993,-0.0108303,0.00356593,0.00757347,1.33722,-1.33599,0.150016,0.0956121,0.232769,0.393957,1.19662,0.496324,-0.0488354,0.0905298,-0.595034,-0.0527943,-0.381643,-0.444897,0.156473,0.144874,0.156327,-6.5,-2,-0.00115325,0,0,0,-8.67362e-18,-7.79387e-18,-5.30379e-06,7.37257e-18,7.58942e-18,-2.1684e-18,-6.1149e-17,-6.1149e-17,-5.69748e-17,0,-0.523599,0.0518712,0.523599,0,0,2.2252,-0.0030015,3.27249,0,-0.392699,4.19044,0.000975174,3.14159,0,0.523599,0,0,0,0.0103685,-5.44649e-05,-0.523598,0.523599,3.44483e-07,2.2252,3.27239,-0.392798,4.19044,3.14324,0.525239,0,-1.24002,0.605184,0,-0.0198808,0,0,0,0,0.0474074,0.0117992,1.00005,0.751556,-0.955951,-2.35738,-4.00694,23.8846,9.77528,0.496381,1.34296,-12.5157,0.754337,-7.97106,-9.1646,0.00181373,34.3179,0.0010365,34.3179,28.1854,-110.141,28.181,-110.143,-28.5012,-94.7368,-28.4229,-94.7804,-159.559,-5.49653e-05,136.081,-56.3826,98.629,57.1593,1.03629,-4.62074,2.53204,-4.62074,-1.32681,18.4283,0.142369,18.4286,-0.971551,16.0264,-0.845021,16.0342
0.16,-6.49874,-2.00129,0.0174191,0.0513376,-9.19119e-05,0.614007,-0.523602,-0.523599,0.523599,2.80805e-05,-1.57693e-06,-2.23878,2.22519,-3.27239,3.27239,0.392705,-0.392804,-4.20702,4.19065,-3.14345,3.14345,-0.523661,0.525478,-3.44874,-2.00144,-7.80672,-0.405047,-7.77466,-3.66276,-4.89874,-2.00144,-7.29861,-0.615575,-7.29886,-3.38686,1.70184e-06,0.392804,-0.525478,0.0141308,-0.00128918,-0.00985798,-0.000155918,-0.00328095,-0.523666,-0.421785,0.523535,-0.0474542,-6.55828e-05,-0.00374281,2.22512,-0.0126971,3.27232,-0.0473099,-0.392868,-0.0534178,4.19059,0.0166181,3.14339,-0.0498789,0.525414,-0.047445,1.00026,0.0351349,-1.25033,1.25253,-0.300187,9.31628,-18.6654,9.39957,-1.73173,-4.87059,9.75846,-9.39955,4.68636,-0.450371,-5.40085e-05,0.000108217,-1.17159,1.00531,-25.1573,12.7403,0,11.8475,-0.355321,7.6788,-3.93211,3.7107,0.0280028,-0.000440693,0.000121501,-1.1495,0.437561,-31.3304,15.4815,16.7138,0.161048,7.91407,-3.85837,-8.32995,4.05466,0.0781601,-0.0124026,0.00407872,0.00876616,1.3516,-1.35018,0.150024,0.0806527,0.175754,0.288378,1.25399,0.524392,-0.0145118,0.104449,-0.613104,-0.0234854,-0.421715,-0.431429,0.158156,0.143367,0.158006,-6.49865,-2,-0.00128918,0,6,0,-3.46945e-18,-5.65734e-18,8.34391e-06,1.95156e-17,1.97325e-17,1.13418e-17,-3.98986e-17,-3.98986e-17,-4.29344e-17,0,-0.523535,0.0632817,0.523599,0,0,2.22512,-0.00190344,3.27249,0,-0.392699,4.19059,0.0025083,3.14159,0,0.523599,0,0,0,0.014129,-0.000155918,-0.523666,0.523535,-6.55828e-05,2.22512,3.27232,-0.392868,4.19059,3.14339,0.525414,6.40059e-05,-1.2573,0.612001,0,-0.00234477,0,0,0,0,0.0474233,0.0118045,1.00006,0.560541,-0.877945,-1.80997,-2.90584,25.786,10.2301,-0.0858897,1.85922,-13.257,0.348151,-8.6312,-9.34798,0.014618,47.2558,0.0146428,47.2558,26.3486,-94.3257,26.3437,-94.3276,-26.8262,-81.141,-26.7606,-81.1774,-163.991,0.000258602,127.219,-52.7115,92.8153,53.8197,1.08451,-6.89602,2.7336,-6.89602,-1.40539,15.68,0.197098,15.6803,-0.990991,13.6464,-0.915004,13.6529
0.2,-6.49482,-2.00143,0.0203457,0.0576099,-0.000112576,0.624237,-0.523603,-0.523593,0.523596,2.48911e-05,-3.72924e-06,-2.2389,2.22518,-3.27238,3.27238,0.3927,-0.392809,-4.20774,4.19091,-3.14371,3.14371,-0.523668,0.525725,-3.44482,-2.00161,-7.80278,-0.405164,-7.7707,-3.66299,-4.89482,-2.00161,-7.29466,-0.615696,-7.29498,-3.38698,6.57087e-06,0.392809,-0.525725,0.0171766,-0.00142698,-0.00515437,-0.000357996,0.00442538,-0.523849,-0.47768,0.52335,-0.0474901,-0.000249149,-0.00251323,2.22494,-0.0113117,3.27214,-0.0473439,-0.393054,-0.0574797,4.19066,0.0207807,3.14346,-0.050269,0.52548,-0.0474994,1.00036,0.0410557,-1.25048,1.25338,-0.318351,9.38318,-18.8102,9.48946,-2.00779,-4.9369,9.89714,-9.48939,4.72309,-0.519781,-3.7857e-05,7.59061e-05,-1.18078,1.08339,-25.1534,12.7516,0,11.7587,-0.378433,7.67563,-3.93651,3.68599,0.0293466,-0.000487247,0.000134539,-1.14184,0.434559,-31.3683,15.4997,16.8542,0.198003,7.92504,-3.86131,-8.3962,4.08345,0.0849692,-0.0140677,0.00462728,0.0100103,1.36121,-1.35958,0.150032,0.0731643,0.156808,0.255747,1.34563,0.54607,-0.00286795,0.150792,-0.641549,-0.0179162,-0.445008,-0.437717,0.159396,0.142413,0.159128,-6.49483,-2,-0.00142698,0,23,0,1.73472e-18,-1.92435e-18,5.84034e-06,2.40693e-17,2.4503e-17,2.9453e-17,3.64292e-17,3.64292e-17,4.07118e-17,0,-0.52335,0.0717137,0.523599,0,0,2.22494,-0.00169467,3.27249,0,-0.392699,4.19067,0.00313741,3.14159,0,0.523599,0,0,0,0.0171737,-0.000357996,-0.523849,0.52335,-0.000249149,2.22494,3.27214,-0.393054,4.19066,3.14346,0.52548,0.00024542,-1.26763,0.616506,0,0.000644693,0,0,0,0,0.0474685,0.0118196,1.00007,0.372022,-0.912205,-1.739,-2.69807,28.3836,10.5121,-0.471109,2.74442,-14.5107,0.243259,-9.20301,-10.1413,0.0367231,73.2444,0.11061,73.2444,27.6873,-86.7953,27.6769,-86.7995,-28.2125,-72.5948,-28.1754,-72.6152,-194.094,0.000723823,133.69,-55.3933,97.5909,56.6212,1.1144,-11.2635,3.00898,-11.2635,-1.53829,14.269,0.29094,14.2698,-1.07509,12.0696,-0.975622,12.0731
0.24,-6.48863,-2.00156,0.023153,0.0641429,-0.000136398,0.635113,-0.523604,-0.523587,0.523595,2.6669e-05,-4.88463e-06,-2.23924,2.22518,-3.27238,3.27238,0.392691,-0.392813,-4.2087,4.19116,-3.14396,3.14396,-0.523682,0.525976,-3.43863,-2.00179,-7.79655,-0.405281,-7.76447,-3.66323,-4.88863,-2.00178,-7.28844,-0.615814,-7.28882,-3.3871,1.24447e-05,0.392813,-0.525976,0.0198053,-0.00156678,-0.00105418,-0.000680823,0.0114415,-0.524149,-0.527521,0.52305,-0.0475599,-0.00054931,0.00208873,2.22463,-0.0126664,3.27183,-0.0474036,-0.393358,-0.0603667,4.19061,0.0236985,3.14341,-0.0506842,0.525431,-0.0475834,1.00047,0.0462519,-1.25063,1.25423,-0.331834,9.44357,-18.9421,9.57267,-2.25655,-4.99659,10.0229,-9.57254,4.75591,-0.582514,-2.96342e-05,5.94637e-05,-1.18899,1.19406,-25.1546,12.7605,0,11.6911,-0.433905,7.67553,-3.93943,3.66744,0.0276485,-0.000547657,0.000151314,-1.13608,0.442566,-31.4001,15.5181,16.9733,0.222259,7.93301,-3.86429,-8.45187,4.10813,0.0900869,-0.0157055,0.00516856,0.0112396,1.36944,-1.36762,0.150041,0.0701831,0.163324,0.271905,1.47641,0.565801,-0.008539,0.218673,-0.692621,-0.0240272,-0.45045,-0.462786,0.160504,0.141696,0.160089,-6.48853,-2,-0.00156678,0,51,0,3.46945e-18,3.16409e-18,4.5661e-06,-3.90313e-18,-3.68629e-18,3.32037e-19,7.54605e-17,7.58942e-17,7.35089e-17,0,-0.52305,0.0792787,0.523599,0,0,2.22464,-0.00189562,3.27249,0,-0.392699,4.19062,0.00357732,3.14159,0,0.523599,0,0,0,0.0198013,-0.000680823,-0.524149,0.52305,-0.00054931,2.22463,3.27183,-0.393358,4.19061,3.14341,0.525431,0.000544426,-1.27582,0.620127,0,-0.00614891,0,0,0,0,0.047543,0.0118446,1.00007,0.235777,-0.99233,-1.96661,-3.07481,31.5626,10.7622,-0.650827,3.94344,-16.1848,0.240121,-9.54528,-11.2726,0.0410334,98.4361,0.268476,98.4361,30.2317,-85.204,30.213,-85.2117,-30.7473,-69.0441,-30.7463,-69.044,-228.766,0.00111744,145.977,-60.4853,106.346,61.7363,1.14092,-15.4446,3.34599,-15.4446,-1.71577,13.8664,0.418049,13.8678,-1.19502,11.3495,-1.01191,11.3493
0.28,-6.48161,-2.00169,0.0258501,0.0709661,-0.000160875,0.646708,-0.523605,-0.52358,0.523595,3.14581e-05,-4.90753e-06,-2.24004,2.22518,-3.27237,3.27237,0.392682,-0.392816,-4.21001,4.19139,-3.14419,3.14419,-0.523695,0.526208,-3.43161,-2.00196,-7.7895,-0.405387,-7.75743,-3.66345,-4.88161,-2.00195,-7.28139,-0.615921,-7.28183,-3.3872,1.99895e-05,0.392816,-0.526208,0.0222828,-0.00169884,0.00351844,-0.00103664,0.0188207,-0.52448,-0.580616,0.522719,-0.0476393,-0.000880675,0.0104431,2.2243,-0.0143848,3.2715,-0.047474,-0.393692,-0.0599826,4.19051,0.0269145,3.14332,-0.0510878,0.525333,-0.0476762,1.00058,0.0520497,-1.2508,1.25523,-0.35111,9.50876,-19.0857,9.66468,-2.51898,-5.06099,10.1593,-9.66446,4.7908,-0.650228,-2.4103e-05,4.84072e-05,-1.19771,1.35446,-25.1535,12.7719,0,11.6168,-0.519192,7.67403,-3.94351,3.64935,0.0255698,-0.000598623,0.000165582,-1.13047,0.511275,-31.4388,15.5378,17.1051,0.219039,7.94483,-3.86772,-8.51406,4.13252,0.0956815,-0.0172366,0.00567394,0.0124111,1.37758,-1.37557,0.150049,0.0674276,0.170581,0.289886,1.6157,0.584141,-0.0200237,0.285277,-0.75806,-0.0327004,-0.453509,-0.500606,0.161682,0.140996,0.161039,-6.48157,-1.99999,-0.00169884,0,82,1.73472e-18,1.04083e-17,1.72879e-18,3.70855e-06,1.34441e-17,1.27936e-17,1.81028e-17,-4.90059e-17,-4.85723e-17,-4.52112e-17,0,-0.522718,0.0873584,0.523599,0,0,2.2243,-0.00215031,3.27249,0,-0.392699,4.19052,0.00406138,3.14159,0,0.523599,0,0,0,0.0222773,-0.00103664,-0.52448,0.522719,-0.000880675,2.2243,3.2715,-0.393692,4.19051,3.14332,0.525333,0.000875767,-1.28477,0.623594,0,-0.0137055,0,0,0,0,0.0476255,0.0118722,1.00008,0.166821,-1.0517,-2.20759,-3.51226,34.648,11.0267,-0.647407,5.16731,-17.8782,0.298332,-9.82885,-12.4422,0.0259005,113.171,0.420061,113.171,32.0294,-85.5651,32.0049,-85.5752,-32.5159,-68.1412,-32.5429,-68.125,-250.454,0.00122911,154.656,-64.0819,112.456,65.3185,1.16896,-17.8765,3.67308,-17.8765,-1.89529,13.848,0.547793,13.8498,-1.31901,11.1291,-1.04197,11.126
0.32,-6.47359,-2.00182,0.0285643,0.0783478,-0.000188487,0.65945,-0.523604,-0.52357,0.523596,3.50524e-05,-4.05019e-06,-2.24131,2.22517,-3.27237,3.27237,0.392678,-0.392819,-4.2117,4.19163,-3.14443,3.14443,-0.523701,0.526453,-3.42359,-2.00213,-7.78143,-0.405496,-7.74937,-3.66368,-4.87359,-2.00213,-7.27332,-0.616032,-7.27385,-3.38731,2.99671e-05,0.392819,-0.526453,0.0245963,-0.00184016,0.00858248,-0.00144943,0.0268972,-0.524865,-0.63752,0.522335,-0.0477277,-0.001265,0.0200264,2.22391,-0.014887,3.27111,-0.0475631,-0.39408,-0.0575817,4.19037,0.0310877,3.14317,-0.0515349,0.525192,-0.047783,1.00069,0.0584787,-1.25099,1.25638,-0.373484,9.57941,-19.2428,9.76712,-2.80068,-5.13072,10.308,-9.76679,4.82829,-0.72384,-1.07879e-05,2.1688e-05,-1.20709,1.53491,-25.1477,12.7873,0,11.5287,-0.610057,7.66956,-3.94954,3.62936,0.0248753,-0.000629274,0.000174417,-1.12427,0.620489,-31.4882,15.5598,17.2559,0.201352,7.96167,-3.87172,-8.5855,4.15782,0.102776,-0.0189073,0.00622395,0.0137058,1.38602,-1.38381,0.150059,0.0678535,0.184543,0.318553,1.77351,0.603803,-0.031595,0.357127,-0.840569,-0.0423667,-0.45548,-0.550284,0.162948,0.140224,0.162024,-6.47349,-1.99998,-0.00184016,0,118,-1.73472e-18,-3.46945e-18,-7.96211e-20,1.65726e-06,-1.95156e-17,-1.97325e-17,-2.47977e-17,5.1608e-17,5.24754e-17,4.6946e-17,0,-0.522332,0.096048,0.523599,0,0,2.22392,-0.00222239,3.27249,0,-0.392699,4.19037,0.00468877,3.14159,0,0.523599,0,0,0,0.0245892,-0.00144943,-0.524865,0.522335,-0.001265,2.22391,3.27111,-0.39408,4.19037,3.14317,0.525192,0.00126095,-1.2949,0.627097,0,-0.021653,0,0,0,0,0.0477216,0.0119044,1.00009,0.137527,-1.12197,-2.51007,-4.07072,37.9371,11.3395,-0.605987,6.4959,-19.788,0.380671,-10.0973,-13.7327,0.0121728,124.744,0.536488,124.744,34.115,-88.8268,34.0873,-88.8382,-34.5865,-70.1519,-34.6304,-70.1259,-270.608,0.00109602,164.724,-68.2542,119.608,69.5119,1.20211,-19.757,4.02176,-19.757,-2.09775,14.3359,0.688639,14.338,-1.45582,11.4205,-1.07043,11.4158
0.36,-6.465,-2.00196,0.0313331,0.0862364,-0.000219405,0.673193,-0.523603,-0.523558,0.523598,4.47371e-05,-2.64887e-06,-2.24298,2.22517,-3.27237,3.27237,0.39267,-0.392822,-4.21372,4.19188,-3.14468,3.14468,-0.523714,0.526704,-3.415,-2.00231,-7.7728,-0.405604,-7.74076,-3.66391,-4.865,-2.00231,-7.26469,-0.616142,-7.2653,-3.38742,4.19083e-05,0.392822,-0.526704,0.0269053,-0.00198686,0.0143256,-0.00188739,0.0360168,-0.525271,-0.700411,0.52193,-0.0478266,-0.00167063,0.0311925,2.2235,-0.0143143,3.2707,-0.0476534,-0.39449,-0.0537515,4.19021,0.0365875,3.14302,-0.0519948,0.525036,-0.0478963,1.00082,0.065768,-1.25121,1.25776,-0.399265,9.65847,-19.4202,9.88505,-3.11307,-5.20872,10.4754,-9.88457,4.86982,-0.80645,-6.06353e-06,1.22048e-05,-1.21748,1.74126,-25.1373,12.8074,0,11.4245,-0.709919,7.66217,-3.95775,3.60681,0.0253634,-0.000677857,0.000188451,-1.11728,0.762857,-31.5501,15.5852,17.4324,0.175141,7.98422,-3.8765,-8.66953,4.18551,0.111919,-0.0206001,0.00677954,0.0150471,1.39526,-1.39284,0.150069,0.0692206,0.197215,0.343561,1.93844,0.625084,-0.0419579,0.427999,-0.934884,-0.0504507,-0.461661,-0.608031,0.164349,0.139352,0.163102,-6.46497,-1.99997,-0.00198686,0,156,0,0,1.47807e-18,9.29797e-07,-2.25514e-17,-2.23346e-17,-2.83078e-17,-1.64799e-17,-1.64799e-17,-1.5233e-17,0,-0.521925,0.105672,0.523599,0,0,2.22351,-0.00213388,3.27249,0,-0.392699,4.19022,0.00551529,3.14159,0,0.523599,0,0,0,0.0268963,-0.00188739,-0.525271,0.52193,-0.00167063,2.2235,3.2707,-0.39449,4.19021,3.14302,0.525036,0.00166798,-1.30686,0.630933,0,-0.0278665,0,0,0,0,0.0478232,0.0119384,1.0001,0.119846,-1.19676,-2.80942,-4.61918,41.3213,11.6882,-0.53627,7.82754,-21.8779,0.466065,-10.4466,-15.1412,0.00693672,135.549,0.639392,135.549,36.3164,-93.0206,36.2866,-93.033,-36.7791,-73.0649,-36.8347,-73.0322,-290.577,0.000769701,175.357,-72.6604,127.173,73.9508,1.23908,-21.5014,4.38052,-21.5014,-2.3193,14.9854,0.829807,14.9877,-1.60514,11.8697,-1.10746,11.8638
