t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,al1211,al1212,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,nu1,nu2,nu3,nu4,nu5,nu6,nu7,nu8,nu9,nu10,nu11,nu12,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,lambda13,lambda14,lambda15,lambda16,lambda17,lambda18,Q_phiR1, Q_varphiR1, Q_phiF1, Q_varphiF1, Q_phiR2, Q_varphiR2, Q_phiF2, Q_varphiF2, Q_phiR3, Q_varphiR3, Q_phiF3, Q_varphiF3
0,-6.50066,-2.00092,0,0,-5.10103e-06,0.523599,-0.523628,-0.52364,0.523568,-1.77269e-06,-3.00868e-05,-2.61799,2.22363,-3.27083,3.27083,0.392792,-0.394361,-3.66519,4.18905,-3.14185,3.14185,-0.523427,0.523859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,-6.50066,-2.00092,0.0064149,0.0216705,-5.10103e-06,0.546405,-0.523628,-0.510619,0.523567,-0.0148373,4.70247e-05,-2.15191,2.22363,-3.05022,3.2833,0.414122,-0.394242,-4.40783,4.18905,18.7162,3.30606,68.8774,0.52386,-3.45066,-2.00097,-7.80844,-0.403954,-7.77691,-3.66168,-4.90066,-2.00093,-7.30066,-0.615275,-7.30067,-3.38656,0.0129014,0.627319,21.4984,0,-0.000919607,-0.0474138,-5.10103e-06,-0.0475758,-0.523628,-0.0475166,0.523568,-0.0474527,-3.00868e-05,-3.46289,2.22363,2.04473,3.27083,-0.0469827,-0.394361,4.39912,4.18905,-2.26971,3.14185,-0.0474072,0.523859,-0.0474095,1.00004,-0.0118071,-1.25005,1.25005,-0.013183,8.88928,-17.7786,8.88918,-0.0108439,-4.44497,8.88994,-8.88962,4.44471,-0.0118701,-7.85206e-05,0.000157042,-1.11115,-28.0428,-22.3295,14.1226,0,6.23509,10.2109,5.91495,-4.7693,0.873723,0.537344,-0.00580002,0.00253219,-0.270561,34.2138,-23.0962,15.399,5.12996,0.013127,3.84462,-3.84689,-2.56385,-0.00166654,-0.00417707,-0.00191596,0.000958196,0.000638228,-0.000555459,0.000555321,0.150007,0.160373,0.541763,0.570145,0.325543,-0.370888,11.6521,5.51525,0.533236,-18.566,546.451,1735.02,0,0,-0,-6.5,-2,-0.000919607,0,0,-0,-0,-0,-0,-0,0,-0,0,0,0,0,-0.523568,0.00712825,0.523599,0,0,2.22364,0.304953,3.27249,0,-0.392699,4.18905,-0.340757,3.14159,0,0.523599,0,0,0,0,-5.10103e-06,-0.523628,0.523568,-3.00868e-05,2.22363,3.27083,-0.394361,4.18905,3.14185,0.523859,0,-0.384917,-0.000250202,0,0.182029,0,0,0,0,0.0474074,0.0117992,1.00004,1.52174,-1.60476,-5.5041,-5.02915,6.72076,-7.51549,-395.646,-1057.17,-770.929,770.9,2.65309e+07,8.44137e+07,0.000262078,0,0.00582299,59.5119,46.7896,-154.978,46.7471,-154.994,-46.9097,-104.233,-46.93,-104.223,-236.057,0.00710221,225.708,-93.9309,162.523,93.8891,-0.796727,1.68921,0.712475,-7.83203,-81.7272,26.0664,-112.072,25.139,8.9488e+06,17.6072,2.81257e+06,16.6243
0.08,-6.50094,-2.00117,0.0119188,0.036299,-2.14216e-05,0.586531,-0.523626,-0.460494,0.523349,0.0347723,4.88833e-05,-2.21048,2.22308,-3.23994,3.26647,0.37385,-0.394744,-4.28236,4.18911,-3.16741,3.1586,-0.540825,0.523996,-3.45094,-2.00124,-7.80858,-0.403908,-7.7772,-3.66195,-4.90094,-2.0012,-7.30091,-0.61551,-7.30097,-3.38679,0.0628063,0.42128,-0.532808,0.00641535,-0.00116791,-0.0283595,-2.14216e-05,-0.174487,-0.523626,-0.0846732,0.52357,-0.0474693,-2.80333e-05,1.04691,2.22308,-0.682956,3.27028,-0.0443353,-0.394915,-5.54366,4.18911,2.73315,3.14192,-0.0490374,0.523926,-0.0474138,1.0001,0.0120041,-1.25012,1.25066,-1.50075,9.00839,-18.0245,8.93831,1.13577,-4.56397,9.13184,-8.93891,4.39298,-0.0526351,-0.000110429,0.000220954,-1.09821,15.1224,-26.2498,12.2662,0,15.2765,-13.1176,8.30379,-3.62474,4.73801,-0.941325,-0.00997629,0.00231634,-1.467,-141.375,-40.4762,15.4209,43.2565,121.091,12.5279,-3.855,-21.6162,8.71069,8.0467,-0.00531231,0.00125116,0.00701005,2.90317,-2.90223,0.150011,0.137598,0.365711,1.00316,1.57905,0.869355,-1.46435,0.758569,-0.474324,3.13669,-0.637428,-0.436501,0.148253,0.183113,0.339455,-6.5,-2,-0.00116791,0,0,0,6.50521e-18,7.35563e-18,1.67142e-05,-3.1225e-17,-3.46945e-17,-2.75387e-17,-1.38778e-17,-1.38778e-17,-4.74338e-18,0,-0.52357,0.0127023,0.523599,0,0,2.22309,-0.101662,3.27249,0,-0.392699,4.18911,0.41043,3.14159,0,0.523599,0,0,0,0.0064149,-2.14216e-05,-0.523626,0.52357,-2.80333e-05,2.22308,3.27028,-0.394915,4.18911,3.14192,0.523926,0,-3.24605,1.30806,0,3.35797,0,0,0,0,0.0474074,0.0117992,1.00006,1.52203,-1.37491,-3.71238,-11.1097,30.4219,16.2384,24.6554,0.217185,-27.2752,-18.4204,16.4261,7.34555,0.00025942,-1.81854,0.00546941,12.1163,40.751,-196.848,40.5194,-196.94,-41.3862,-223.299,-41.3467,-223.344,-187.786,0.00526427,196.56,-81.9287,143.426,82.8698,1.72145,1.68872,3.22506,-0.271915,-2.89147,33.192,0.0230241,33.5855,0.778711,37.6344,1.74135,39.6313
0.12,-6.50111,-2.00132,0.0152208,0.0450598,-3.22039e-05,0.619044,-0.523624,-0.442254,0.521854,0.0529342,5.06662e-05,-2.22578,2.22275,-3.23813,3.2691,0.365431,-0.395059,-4.21842,4.18915,-3.14901,3.14693,-0.5392,0.524023,-3.45111,-2.0014,-7.80866,-0.403881,-7.77737,-3.66211,-4.90111,-2.00137,-7.30106,-0.615649,-7.30115,-3.38693,0.0795494,0.426026,-0.526111,0.01192,-0.00116791,-0.0169516,-3.22039e-05,-0.0257816,-0.523624,-0.339013,0.523572,-0.047483,-2.60458e-05,0.264586,2.22275,-0.189986,3.26995,-0.0444376,-0.395242,-1.60986,4.18915,0.781234,3.14196,-0.0485391,0.523966,-0.0474233,1.0002,0.0262552,-1.25025,1.25172,-0.374579,9.22631,-18.4743,9.27465,-1.2196,-4.78153,9.57432,-9.27537,4.62571,-0.348926,-0.000132121,0.000264557,-1.15638,4.24197,-25.5197,12.6373,0,12.7686,-3.13466,7.84915,-3.84514,3.98582,-0.188958,-0.0109853,0.00290113,-1.234,-29.5384,-33.8009,15.4304,22.5898,21.4148,9.1901,-3.85586,-11.2878,5.36475,1.46678,-0.00476907,0.00141102,0.00412693,1.78798,-1.78732,0.150019,0.0825498,0.219021,0.812825,2.03527,1.3234,-0.382477,0.795527,-0.685177,1.59871,-0.176493,-0.396665,0.156104,0.154047,0.20906,-6.5,-2,-0.00116791,0,0,0,1.04083e-17,8.17217e-18,2.04021e-05,6.50521e-18,6.07153e-18,-1.30104e-18,1.38778e-17,6.93889e-18,-6.09864e-18,0,-0.523572,0.0508566,0.523599,0,0,2.22276,-0.0282487,3.27249,0,-0.392699,4.18915,0.117332,3.14159,0,0.523599,0,0,0,0.0119188,-3.22039e-05,-0.523624,0.523572,-2.60458e-05,2.22275,3.26995,-0.395242,4.18915,3.14196,0.523966,0,-1.6953,0.805725,0,0.517203,0,0,0,0,0.0474074,0.0117992,1.00006,1.53602,-0.820245,-2.2212,-9.30661,38.9533,24.7553,7.29045,14.792,-16.0513,-27.0853,1.34225,-7.78921,0.000244914,18.8921,0.000160274,-125.716,24.5193,-148.125,24.2833,-148.219,-25.5341,-155.643,-25.4995,-155.681,-53.1121,0.00138335,118.228,-49.3244,88.4748,51.1243,2.62434,1.7042,4.12948,21.8837,-1.70162,25.3511,1.56812,25.4707,-0.825744,26.7596,0.142293,27.317
0.16,-6.49698,-2.00141,0.0188816,0.0513709,0.000199131,0.619991,-0.52309,-0.436128,0.522939,0.045775,0.000861166,-2.22608,2.22249,-3.23146,3.26949,0.364012,-0.395306,-4.20259,4.18924,-3.1427,3.14315,-0.542721,0.524138,-3.44699,-2.00033,-7.8048,-0.40403,-7.77289,-3.66243,-4.89698,-2.00109,-7.29726,-0.61593,-7.2967,-3.38721,0.0859491,0.433337,-0.523688,0.0150843,-0.00141161,-0.009855,6.04372e-05,0.149126,-0.523229,-0.249689,0.524009,0.0139056,0.000390224,0.100839,2.22235,-0.0804654,3.26955,-0.044257,-0.395643,-0.305049,4.1891,0.138366,3.1419,-0.0419386,0.523912,-0.0474664,1.00029,0.0351548,-1.25036,1.25263,1.14097,9.41145,-18.8569,9.61728,-2.31453,-4.40782,8.83154,-8.87085,4.51572,-0.296215,0.104684,-0.209738,-1.16914,2.26739,-25.3584,12.7404,0,12.1736,-1.39514,7.74253,-3.90102,3.80207,-0.0530203,-0.0122326,0.00333436,-1.17699,-3.86497,-31.6415,15.4354,17.561,2.90182,8.10958,-3.85599,-8.77372,4.27281,0.250164,0.0267074,-0.00861371,-0.019588,1.42782,-1.43103,0.150027,0.0915202,0.157778,0.0236816,0.441955,0.708482,-0.00737313,0.955707,-0.719741,0.395543,-0.0165981,-0.370393,0.158162,0.146949,0.166507,-6.49708,-2,-0.00141161,0,13,0,-6.93889e-18,-1.56125e-17,-0.0165604,5.80048e-18,5.85469e-18,8.07731e-18,-6.15827e-17,-6.15827e-17,-5.9848e-17,0,-0.524009,0.0374002,0.523599,0,0,2.22237,-0.0119476,3.27249,0,-0.392699,4.1891,0.0207771,3.14159,0,0.523599,0,0,0,0.0150821,6.04372e-05,-0.523229,0.524009,0.000390224,2.22235,3.26955,-0.395643,4.1891,3.1419,0.523912,0.000138694,-1.31746,0.641604,0,0.0869465,0,0,0,0,0.0474419,0.0118107,1.00007,0.618002,-1.09513,-1.68057,-0.296881,9.46487,14.8958,-0.181534,20.4528,-14.7817,-6.95856,0.00934048,-8.78655,-0.454406,-22.8461,-13.3105,151.279,34.4305,-116.927,35.5742,-116.594,-35.9454,-96.9763,-35.5595,-97.1118,-227.451,-0.120303,166.011,-69.3103,123.22,71.2156,1.57913,0.964547,1.00338,-23.5112,-1.56703,19.3497,2.16823,19.3094,-0.931473,16.2352,0.000990195,16.1776
0.2,-6.48951,-2.00139,0.0211032,0.0553183,0.000513766,0.622055,-0.522741,-0.434359,0.523415,0.0566653,0.00104425,-2.22473,2.22231,-3.22479,3.26934,0.358605,-0.395425,-4.19867,4.18872,-3.13272,3.14188,-0.545684,0.523642,-3.4395,-1.99934,-7.79772,-0.404167,-7.76513,-3.6624,-4.88951,-2.00057,-7.29022,-0.616161,-7.28879,-3.38744,0.0880121,0.439978,-0.514481,0.0183832,-0.00139355,-0.00622181,1.20711e-05,0.0708727,-0.523243,-0.21744,0.523929,-0.0163528,0.000342905,0.086834,2.2218,-0.0746032,3.269,-0.0344488,-0.39619,-0.0559217,4.18822,0.0110649,3.14102,-0.0412787,0.523019,-0.0475673,1.0004,0.0397778,-1.2505,1.25339,0.33076,9.41794,-18.8793,9.57646,-1.43329,-4.41348,8.8473,-8.83327,4.45402,-0.238263,0.0539839,-0.108216,-1.15495,2.1444,-25.3687,12.7606,0,12.0857,-1.27687,7.74198,-3.90693,3.77006,-0.05304,-0.0507158,0.0138645,-1.15906,0.446627,-31.1656,15.4217,16.6953,0.147678,7.88692,-3.85574,-8.3486,4.07688,0.0592835,0.031164,-0.0102292,-0.0221784,1.36251,-1.36616,0.150035,0.0555397,0.0986852,0.0515931,0.485433,0.345354,0.0336662,1.11789,-0.646172,0.0981875,0.220229,-0.439326,0.156003,0.145715,0.158872,-6.48943,-2,-0.00139355,0,47,8.67362e-19,1.04083e-17,8.67362e-18,-0.0084103,2.42861e-17,2.40693e-17,1.38778e-17,-3.72966e-17,-3.77302e-17,-4.0766e-17,0,-0.523929,0.0325787,0.523599,0,0,2.22183,-0.0110564,3.27249,0,-0.392699,4.18822,0.00165647,3.14159,0,0.523599,0,0,0,0.0183799,1.20711e-05,-0.523243,0.523929,0.000342905,2.2218,3.269,-0.39619,4.18822,3.14102,0.523019,0.000501695,-1.24983,0.610329,0,0.0119386,0,0,0,0,0.0475323,0.011841,1.00007,0.180217,-0.896721,-1.26869,-0.800719,10.6412,6.61835,-1.52679,23.7534,-13.2699,-2.20645,4.42248,-10.6526,-0.650887,-29.7431,-14.3422,196.817,28.0716,-79.2361,29.5416,-78.704,-29.7995,-61.3606,-29.5814,-61.4607,-222.514,-0.187935,138.189,-57.7242,102.328,59.0683,0.701619,0.829297,1.12808,-31.2966,-1.40676,12.858,2.51813,12.7891,-1.1293,10.0328,0.468832,10.0135
0.24,-6.47928,-2.00136,0.0224844,0.0577706,0.000958634,0.624457,-0.522325,-0.432149,0.523878,0.0573359,0.00145309,-2.22398,2.2224,-3.22057,3.26937,0.357118,-0.395314,-4.19816,4.18895,-3.13023,3.1419,-0.546663,0.523914,-3.42928,-1.99802,-7.78813,-0.404545,-7.75421,-3.66287,-4.87928,-1.99983,-7.28061,-0.616489,-7.27795,-3.38777,0.0902761,0.444114,-0.512246,0.0201245,-0.00137181,-0.00361497,-2.40843e-05,0.0323973,-0.523307,-0.205029,0.523836,-0.0157076,0.000264048,0.104092,2.22142,-0.0854059,3.26861,-0.0347223,-0.396574,0.0111657,4.18797,-0.0229207,3.14077,-0.0409701,0.522801,-0.0476936,1.00047,0.0431466,-1.25059,1.25391,-0.0847323,9.4306,-18.9114,9.56881,-1.01023,-4.41869,8.86088,-8.81798,4.42411,-0.226404,0.0557341,-0.111766,-1.14758,2.38619,-25.3932,12.7665,0,12.0818,-1.45715,7.75546,-3.90693,3.77076,-0.0647481,-0.0501931,0.0137106,-1.15935,1.60123,-31.0527,15.4224,16.5189,-0.556504,7.82678,-3.8544,-8.25716,4.03322,0.0106227,0.0334938,-0.0110433,-0.0237014,1.34841,-1.35231,0.15004,0.0345298,0.0613061,0.0600613,0.52018,0.362911,0.0187061,1.22565,-0.684269,0.0127681,0.287989,-0.448093,0.155021,0.145744,0.157174,-6.47932,-1.99999,-0.00137181,0,92,1.73472e-18,1.04083e-17,8.67362e-18,-0.00861686,-1.73472e-18,-1.51788e-18,-4.11997e-18,7.56773e-17,7.57857e-17,6.61363e-17,0,-0.523835,0.0307292,0.523599,0,0,2.22144,-0.0126405,3.27249,0,-0.392699,4.18797,-0.00342833,3.14159,0,0.523599,0,0,0,0.0201205,-2.40843e-05,-0.523307,0.523836,0.000264048,2.22142,3.26861,-0.396574,4.18797,3.14077,0.522801,0.000982718,-1.23505,0.603264,0,-0.00736562,0,0,0,0,0.0476522,0.0118812,1.00007,-0.0261524,-0.78395,-1.03477,-1.01936,9.41124,7.25361,-1.45902,25.1593,-13.9829,-1.0305,5.66069,-11.0291,-0.472199,-31.7744,-14.8645,210.192,24.4177,-59.1821,26.4159,-58.3182,-25.8888,-42.9616,-25.674,-43.0904,-212.266,-0.264646,120.818,-50.4543,88.8195,51.3018,0.768964,0.744036,0.997696,-33.6645,-1.48234,9.43548,2.66717,9.30661,-1.1692,6.85005,0.600096,6.86769
0.28,-6.46841,-2.00136,0.0235833,0.0603687,0.0013019,0.627379,-0.521828,-0.430752,0.524418,0.0581764,0.00197551,-2.22465,2.22276,-3.21982,3.26968,0.353779,-0.394924,-4.1992,4.18946,-3.13119,3.14236,-0.547807,0.524424,-3.41841,-1.99672,-7.77782,-0.405,-7.74272,-3.66338,-4.86841,-1.99927,-7.27022,-0.616759,-7.26661,-3.38804,0.0916905,0.444791,-0.51325,0.0209816,-0.00138075,-0.00196867,-0.00020535,0.020106,-0.523336,-0.20476,0.523849,-0.0147852,0.000256751,0.118171,2.22125,-0.0940267,3.26845,-0.0303534,-0.396736,0.0278202,4.18795,-0.0313474,3.14075,-0.0415211,0.522787,-0.0478279,1.00051,0.0453256,-1.25065,1.25426,-0.234303,9.44484,-18.9444,9.58024,-0.883608,-4.42281,8.87129,-8.81682,4.41514,-0.227918,0.0577292,-0.115806,-1.1458,2.57705,-25.4023,12.7657,0,12.081,-1.60253,7.76613,-3.9069,3.77386,-0.076987,-0.06765,0.0184557,-1.15647,1.90616,-31.0444,15.4311,16.5128,-0.733842,7.81095,-3.85323,-8.24684,4.02815,-0.000336574,0.0314168,-0.0103719,-0.022231,1.34687,-1.35054,0.150043,0.0274714,0.064953,0.0730311,0.527187,0.379483,-0.0167366,1.25358,-0.661737,-0.0262315,0.276887,-0.471571,0.154793,0.145859,0.156979,-6.46833,-1.99998,-0.00138075,0,141,1.73472e-18,-1.73472e-18,-1.73472e-18,-0.00890102,-2.15485e-17,-2.12504e-17,-2.21177e-17,-2.12504e-17,-2.11419e-17,-2.2443e-17,0,-0.523849,0.0306874,0.523599,0,0,2.22128,-0.0139087,3.27249,0,-0.392699,4.18795,-0.00468848,3.14159,0,0.523599,0,0,0,0.0209771,-0.00020535,-0.523336,0.523849,0.000256751,2.22125,3.26845,-0.396736,4.18795,3.14075,0.522787,0.00150725,-1.23344,0.602471,0,-0.0217271,0,0,0,0,0.0477831,0.011925,1.00007,-0.0202201,-0.73313,-1.12897,-1.17748,10.1378,7.51077,-0.942139,27.0832,-13.1484,-0.507054,5.24484,-11.6308,-0.100756,-29.4546,-14.1654,194.739,22.7512,-55.0582,24.8475,-54.1425,-24.0996,-40.7994,-23.8951,-40.9196,-197.254,-0.347957,112.573,-46.963,82.6481,47.7936,0.796226,0.711112,1.07472,-31.1835,-1.39388,8.77792,2.87112,8.63524,-1.233,6.51635,0.556012,6.54274
0.32,-6.45755,-2.0013,0.024204,0.0629313,0.00160289,0.631857,-0.521408,-0.427424,0.524804,0.0600843,0.00240128,-2.22574,2.22292,-3.21729,3.26984,0.350533,-0.394753,-4.20122,4.18998,-3.13319,3.14289,-0.549466,0.524946,-3.40755,-1.99557,-7.7674,-0.405264,-7.7313,-3.66381,-4.85755,-1.99874,-7.25977,-0.616945,-7.25533,-3.38822,0.0949784,0.447306,-0.515243,0.0215661,-0.00134395,0.000163882,-0.000418962,0.00739337,-0.52343,-0.211651,0.523759,-0.0150725,0.000164625,0.121158,2.2209,-0.0932347,3.26809,-0.030031,-0.397095,0.029315,4.18796,-0.029613,3.14076,-0.0423315,0.522797,-0.0479588,1.00053,0.0481108,-1.25069,1.25464,-0.397837,9.4621,-18.9842,9.59563,-0.779923,-4.4386,8.90547,-8.83102,4.41194,-0.236523,0.0576199,-0.115632,-1.14498,2.63835,-25.3987,12.7763,0,12.0348,-1.62734,7.76497,-3.91184,3.76414,-0.0758417,-0.069574,0.0190188,-1.153,1.96976,-31.0802,15.4418,16.5898,-0.749387,7.81662,-3.85243,-8.27782,4.03877,0.00327335,0.0279655,-0.00922917,-0.01985,1.35043,-1.3537,0.150045,0.0155179,0.0640644,0.111963,0.610577,0.424353,-0.0272581,1.32062,-0.728221,-0.0502885,0.239849,-0.512884,0.154681,0.145481,0.157394,-6.45758,-1.99996,-0.00134395,0,189,0,1.04083e-17,8.67362e-18,-0.00885821,1.87025e-17,1.92988e-17,2.08167e-17,2.14672e-17,2.12504e-17,3.1225e-17,0,-0.523759,0.03173,0.523599,0,0,2.22093,-0.0137745,3.27249,0,-0.392699,4.18796,-0.00442917,3.14159,0,0.523599,0,0,0,0.0215614,-0.000418962,-0.52343,0.523759,0.000164625,2.2209,3.26809,-0.397095,4.18796,3.14076,0.522797,0.00202185,-1.2381,0.604073,0,-0.0355164,0,0,0,0,0.0479115,0.011968,1.00006,-0.0097288,-0.624904,-1.17941,-1.65107,13.2488,8.09114,-0.979704,28.1618,-14.6877,-0.211105,4.22337,-12.7146,-0.000481999,-24.6075,-11.6381,162.641,19.1514,-47.1266,21.3821,-46.1581,-20.4047,-35.337,-20.2383,-35.4324,-166.431,-0.363897,95.4917,-39.8198,69.9582,40.5043,0.857752,0.598025,1.40452,-26.0201,-1.55706,7.51762,2.98546,7.37198,-1.34789,5.65825,0.447724,5.6815
0.36,-6.4468,-2.00124,0.0245587,0.0654461,0.00191222,0.63737,-0.520987,-0.423682,0.525116,0.0623255,0.00282796,-2.22737,2.2231,-3.21541,3.27003,0.345531,-0.39454,-4.20309,4.19026,-3.13296,3.14323,-0.552126,0.525239,-3.3968,-1.9944,-7.75712,-0.405545,-7.72004,-3.66414,-4.8468,-1.99818,-7.24944,-0.617135,-7.24415,-3.38841,0.0986058,0.449156,-0.514968,0.0216715,-0.00131024,0.00286094,-0.000624984,0.00561929,-0.523524,-0.230428,0.523667,-0.0151401,7.15761e-05,0.131262,2.22056,-0.0931792,3.26776,-0.0256961,-0.397431,0.0251567,4.18773,-0.0215093,3.14053,-0.0420701,0.522562,-0.0480881,1.00053,0.0516027,-1.25071,1.25503,-0.468579,9.48842,-19.0428,9.63063,-0.819941,-4.46283,8.95689,-8.86329,4.42146,-0.258779,0.0578026,-0.116048,-1.14745,2.78865,-25.3894,12.7888,0,11.9816,-1.70905,7.761,-3.91816,3.75721,-0.0775312,-0.0870677,0.0238663,-1.14721,1.94842,-31.1356,15.4458,16.7184,-0.695843,7.83857,-3.85152,-8.33783,4.05731,0.0138872,0.0298534,-0.00983145,-0.0213049,1.35706,-1.36056,0.150045,0.00886883,0.0628706,0.13782,0.70427,0.480312,-0.0406644,1.37216,-0.750935,-0.0468143,0.252781,-0.565673,0.155016,0.145211,0.158118,-6.44683,-1.99993,-0.00131024,0,237,0,-6.93889e-18,-1.73472e-18,-0.00887481,-1.66967e-17,-1.71304e-17,-1.51788e-17,-7.58942e-18,-6.93889e-18,-1.26852e-17,0,-0.523667,0.0345561,0.523599,0,0,2.2206,-0.0137504,3.27249,0,-0.392699,4.18773,-0.00321454,3.14159,0,0.523599,0,0,0,0.0216668,-0.000624984,-0.523524,0.523667,7.15761e-05,2.22056,3.26776,-0.397431,4.18773,3.14053,0.522562,0.0025372,-1.24608,0.606362,0,-0.0413623,0,0,0,0,0.0480403,0.0120112,1.00006,0.0216621,-0.551045,-1.21687,-2.03266,15.1266,9.18489,-0.805803,29.0742,-15.0179,-0.323955,4.2836,-13.832,-0.271612,-20.6265,-9.67879,136.28,16.6849,-43.114,18.8768,-42.1999,-17.9833,-32.9224,-17.8298,-33.0041,-143.573,-0.37455,84.0921,-35.0486,61.6406,35.7116,0.973701,0.529589,1.60359,-21.7579,-1.59206,6.90695,3.08219,6.77103,-1.46635,5.30904,0.454109,5.32221
