t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,,al1211,al1212u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,b4,b5,b6,b7,b8,b9,b10,b11,b12
0,-6.50009,-2.00164,0,0,-3.20569e-05,0.523599,-0.523603,-0.5236,0.523594,-4.08282e-05,3.14159,-2.61799,2.22615,-3.27335,3.27335,0.392498,-0.391846,-3.66519,4.19,-3.1428,3.1428,-0.52371,0.524809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02,-6.50009,-2.00164,0.0165422,0.0320186,-3.20569e-05,0.572328,-0.523603,-0.470153,0.523593,0.0396965,3.14161,-2.16791,2.22615,-3.17899,3.28166,0.457936,-0.391838,-4.39444,4.19,-0.716535,3.12023,5.19331,0.524798,-5.45009,-2.00168,-7.80836,-0.405926,-7.77611,-3.66283,-4.90009,-2.00169,-7.30004,-0.615969,-7.30013,-3.38725,0.05342,0.494508,1.87889,0,-0.00163538,-0.0474475,-3.20569e-05,-0.0468765,-0.523603,-0.0476763,0.523594,-0.0473625,3.14159,-3.44274,2.22615,2.03981,3.27335,-0.0475873,-0.391846,4.40616,4.19,-2.26967,3.1428,-0.0474045,0.524809,-0.0474111,1.00008,-0.0118493,-1.2501,1.2501,-0.00636673,8.88958,-17.7792,8.88988,-0.0180709,-4.44479,8.88959,-8.88989,4.44525,-0.0121479,2.59183e-05,-5.18394e-05,-1.11124,-27.909,-22.3114,14.0956,0,6.25585,10.3556,5.95058,-4.78274,0.891098,0.571405,0.00240367,-0.00104598,-0.276071,34.2488,-23.1014,15.4082,5.12169,0.105773,3.82779,-3.8385,-2.5555,-0.00781939,0.0103083,-0.00489108,0.00244816,0.00162522,-0.00260663,0.00260497,0.200016,0.827109,1.60093,2.43644,2.67235,1.98686,22.5041,4.71784,3.27192,-36.4623,121.313,285.851,0,0,-0,-6.5,-2,-0.00163538,0,0,-0,-0,-0,0,-0,0,0,0,0,0,0,-0.523603,-0.00952182,0.523594,-0.0094725,3.14159,2.22615,0.407962,3.27335,-0.00951746,-0.392699,4.19,-0.453925,3.1428,-0.00948091,0.523599,0,0,0,0,-3.20569e-05,-0.523603,0.523594,3.14159,2.22615,3.27335,-0.391846,4.19,3.1428,0.524809,0,-0.51109,-0.00156386,1.0145e-08,0.0926826,0.000325043,-0.000521326,0.000520995,0.000387106,0.0474074,0.0117992,1.00008,28.9957,-10.5423,0.761807,223.127,-82.7181,0.373891,-278.978,91.8617,0.369157
0.04,-6.5001,-2.00187,0.0288574,0.0535742,-3.85581e-05,0.602048,-0.523604,-0.452484,0.522716,0.0560855,3.14161,-2.20851,2.2263,-3.26443,3.27161,0.393129,-0.391684,-4.27362,4.1902,-3.15619,3.15327,-0.528702,0.525011,-5.4501,-2.00193,-7.80839,-0.406239,-7.77608,-3.66316,-4.9001,-2.00194,-7.30005,-0.616203,-7.30016,-3.38748,0.0702109,0.398862,-0.527936,0.0165452,-0.00187479,-0.0280967,-3.85581e-05,-0.0352916,-0.523604,-0.270407,0.523594,-0.0473626,3.14159,0.715273,2.2263,-0.520643,3.2735,-0.0484537,-0.391692,-5.20225,4.1902,2.51951,3.143,-0.0509888,0.525012,-0.0474372,1.00036,0.0123244,-1.25045,1.25139,-0.254468,9.14972,-18.3132,9.17621,-0.933406,-4.70367,9.41441,-9.17622,4.58059,-0.252867,2.65843e-05,-5.32121e-05,-1.08077,10.3785,-25.9603,12.2967,0,14.426,-8.86605,8.19504,-3.67448,4.45187,-0.664917,0.00355361,-0.000843366,-1.37924,-127.323,-39.5903,15.4809,40.4168,108.206,12.0458,-3.86801,-20.1591,8.41657,7.16186,-0.0117563,0.00286729,0.0148941,2.80575,-2.80367,0.200045,0.615759,1.07778,1.486,3.55584,2.80641,-2.03009,0.453503,0.0338906,6.04106,-0.659677,-0.248345,0.206096,0.229283,0.437273,-6.5,-2,-0.00187479,0,0,-1.73472e-18,8.67362e-18,5.42609e-18,-2.83028e-17,-1.9082e-17,-1.38778e-17,-1.86754e-17,-4.16334e-17,-5.55112e-17,-8.67362e-17,0,-0.523604,-0.0429314,0.523594,-0.00947226,3.14159,2.2263,-0.104129,3.2735,-0.00969075,-0.392699,4.1902,0.503892,3.14301,-0.0101978,0.523599,0,0,0,0.0165422,-3.85581e-05,-0.523604,0.523594,3.14159,2.2263,3.2735,-0.391692,4.1902,3.143,0.525012,0,-4.03175,1.68329,-1.0918e-05,5.89337,0.00297881,0.561149,-0.560735,0.285645,0.0474074,0.0117992,1.00009,12.3336,1.8178,0.810074,-49.3131,19.4423,0.584678,371.493,-126.27,-1.06463
0.06,-6.50011,-2.00195,0.0369559,0.0671667,-4.13318e-05,0.619987,-0.523604,-0.44249,0.522216,0.0653049,3.14162,-2.21643,2.22635,-3.26387,3.27307,0.394329,-0.39164,-4.20576,4.19026,-3.14177,3.14629,-0.522547,0.525069,-5.45011,-2.00201,-7.80841,-0.40633,-7.77607,-3.66326,-4.90011,-2.00201,-7.30005,-0.616273,-7.30017,-3.38755,0.0797032,0.400835,-0.52055,0.0288681,-0.00194632,-0.0165062,-4.13318e-05,-0.0445884,-0.523604,-0.398302,0.523594,-0.0473639,3.14159,0.119669,2.22635,-0.166259,3.27354,-0.0483681,-0.391649,-1.69573,4.19026,0.758705,3.14306,-0.0498325,0.525072,-0.0474901,1.00093,0.0268069,-1.25116,1.25371,-0.562928,9.3201,-18.6782,9.37163,-1.29511,-4.87154,9.76297,-9.37166,4.64908,-0.384148,2.63412e-05,-5.27933e-05,-1.06097,2.4606,-25.4791,12.5648,0,12.602,-1.88678,7.89569,-3.83259,3.86624,-0.153455,0.0036503,-0.000946926,-1.19782,-30.5856,-33.5339,15.4913,22.3384,22.0929,9.0189,-3.86527,-11.1408,5.44168,1.44393,-0.00997382,0.00300165,0.00862158,1.81404,-1.81263,0.200102,0.404925,0.679625,0.896945,4.05553,3.26738,-0.395918,0.483475,0.0939241,3.39297,0.0647374,0.0594252,0.209149,0.199093,0.282678,-6.5,-2,-0.00194632,0,0,1.73472e-18,1.73472e-17,1.21854e-17,-1.2182e-17,-9.97466e-18,-1.12757e-17,3.06287e-18,7.97973e-17,8.32667e-17,6.82505e-17,0,-0.523604,-0.0621156,0.523594,-0.00947236,3.14159,2.22635,-0.0332517,3.27354,-0.00967361,-0.392699,4.19026,0.151738,3.14307,-0.00996651,0.523599,0,0,0,0.0288574,-4.13318e-05,-0.523604,0.523594,3.14159,2.22635,3.27354,-0.391649,4.19026,3.14306,0.525072,0,-2.22811,1.08832,-7.05875e-06,1.17928,0.00172432,0.362808,-0.362527,0.0573573,0.0474074,0.0117992,1.00009,1.80178,9.57245,0.836342,-9.92673,4.46981,0.467573,113.241,-37.4871,0.0389727
0.08,-6.49981,-2.00202,0.042589,0.0761349,-4.10094e-05,0.631704,-0.523804,-0.435336,0.52173,0.0706389,3.14142,-2.216,2.22644,-3.26239,3.27345,0.396312,-0.391546,-4.18534,4.1904,-3.13589,3.14383,-0.519588,0.52521,-5.44981,-2.00198,-7.80813,-0.406456,-7.77574,-3.6634,-4.89981,-2.00209,-7.29976,-0.61635,-7.29987,-3.38763,0.086569,0.402602,-0.517272,0.0369656,-0.00202372,-0.00958892,-5.16762e-05,-0.0568266,-0.523815,-0.471692,0.523383,-0.0472514,3.14138,-0.0120218,2.22643,-0.095273,3.27363,-0.0484268,-0.391563,-0.410347,4.19039,0.107697,3.14319,-0.0495503,0.525203,-0.0475433,1.00146,0.0354669,-1.25183,1.25577,-0.817323,9.42836,-18.9161,9.49737,-1.42539,-4.97649,9.98439,-9.49619,4.68402,-0.456934,9.72777e-05,-0.000195185,-1.04862,0.919299,-25.4004,12.6283,0,12.1716,-0.607918,7.84518,-3.86627,3.71434,-0.0658423,0.00400106,-0.00105516,-1.15077,-5.5155,-31.3503,15.5132,17.3478,3.66212,7.92183,-3.86787,-8.64968,4.36544,0.214625,-0.0100437,0.00330621,0.00736553,1.45527,-1.45403,0.200156,0.281654,0.44841,0.585859,4.40779,3.53411,0.0214794,0.562357,0.193759,1.02095,0.365869,0.207769,0.210737,0.191271,0.226773,-6.49978,-2,-0.00202372,0,1,0,3.46945e-18,1.66696e-18,-4.84503e-17,3.16587e-17,3.20924e-17,4.18773e-17,-4.85723e-17,-4.85723e-17,-4.9277e-17,0,-0.523815,-0.0731324,0.523382,-0.00944843,3.14159,2.22643,-0.0190546,3.27363,-0.00968535,-0.392699,4.19039,0.0215391,3.1432,-0.00991005,0.523599,0,0,0,0.0369452,-5.16762e-05,-0.523815,0.523383,3.14138,2.22643,3.27363,-0.391563,4.19039,3.14319,0.525203,1.06668e-05,-1.72992,0.873081,-3.02528e-06,0.249273,0.00147311,0.291053,-0.290806,0.00831574,0.0474101,0.0118001,1.0001,-4.12999,14.1129,0.91675,-1.66656,1.50404,0.423949,24.9448,-7.47156,0.237855
0.1,-6.49895,-2.0021,0.0467699,0.0826675,-4.52142e-05,0.64025,-0.524004,-0.429742,0.521342,0.0743657,3.14122,-2.2145,2.22656,-3.26118,3.27358,0.397854,-0.391434,-4.18082,4.19054,-3.13408,3.14331,-0.518288,0.525323,-5.44895,-2.00195,-7.80729,-0.406589,-7.77486,-3.66352,-4.89895,-2.00217,-7.29889,-0.616426,-7.29902,-3.38771,0.0919731,0.403838,-0.516093,0.0425655,-0.00210246,-0.00538883,-9.85516e-05,-0.0639352,-0.524058,-0.520022,0.52314,-0.0471783,3.14113,-0.0353358,2.2265,-0.0897847,3.2737,-0.0484239,-0.391493,-0.100773,4.19049,-0.0554311,3.14329,-0.04956,0.525275,-0.0475962,1.00191,0.0407436,-1.2524,1.25739,-0.973014,9.50162,-19.0791,9.58503,-1.5197,-5.04684,10.1341,-9.58268,4.70744,-0.503954,0.000149934,-0.000301114,-1.04063,0.695292,-25.414,12.6396,0,12.0732,-0.428828,7.85252,-3.86938,3.67239,-0.0589319,0.00399535,-0.00105313,-1.1377,-0.261838,-30.8067,15.5348,16.2896,0.235353,7.64364,-3.87179,-8.12012,4.11981,-0.020119,-0.0103926,0.00350742,0.00732558,1.37341,-1.37217,0.200201,0.209047,0.326632,0.427294,4.68226,3.71925,0.0753379,0.628679,0.276625,0.226146,0.463111,0.274146,0.211813,0.189116,0.214023,-6.49888,-2,-0.00210246,0,5,-1.73472e-18,-6.93889e-18,-9.14118e-18,9.14796e-18,-6.93889e-18,-6.93889e-18,-1.78893e-17,4.98733e-18,4.77049e-18,3.25261e-19,0,-0.524058,-0.080392,0.523138,-0.00943249,3.14159,2.2265,-0.017957,3.2737,-0.00968478,-0.392699,4.19049,-0.0110863,3.14327,-0.009912,0.523599,0,0,0,0.0425356,-9.85516e-05,-0.524058,0.52314,3.14113,2.2265,3.2737,-0.391493,4.19049,3.14329,0.525275,5.33374e-05,-1.62413,0.824,1.87386e-05,0.0760693,0.00146512,0.274681,-0.274434,-0.00101014,0.0474207,0.0118036,1.0001,-7.45193,16.8787,1.00313,-0.839687,1.34912,0.400137,3.61223,-0.189922,0.261523
0.12,-6.49763,-2.00218,0.0500614,0.0880275,-6.47953e-05,0.647511,-0.524263,-0.424479,0.520949,0.0773231,3.14097,-2.21329,2.22663,-3.26028,3.27364,0.398724,-0.391362,-4.17937,4.1906,-3.13315,3.14325,-0.517501,0.525386,-5.44763,-2.00191,-7.80595,-0.406687,-7.77354,-3.66361,-4.89763,-2.00228,-7.29754,-0.616486,-7.29772,-3.38777,0.0970963,0.404726,-0.51529,0.0466912,-0.00217847,-0.00244815,-0.000182148,-0.0690632,-0.52438,-0.555141,0.522818,-0.0470764,3.14081,-0.0403109,2.22651,-0.0938406,3.27371,-0.0483946,-0.391485,-0.0537596,4.19048,-0.0859075,3.14329,-0.0496092,0.525274,-0.0476471,1.00228,0.0444523,-1.25287,1.2587,-1.0857,9.55643,-19.2019,9.65148,-1.58751,-5.09888,10.2455,-9.64776,4.72428,-0.537722,0.000224417,-0.000451057,-1.03482,0.677163,-25.4385,12.6421,0,12.0386,-0.418492,7.86635,-3.86778,3.65309,-0.0632956,0.00384034,-0.00100953,-1.13165,0.541462,-30.7013,15.5526,16.1465,-0.281814,7.5864,-3.87567,-8.04791,4.09487,-0.0612586,-0.0105688,0.0035883,0.00741903,1.36511,-1.36386,0.200239,0.164577,0.267999,0.36306,4.93932,3.86678,0.0603018,0.677463,0.325482,0.0720604,0.512493,0.314939,0.212594,0.188128,0.212735,-6.49753,-2,-0.00217847,0,11,3.46945e-18,-1.38778e-17,-1.11808e-17,1.11944e-17,3.59955e-17,3.55618e-17,3.41253e-17,-4.03323e-17,-4.11997e-17,-4.79759e-17,0,-0.52438,-0.0856728,0.522816,-0.00941018,3.14159,2.22651,-0.0187681,3.27371,-0.00967892,-0.392699,4.19048,-0.017182,3.14327,-0.00992184,0.523599,0,0,0,0.0466525,-0.000182148,-0.52438,0.522818,3.14081,2.22651,3.27371,-0.391485,4.19048,3.14329,0.525274,0.000117353,-1.60969,0.819009,1.7647e-05,0.0308867,0.00148381,0.273023,-0.272771,-0.00260589,0.0474366,0.011809,1.0001,-9.20483,18.6431,1.11149,-1.30229,1.63027,0.397968,-0.355215,1.24804,0.270615
0.14,-6.49599,-2.00226,0.0528512,0.0928472,-8.9715e-05,0.654126,-0.524437,-0.419726,0.520657,0.0802847,3.1408,-2.21241,2.22663,-3.25943,3.27363,0.399057,-0.39136,-4.17854,4.19053,-3.13222,3.14315,-0.51733,0.525314,-5.44599,-2.00194,-7.80428,-0.406746,-7.77196,-3.66364,-4.89599,-2.0024,-7.29586,-0.616544,-7.29611,-3.38783,0.101726,0.405551,-0.514383,0.0499161,-0.00225725,0.000127095,-0.000281768,-0.0716649,-0.524629,-0.586,0.522569,-0.0470457,3.14056,-0.0421479,2.22644,-0.0975024,3.27363,-0.0483406,-0.391558,-0.0496796,4.19034,-0.0926747,3.14314,-0.0495348,0.525127,-0.0476954,1.0026,0.0477076,-1.25328,1.25985,-1.16719,9.60353,-19.308,9.71087,-1.66499,-5.14366,10.3417,-9.70606,4.74021,-0.56713,0.000256581,-0.000516092,-1.03,0.692205,-25.4598,12.6462,0,12.0095,-0.428723,7.87712,-3.86692,3.63816,-0.06727,0.0035678,-0.000936079,-1.12696,0.643222,-30.6722,15.5654,16.1547,-0.351828,7.57126,-3.87933,-8.05304,4.10515,-0.0707206,-0.0100766,0.00342841,0.00708709,1.36854,-1.36734,0.20027,0.13949,0.240986,0.330747,5.17215,4.01256,0.043918,0.719564,0.345266,0.0418048,0.555609,0.323466,0.213329,0.187364,0.213276,-6.49595,-2,-0.00225725,0,18,6.93889e-18,0,6.36969e-18,1.7293e-17,-4.2067e-17,-4.25007e-17,-3.5345e-17,-4.03323e-17,-4.03323e-17,-2.3473e-17,0,-0.524629,-0.0903132,0.522567,-0.00940296,3.14159,2.22644,-0.0195005,3.27363,-0.00966812,-0.392699,4.19034,-0.0185355,3.14312,-0.00990695,0.523599,0,0,0,0.0498694,-0.000281768,-0.524629,0.522569,3.14056,2.22644,3.27363,-0.391558,4.19034,3.14314,0.525127,0.000192053,-1.6107,0.821062,1.61862e-05,0.0104353,0.00141742,0.273708,-0.273467,-0.0029447,0.0474552,0.0118152,1.00011,-10.3652,20.0219,1.19634,-1.76598,1.87189,0.421528,-1.26896,1.62582,0.318384
0.16,-6.49396,-2.00233,0.0552741,0.0973834,-0.000106902,0.660436,-0.52452,-0.415298,0.520465,0.0833805,3.14072,-2.21207,2.22669,-3.25919,3.27368,0.399099,-0.391293,-4.17819,4.19049,-3.1317,3.14309,-0.517459,0.525281,-5.44396,-2.00199,-7.80224,-0.406837,-7.76996,-3.66368,-4.89396,-2.0025,-7.29381,-0.616602,-7.2941,-3.38788,0.106043,0.405776,-0.513884,0.0526174,-0.00232856,0.00265939,-0.000395021,-0.074192,-0.524808,-0.614353,0.52239,-0.0470655,3.14038,-0.0411683,2.22641,-0.101072,3.2736,-0.0483891,-0.391588,-0.0475474,4.1902,-0.0966635,3.143,-0.0495114,0.524996,-0.0477458,1.00288,0.0509158,-1.25364,1.26095,-1.24757,9.64676,-19.4063,9.76641,-1.73211,-5.18526,10.4316,-9.76123,4.75496,-0.59381,0.000260398,-0.00052417,-1.02554,0.740786,-25.4752,12.6503,0,11.9795,-0.459424,7.8859,-3.86686,3.6257,-0.0710483,0.00368242,-0.000964666,-1.12309,0.712928,-30.6587,15.5783,16.1818,-0.394789,7.56323,-3.88279,-8.06711,4.11691,-0.0763863,-0.00981217,0.00334344,0.00691767,1.37246,-1.37129,0.200299,0.121144,0.22681,0.315523,5.39208,4.16616,0.0168141,0.734857,0.349428,0.0172531,0.579711,0.317213,0.214,0.186724,0.21389,-6.49393,-2,-0.00232856,0,27,3.46945e-18,1.38778e-17,9.6765e-18,-9.70361e-18,-9.54098e-18,-9.1073e-18,-2.10064e-17,9.45424e-17,9.49761e-17,1.00289e-16,0,-0.524808,-0.0945724,0.522388,-0.00940651,3.14159,2.22641,-0.0202143,3.2736,-0.00967782,-0.392699,4.1902,-0.0193332,3.14299,-0.00990227,0.523599,0,0,0,0.0525631,-0.000395021,-0.524808,0.52239,3.14038,2.22641,3.2736,-0.391588,4.1902,3.143,0.524996,0.000288119,-1.6135,0.823407,1.28636e-05,-0.00836625,0.00138353,0.274493,-0.274257,-0.00314152,0.0474791,0.0118232,1.00011,-11.2012,21.2013,1.25934,-2.33902,2.10781,0.432638,-1.96833,1.88667,0.360761
0.18,-6.49157,-2.0024,0.0574661,0.101802,-0.000121633,0.666725,-0.5246,-0.410818,0.520284,0.0864853,3.14064,-2.21224,2.22684,-3.25956,3.27382,0.399006,-0.391146,-4.17826,4.19051,-3.13161,3.1431,-0.517768,0.525302,-5.44157,-2.00204,-7.79986,-0.406969,-7.76758,-3.66375,-4.89157,-2.00259,-7.2914,-0.616659,-7.29174,-3.38794,0.11042,0.405402,-0.513809,0.0549407,-0.00239836,0.0052987,-0.000516523,-0.0777401,-0.524995,-0.640829,0.522203,-0.0470928,3.1402,-0.0399338,2.22645,-0.103036,3.27364,-0.048542,-0.391547,-0.0454961,4.19011,-0.0988647,3.14291,-0.0495657,0.52491,-0.0477963,1.00313,0.0542626,-1.25398,1.26204,-1.34074,9.68829,-19.5015,9.81999,-1.77875,-5.22528,10.5186,-9.81446,4.76803,-0.618382,0.000261136,-0.000526071,-1.02121,0.794135,-25.482,12.6556,0,11.9391,-0.486664,7.89131,-3.86841,3.61269,-0.0728888,0.00420962,-0.00110192,-1.11907,0.782768,-30.6586,15.5925,16.2247,-0.430222,7.56059,-3.8862,-8.08825,4.12931,-0.0795226,-0.00991544,0.00338231,0.00700976,1.3766,-1.37541,0.200324,0.109599,0.220954,0.314448,5.61467,4.32004,-0.00810872,0.723894,0.346378,-0.00310247,0.584928,0.302027,0.214594,0.186053,0.214538,-6.49168,-2,-0.00239836,0,37,-3.46945e-18,-1.38778e-17,-1.70762e-17,4.09286e-17,-2.73219e-17,-2.68882e-17,-2.11148e-17,-1.43115e-17,-1.43115e-17,-1.88651e-17,0,-0.524995,-0.0985501,0.522202,-0.00941165,3.14159,2.22645,-0.0206073,3.27364,-0.0097084,-0.392699,4.19011,-0.0197733,3.1429,-0.00991315,0.523599,0,0,0,0.0548792,-0.000516523,-0.524995,0.522203,3.1402,2.22645,3.27364,-0.391547,4.19011,3.14291,0.52491,0.000394891,-1.61771,0.825883,1.00701e-05,-0.0228806,0.00140195,0.275321,-0.275082,-0.00324878,0.0475057,0.0118321,1.00011,-11.8024,22.2514,1.32432,-2.77159,2.2525,0.422282,-2.49086,2.05066,0.389781
