t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,delta1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94
11.16,-5.35848,-1.03118,0.226319,0.0538449,0.05661,0.730028,-0.769129,-0.608368,0.772984,0.16586,3.15777,-1.6777,1.97133,-3.47392,3.5371,0.560188,-0.385928,47.8524,2.85006,-4.33778,4.40735,-0.354065,0.4928,-4.30365,-0.956924,-6.74536,0.513462,-6.56307,-2.72059,-3.76104,-0.940653,-6.23559,0.306977,-6.0788,-2.45987,0.148443,0.449105,-0.42323,0.209377,-0.0419387,-0.168383,0.036624,-0.296829,-0.789115,0.935684,0.749139,-0.0638789,3.13788,0.0874402,1.95135,-1.29111,3.52214,-0.308799,-0.404845,-0.0225703,1.04467,-0.193259,-1.30238,1.26352,0.194624,8.70298,-16.98,8.26909,4.13697,-1.99125,3.9511,-5.56048,2.80626,1.20461,-0.0730109,0.13909,-1.23827,4.89523,-93.7674,33.6143,0,74.2821,-7.86007,32.2405,-10.4509,4.72099,-2.20776,6.19469,-1.96861,-1.94986,0.204508,0.00563231,-0.00956734,-0.016504,-1.94404,-2.62807,0.0121252,3.41059,0.723509,1.65815,4.15344,0.140804,0.153726,0.269853,0.344726,-5.35925,-0.989249,-0.0419387,0,4295,3.46945e-18,7.80626e-18,1.73472e-17,-2.77556e-17,0,-8.32667e-17,-9.02056e-17,-1.8735e-16,-1.80411e-16,-1.80411e-16,0,-0.827549,0.100171,0.789113,0.0111235,3.14159,1.95135,-0.258222,3.52215,-0.0617598,-0.392699,2.83007,-0.738288,4.40087,-0.0658342,0.523599,0,0,0,0.20622,0.036624,-0.789115,0.749139,3.13788,1.95135,3.52214,-0.404845,2.83007,4.40087,0.473881,0.019986,-4.66093,4.16442,-4.2518e-06,-0.0377816,-0.250747,0.652946,-0.424423,-0.335138
11.18,-5.3565,-1.03117,0.226439,0.0536681,0.0566915,0.729713,-0.769117,-0.608439,0.772985,0.165042,3.15778,-1.67746,1.97131,-3.47381,3.53706,0.560186,-0.385958,47.8826,2.84989,-4.33989,4.40428,-0.351429,0.492463,-4.30168,-0.956793,-6.74349,0.513413,-6.56103,-2.72056,-3.75907,-0.940517,-6.23373,0.306911,-6.07671,-2.45992,0.148363,0.449212,-0.42807,0.209452,-0.0419722,-0.168681,0.0366644,-0.296647,-0.789144,0.936675,0.749096,-0.0628856,3.13784,0.0880412,1.95128,-1.29267,3.52207,-0.308915,-0.404917,-0.0225862,1.0447,-0.193619,-1.30242,1.26351,0.201061,8.70025,-16.9741,8.26723,4.13844,-1.98971,3.94813,-5.55982,2.80576,1.20499,-0.0712755,0.135775,-1.23805,4.95472,-93.9639,33.6748,0,74.4825,-7.89471,32.3199,-10.475,4.72339,-2.21555,6.20773,-1.97262,-1.95086,0.204511,0.00598847,-0.00884041,-0.015747,-1.9456,-2.62542,0.0121272,3.41471,0.723244,1.51172,4.03963,0.27134,0.153696,0.269972,0.387058,-5.35727,-0.989209,-0.0419722,0,4303,3.46945e-18,1.12757e-17,1.04083e-17,0,1.38778e-17,-5.55112e-17,-5.55112e-17,-1.94289e-16,-1.94289e-16,-2.01228e-16,0,-0.827654,0.100582,0.789147,0.0109649,3.14159,1.95128,-0.258534,3.52207,-0.061783,-0.392699,2.82986,-0.894117,4.40066,-0.0741295,0.523599,0,0,0,0.206292,0.0366644,-0.789144,0.749096,3.13784,1.95128,3.52207,-0.404917,2.82986,4.40066,0.473669,0.020027,-4.92808,4.7267,-3.42863e-06,-0.110005,-0.264851,0.741137,-0.482033,-0.47321
11.2,-5.35452,-1.03117,0.226564,0.053501,0.056779,0.729409,-0.769117,-0.608518,0.772989,0.164926,3.15778,-1.67721,1.97128,-3.47369,3.53703,0.560183,-0.385988,47.9112,2.84967,-4.34027,4.4013,-0.348947,0.492087,-4.2997,-0.956644,-6.74162,0.513361,-6.55898,-2.7205,-3.7571,-0.940367,-6.23187,0.306844,-6.0746,-2.45997,0.148288,0.449322,-0.431058,0.209534,-0.0420025,-0.168961,0.0367109,-0.296726,-0.789185,0.937692,0.749054,-0.062969,3.1378,0.088516,1.95121,-1.29415,3.522,-0.309011,-0.404987,-0.0226022,1.04474,-0.193959,-1.30247,1.2635,0.204995,8.69765,-16.9686,8.26524,4.14123,-1.98822,3.94529,-5.55908,2.80504,1.20645,-0.0713696,0.135945,-1.23825,5.00507,-94.1624,33.7365,0,74.6811,-7.92483,32.4,-10.4995,4.72555,-2.22247,6.2208,-1.97669,-1.95176,0.204514,0.006256,-0.00835653,-0.0151898,-1.94699,-2.63122,0.0121713,3.41903,0.723119,1.43123,4.00974,0.395442,0.153654,0.270083,0.427838,-5.3553,-0.98917,-0.0420025,0,4311,0,6.07153e-18,0,0,4.16334e-17,2.77556e-17,0,5.55112e-16,5.13478e-16,5.55112e-16,0,-0.82777,0.100665,0.789187,0.0109777,3.14159,1.95121,-0.25883,3.522,-0.0618023,-0.392699,2.8296,-1.04354,4.4004,-0.082025,0.523599,0,0,0,0.206371,0.0367109,-0.789185,0.749054,3.1378,1.95121,3.522,-0.404987,2.8296,4.4004,0.473411,0.0200681,-5.2012,5.26439,-3.82185e-06,-0.12552,-0.279108,0.825445,-0.537317,-0.62294
11.22,-5.35254,-1.03115,0.226692,0.0533386,0.0568726,0.729118,-0.76912,-0.60861,0.772996,0.164239,3.15777,-1.67697,1.97125,-3.47358,3.53699,0.560182,-0.386018,47.9393,2.84945,-4.33957,4.39834,-0.346436,0.491706,-4.29773,-0.956478,-6.73975,0.513308,-6.55692,-2.72045,-3.75512,-0.940204,-6.23,0.306776,-6.07248,-2.46002,0.148204,0.449429,-0.43293,0.209622,-0.0420285,-0.169229,0.0367634,-0.296967,-0.789229,0.93871,0.749016,-0.0622093,3.13776,0.0891563,1.95114,-1.29569,3.52194,-0.309122,-0.405058,-0.0226184,1.04478,-0.194283,-1.30252,1.26349,0.207332,8.69513,-16.9632,8.26318,4.14483,-1.9868,3.94259,-5.55833,2.80418,1.20703,-0.0700398,0.133403,-1.23803,5.06786,-94.363,33.7992,0,74.8818,-7.9606,32.4811,-10.5245,4.72784,-2.23041,6.23416,-1.98087,-1.95271,0.204518,0.00641937,-0.00811955,-0.0145213,-1.94867,-2.63155,0.0121378,3.42319,0.722898,1.40062,4.03416,0.51892,0.153609,0.270197,0.468764,-5.35333,-0.98913,-0.0420285,0,4319,-6.93889e-18,-8.67362e-19,-1.73472e-17,-2.08167e-17,1.38778e-17,0,-6.93889e-18,1.249e-16,9.71445e-17,1.38778e-16,0,-0.82789,0.101004,0.789232,0.0108561,3.14159,1.95114,-0.259138,3.52193,-0.0618244,-0.392699,2.82935,-1.1927,4.40014,-0.0899028,0.523599,0,0,0,0.206455,0.0367634,-0.789229,0.749016,3.13776,1.95114,3.52194,-0.405058,2.82935,4.40014,0.473148,0.0201092,-5.49099,5.80048,3.51799e-06,-0.0887639,-0.29428,0.909548,-0.592506,-0.789325
11.24,-5.35073,-1.03113,0.22682,0.0531777,0.05696,0.728829,-0.769126,-0.608706,0.773006,0.164101,3.15777,-1.67673,1.97122,-3.47347,3.53696,0.560181,-0.386048,47.9675,2.84928,-4.33806,4.39535,-0.343853,0.491367,-4.29594,-0.956314,-6.73806,0.513265,-6.55504,-2.72041,-3.75333,-0.940046,-6.22832,0.306718,-6.07055,-2.46007,0.148124,0.449539,-0.434074,0.209719,-0.0420462,-0.169501,0.0368148,-0.297066,-0.789271,0.939708,0.748986,-0.0622676,3.13772,0.0892812,1.95107,-1.29703,3.52187,-0.309189,-0.405124,-0.0226328,1.04482,-0.194614,-1.30257,1.26349,0.210979,8.69277,-16.9581,8.26134,4.14766,-1.9853,3.93971,-5.55752,2.80344,1.20844,-0.0700987,0.133506,-1.23821,5.09275,-94.564,33.8616,0,75.0787,-7.97878,32.5621,-10.5493,4.72956,-2.23514,6.24737,-1.98498,-1.95342,0.204522,0.00639197,-0.00804476,-0.0144905,-1.9512,-2.63848,0.0121023,3.42747,0.722864,1.413,4.10085,0.648085,0.153568,0.270294,0.511411,-5.3516,-0.989095,-0.0420462,0,4326,0,3.46945e-18,1.04083e-17,6.93889e-18,0,0,1.38778e-17,4.16334e-17,4.16334e-17,0,0,-0.827999,0.101094,0.789274,0.0108648,3.14159,1.95107,-0.259406,3.52187,-0.0618377,-0.392699,2.82913,-1.34717,4.39993,-0.0980499,0.523599,0,0,0,0.206547,0.0368148,-0.789271,0.748986,3.13772,1.95107,3.52187,-0.405124,2.82913,4.39993,0.472937,0.0201452,-5.80937,6.35592,3.85747e-06,0.00267821,-0.310963,0.996644,-0.649682,-0.979608
11.26,-5.34853,-1.0311,0.226948,0.053012,0.057072,0.72855,-0.769139,-0.608842,0.773025,0.16339,3.15776,-1.67649,1.97119,-3.47335,3.53692,0.560176,-0.386078,47.9969,2.8491,-4.33572,4.39218,-0.341056,0.491,-4.29375,-0.956093,-6.736,0.51321,-6.55272,-2.72037,-3.75114,-0.939839,-6.22627,0.306647,-6.06819,-2.46012,0.148018,0.449651,-0.434544,0.209804,-0.0420628,-0.169742,0.0368806,-0.297678,-0.78933,0.940715,0.748954,-0.0615559,3.13766,0.090056,1.951,-1.29856,3.52179,-0.3093,-0.4052,-0.0226508,1.04486,-0.194904,-1.30262,1.26349,0.209703,8.6903,-16.953,8.25905,4.15309,-1.98414,3.93757,-5.55694,2.80233,1.20899,-0.0688519,0.131122,-1.23793,5.16567,-94.7677,33.927,0,75.2789,-8.01879,32.6443,-10.5752,4.73185,-2.24379,6.26093,-1.98934,-1.95437,0.204526,0.00638482,-0.00828183,-0.0139485,-1.95295,-2.6409,0.0120356,3.43186,0.722459,1.46899,4.20856,0.785695,0.153512,0.270406,0.557399,-5.34938,-0.989051,-0.0420628,0,4335,3.46945e-18,-3.46945e-18,-3.46945e-18,4.16334e-17,-1.38778e-17,-1.38778e-17,6.93889e-18,-5.55112e-17,-8.32667e-17,-8.32667e-17,0,-0.828144,0.101408,0.789334,0.0107509,3.14159,1.951,-0.259713,3.52179,-0.0618599,-0.392699,2.8289,-1.51255,4.39969,-0.106782,0.523599,0,0,0,0.206629,0.0368806,-0.78933,0.748954,3.13766,1.951,3.52179,-0.4052,2.8289,4.3997,0.472701,0.0201914,-6.17052,6.9502,1.26841e-05,0.164028,-0.329952,1.08989,-0.710904,-1.20336
11.28,-5.34652,-1.03107,0.227071,0.0528399,0.0571751,0.728269,-0.769158,-0.608986,0.773048,0.16321,3.15774,-1.67625,1.97116,-3.47323,3.53688,0.560171,-0.386109,48.0283,2.84894,-4.33252,4.38873,-0.337982,0.490649,-4.29175,-0.955876,-6.73412,0.51317,-6.5506,-2.72033,-3.74913,-0.939641,-6.22439,0.30659,-6.06603,-2.46016,0.147916,0.449768,-0.434439,0.209895,-0.0420701,-0.169999,0.0369425,-0.298016,-0.789391,0.941683,0.748932,-0.0616408,3.1376,0.090219,1.95093,-1.29988,3.52172,-0.309362,-0.405273,-0.0226671,1.0449,-0.195214,-1.30267,1.26348,0.211044,8.68796,-16.9481,8.25709,4.15709,-1.98289,3.93522,-5.5564,2.80147,1.21036,-0.0689546,0.131308,-1.23807,5.19342,-94.9708,33.9916,0,75.4749,-8.03798,32.7259,-10.6008,4.7335,-2.24864,6.27423,-1.99358,-1.95506,0.20453,0.00618103,-0.00860704,-0.0140211,-1.95547,-2.6499,0.0119571,3.43637,0.722176,1.5725,4.36064,0.939373,0.153464,0.270501,0.608875,-5.34741,-0.989011,-0.0420701,0,4343,-3.46945e-18,-1.04083e-17,0,3.46945e-17,-4.16334e-17,-2.77556e-17,-2.08167e-17,-4.44089e-16,-4.16334e-16,-4.57967e-16,0,-0.82828,0.101476,0.789394,0.0107639,3.14159,1.95093,-0.259976,3.52172,-0.0618723,-0.392699,2.82871,-1.69608,4.39949,-0.116459,0.523599,0,0,0,0.206715,0.0369425,-0.789391,0.748932,3.1376,1.95093,3.52172,-0.405273,2.82871,4.3995,0.472504,0.0202326,-6.59594,7.61016,1.38968e-05,0.415131,-0.352318,1.19339,-0.778874,-1.4763
11.3,-5.34469,-1.03104,0.227189,0.0526634,0.0572679,0.727994,-0.769181,-0.609118,0.773074,0.162468,3.15772,-1.67601,1.97112,-3.4731,3.53685,0.560164,-0.386143,48.063,2.84881,-4.32824,4.38485,-0.334305,0.490281,-4.28995,-0.955669,-6.73241,0.513141,-6.54868,-2.72029,-3.74731,-0.939457,-6.22269,0.306545,-6.06407,-2.46019,0.147831,0.449886,-0.433668,0.209981,-0.042071,-0.170272,0.0369942,-0.298148,-0.789455,0.942665,0.748913,-0.0608603,3.13753,0.0901165,1.95085,-1.3011,3.52165,-0.309413,-0.405347,-0.0226833,1.04493,-0.195545,-1.30272,1.26347,0.214396,8.68563,-16.9431,8.25531,4.16013,-1.98147,3.93252,-5.55577,2.80075,1.2109,-0.0675923,0.128705,-1.23789,5.20162,-95.1725,34.0551,0,75.6695,-8.04825,32.8068,-10.6258,4.73492,-2.25189,6.28749,-1.99776,-1.95565,0.204534,0.00587089,-0.0088275,-0.0137464,-1.95806,-2.65296,0.0117859,3.44087,0.721677,1.73418,4.56801,1.11588,0.153427,0.27059,0.668815,-5.34544,-0.988971,-0.042071,0,4351,-3.46945e-18,-6.93889e-18,-6.93889e-18,2.08167e-17,0,0,-1.38778e-17,2.35922e-16,2.22045e-16,2.22045e-16,0,-0.82842,0.101814,0.789458,0.010639,3.14159,1.95085,-0.260222,3.52164,-0.0618826,-0.392699,2.82853,-1.90753,4.39931,-0.127742,0.523599,0,0,0,0.206798,0.0369942,-0.789455,0.748913,3.13753,1.95085,3.52165,-0.405347,2.82853,4.39933,0.472324,0.0202737,-7.118,8.37105,2.28198e-05,0.796877,-0.380216,1.31303,-0.857096,-1.82286
11.32,-5.34246,-1.03099,0.227299,0.0524739,0.0573844,0.727719,-0.769215,-0.609313,0.773112,0.162242,3.15768,-1.67578,1.97109,-3.47298,3.53681,0.560151,-0.386176,48.1025,2.84864,-4.32239,4.38026,-0.330059,0.489847,-4.28774,-0.9554,-6.73033,0.513104,-6.54633,-2.72025,-3.74509,-0.939222,-6.22061,0.30649,-6.06167,-2.46023,0.147708,0.450004,-0.431979,0.210056,-0.0420682,-0.170514,0.0370644,-0.298717,-0.789535,0.943628,0.748901,-0.0609731,3.13745,0.0906409,1.95077,-1.3025,3.52157,-0.309492,-0.405427,-0.0227012,1.04496,-0.195834,-1.30276,1.26347,0.213477,8.68323,-16.9382,8.25317,4.16537,-1.98043,3.93064,-5.55547,2.79976,1.21226,-0.0677397,0.128977,-1.23799,5.25609,-95.3749,34.1211,0,75.8653,-8.07944,32.8879,-10.6518,4.73688,-2.25888,6.30065,-2.00207,-1.95646,0.204537,0.00553647,-0.00947011,-0.0137851,-1.96056,-2.66425,0.0115801,3.44535,0.721026,1.97488,4.85255,1.32817,0.153373,0.270694,0.741824,-5.34323,-0.988926,-0.0420682,0,4360,3.46945e-18,3.46945e-18,-3.46945e-18,-2.08167e-17,0,1.38778e-17,1.38778e-17,-5.96745e-16,-5.55112e-16,-6.10623e-16,0,-0.828586,0.101862,0.789538,0.0106564,3.14159,1.95077,-0.260501,3.52156,-0.0618983,-0.392699,2.82832,-2.16137,4.39911,-0.141133,0.523599,0,0,0,0.206869,0.0370644,-0.789535,0.748901,3.13745,1.95077,3.52157,-0.405427,2.82832,4.39912,0.472116,0.02032,-7.78926,9.28397,2.53241e-05,1.39494,-0.415602,1.45623,-0.951159,-2.28395
11.34,-5.34042,-1.03094,0.227402,0.052273,0.05749,0.727442,-0.769252,-0.60951,0.773154,0.161412,3.15765,-1.67556,1.97106,-3.47286,3.53677,0.560143,-0.38621,48.149,2.8485,-4.31431,4.37461,-0.324283,0.489351,-4.28573,-0.955145,-6.72843,0.513078,-6.54417,-2.72021,-3.74306,-0.939004,-6.21872,0.306447,-6.05948,-2.46026,0.147587,0.45012,-0.429051,0.210128,-0.0420603,-0.170775,0.0371288,-0.298968,-0.789613,0.94458,0.748897,-0.0601577,3.13737,0.0907999,1.9507,-1.30376,3.52149,-0.309556,-0.405502,-0.0227172,1.04499,-0.19615,-1.3028,1.26346,0.215616,8.68084,-16.9332,8.25134,4.16905,-1.97923,3.92841,-5.55517,2.79904,1.21271,-0.0663185,0.126262,-1.23777,5.28331,-95.5738,34.1852,0,76.0575,-8.09822,32.9675,-10.677,4.73852,-2.26362,6.31367,-2.00629,-1.95715,0.20454,0.00510985,-0.0100488,-0.013828,-1.96384,-2.66921,0.0113411,3.4497,0.720441,2.32504,5.24968,1.59457,0.153334,0.270789,0.835902,-5.34126,-0.988886,-0.0420603,0,4368,-3.46945e-18,-1.73472e-18,-1.04083e-17,2.08167e-17,-2.77556e-17,4.16334e-17,1.38778e-17,-4.44089e-16,-3.88578e-16,-4.85723e-16,0,-0.82874,0.102197,0.789616,0.010526,3.14159,1.9507,-0.260754,3.52149,-0.0619112,-0.392699,2.82814,-2.48195,4.39892,-0.15855,0.523599,0,0,0,0.206938,0.0371288,-0.789613,0.748897,3.13737,1.9507,3.52149,-0.405502,2.82814,4.39894,0.471934,0.0203612,-8.70646,10.4379,3.22747e-05,2.35399,-0.465526,1.63855,-1.0696,-2.93683
11.36,-5.33837,-1.03088,0.227494,0.0520596,0.0575958,0.727158,-0.769294,-0.609724,0.7732,0.161165,3.15761,-1.67534,1.97103,-3.47275,3.53673,0.56013,-0.386241,48.2059,2.84837,-4.30251,4.36724,-0.317095,0.488748,-4.28371,-0.95488,-6.72651,0.513054,-6.54201,-2.72016,-3.74103,-0.938782,-6.21681,0.306408,-6.05728,-2.46028,0.147463,0.450224,-0.42402,0.210192,-0.0420483,-0.17104,0.0371934,-0.299158,-0.789697,0.945524,0.748898,-0.060249,3.13729,0.0912568,1.95062,-1.30514,3.52142,-0.30964,-0.405574,-0.022733,1.04502,-0.196469,-1.30283,1.26345,0.218319,8.67842,-16.9282,8.24956,4.17247,-1.97804,3.9262,-5.55496,2.79838,1.2141,-0.0664284,0.126463,-1.23796,5.3328,-95.769,34.2482,0,76.2501,-8.12737,33.0458,-10.7019,4.74053,-2.27025,6.32642,-2.01042,-1.95798,0.204543,0.00463912,-0.0106666,-0.0142081,-1.96732,-2.68156,0.0109623,3.45363,0.719818,2.84349,5.83264,1.95393,0.153294,0.270896,0.966217,-5.33929,-0.988846,-0.0420483,0,4376,3.46945e-18,1.04083e-17,2.42861e-17,-2.08167e-17,-1.38778e-17,2.77556e-17,4.16334e-17,4.16334e-17,0,-2.77556e-17,0,-0.8289,0.102251,0.7897,0.01054,3.14159,1.95062,-0.261029,3.52142,-0.0619281,-0.392699,2.82797,-2.91189,4.39875,-0.181355,0.523599,0,0,0,0.206999,0.0371934,-0.789697,0.748898,3.13729,1.95062,3.52142,-0.405574,2.82797,4.39876,0.471757,0.0204024,-10.0575,11.9863,3.70817e-05,4.01273,-0.537253,1.88161,-1.2289,-3.9363
11.38,-5.33652,-1.03083,0.227578,0.0518385,0.0576904,0.726875,-0.769337,-0.609918,0.773247,0.160245,3.15757,-1.67513,1.971,-3.47265,3.5367,0.56012,-0.386271,48.2783,2.84825,-4.28419,4.3569,-0.305839,0.487919,-4.28189,-0.954634,-6.72478,0.513039,-6.54006,-2.72012,-3.73919,-0.938578,-6.21509,0.306377,-6.0553,-2.46029,0.147356,0.450324,-0.415215,0.210246,-0.0420338,-0.171323,0.0372467,-0.299089,-0.789781,0.946489,0.748901,-0.0592937,3.13721,0.0915318,1.95055,-1.30645,3.52135,-0.309731,-0.405645,-0.0227487,1.04504,-0.196809,-1.30287,1.26344,0.22351,8.67594,-16.923,8.24797,4.17468,-1.97664,3.92357,-5.55464,2.7979,1.21449,-0.0647682,0.123294,-1.23777,5.36863,-95.9573,34.3082,0,76.4377,-8.15035,33.1216,-10.7257,4.74242,-2.27577,6.33894,-2.01442,-1.95878,0.204545,0.00415818,-0.0110567,-0.0141545,-1.97079,-2.6862,0.0105245,3.45738,0.719048,3.62183,6.74268,2.47238,0.153266,0.270999,1.16686,-5.33732,-0.988805,-0.0420338,0,4384,0,-6.93889e-18,-3.46945e-18,-6.93889e-18,-1.38778e-17,-1.38778e-17,0,-3.60822e-16,-3.33067e-16,-4.44089e-16,0,-0.82906,0.102632,0.789784,0.0103873,3.14159,1.95055,-0.261292,3.52135,-0.0619461,-0.392699,2.82781,-3.53782,4.39859,-0.215894,0.523599,0,0,0,0.207051,0.0372467,-0.789781,0.748901,3.13721,1.95055,3.52135,-0.405645,2.82781,4.3986,0.471596,0.0204436,-12.2711,14.2422,5.29418e-05,7.16123,-0.658978,2.23931,-1.45988,-5.64386
11.4,-5.33426,-1.03077,0.22765,0.0516009,0.0578078,0.726587,-0.769394,-0.610182,0.773308,0.159955,3.15751,-1.67493,1.97097,-3.47256,3.53667,0.560103,-0.386294,48.3752,2.84811,-4.2522,4.34075,-0.288795,0.486645,-4.27966,-0.954323,-6.72267,0.513014,-6.53766,-2.72007,-3.73693,-0.938324,-6.21298,0.30634,-6.05287,-2.46031,0.147209,0.450405,-0.398094,0.210285,-0.0420137,-0.171575,0.0373178,-0.299476,-0.789884,0.947454,0.748911,-0.0594151,3.1371,0.092728,1.95048,-1.30804,3.52128,-0.309878,-0.405715,-0.0227661,1.04506,-0.19711,-1.30289,1.26343,0.224277,8.67333,-16.9178,8.24597,4.17927,-1.97561,3.92173,-5.55466,2.79712,1.21591,-0.0649249,0.123585,-1.23794,5.47327,-96.1409,34.3686,0,76.6252,-8.20481,33.1959,-10.7497,4.74522,-2.28696,6.35117,-2.01847,-1.95993,0.204546,0.00362899,-0.0118791,-0.014411,-1.97422,-2.7007,0.00992137,3.4606,0.718218,4.84143,8.33515,3.32459,0.15322,0.271127,1.53675,-5.3351,-0.98876,-0.0420137,0,4393,0,5.20417e-18,3.46945e-18,-1.38778e-17,-1.38778e-17,-8.32667e-17,-6.93889e-17,-4.71845e-16,-2.77556e-16,-4.44089e-16,0,-0.829248,0.102669,0.789887,0.0104061,3.14159,1.95048,-0.26161,3.52128,-0.0619755,-0.392699,2.82762,-4.56165,4.3984,-0.270599,0.523599,0,0,0,0.207088,0.0373178,-0.789884,0.748911,3.1371,1.95048,3.52128,-0.405715,2.82762,4.39842,0.471407,0.02049,-16.5207,17.9322,6.6695e-05,14.2626,-0.886314,2.8195,-1.83912,-9.08481
11.42,-5.3322,-1.0307,0.227712,0.05135,0.0579137,0.726294,-0.769447,-0.610434,0.773366,0.158864,3.15746,-1.67474,1.97095,-3.47247,3.53664,0.560098,-0.386317,48.5113,2.84798,-4.18522,4.31088,-0.253319,0.484143,-4.27763,-0.954036,-6.72075,0.512997,-6.53548,-2.72002,-3.73488,-0.938091,-6.21106,0.306312,-6.05065,-2.46032,0.147066,0.450487,-0.358479,0.210317,-0.0419916,-0.171848,0.0373824,-0.299493,-0.789978,0.948405,0.748923,-0.0582882,3.13701,0.0933029,1.95042,-1.30939,3.52122,-0.310007,-0.405778,-0.0227814,1.04508,-0.197437,-1.30291,1.26341,0.228542,8.67071,-16.9125,8.24429,4.18202,-1.97437,3.91947,-5.55464,2.79663,1.21611,-0.0629745,0.119865,-1.23767,5.53072,-96.314,34.4252,0,76.8007,-8.23754,33.2659,-10.7722,4.7474,-2.29417,6.36312,-2.02239,-1.96086,0.204548,0.00308438,-0.0125485,-0.014616,-1.97832,-2.7058,0.0094238,3.46382,0.717466,6.80918,11.6781,5.01377,0.153191,0.271237,2.57431,-5.33314,-0.98872,-0.0419916,0,4401,3.46945e-18,-6.93889e-18,3.46945e-18,3.46945e-17,-1.38778e-17,0,-2.08167e-17,-1.11022e-16,0,0,0,-0.829419,0.103094,0.789982,0.010226,3.14159,1.95042,-0.26188,3.52121,-0.0620014,-0.392699,2.82745,-6.60834,4.39823,-0.384438,0.523599,0,0,0,0.207119,0.0373824,-0.789978,0.748923,3.13701,1.95042,3.52122,-0.405778,2.82745,4.39825,0.471237,0.0205313,-27.3523,25.3123,0.000107116,35.5097,-1.48322,3.99202,-2.59403,-18.3606
11.44,-5.33013,-1.03063,0.227763,0.0510878,0.0580193,0.725993,-0.769499,-0.610671,0.773422,0.158587,3.15741,-1.67456,1.97093,-3.47239,3.53662,0.560081,-0.386337,48.7141,2.84785,-3.96722,4.23112,-0.147722,0.476704,-4.2756,-0.953747,-6.71881,0.512981,-6.53329,-2.71996,-3.73282,-0.937854,-6.20913,0.306286,-6.04843,-2.46033,0.146937,0.450566,-0.2128,0.210333,-0.0419666,-0.172125,0.0374416,-0.2994,-0.790077,0.949338,0.748929,-0.0583889,3.13691,0.0938703,1.95035,-1.31071,3.52115,-0.310122,-0.405844,-0.0227984,1.04508,-0.197768,-1.30292,1.26339,0.233787,8.66801,-16.9071,8.24269,4.18422,-1.97311,3.91716,-5.55466,2.79625,1.21756,-0.0630917,0.120081,-1.23794,5.58732,-96.479,34.4795,0,76.9694,-8.26981,33.3328,-10.7938,4.74958,-2.30127,6.37416,-2.02604,-1.96176,0.204549,0.00254647,-0.0131094,-0.0150513,-1.98178,-2.71965,0.00889475,3.46702,0.716577,10.1374,22.5716,10.2936,0.153162,0.271348,-19.4689,-5.33092,-0.988674,-0.0419666,0,4410,3.46945e-18,-3.46945e-18,0,-2.08167e-17,1.38778e-17,5.55112e-17,4.16334e-17,1.72085e-15,1.11022e-15,1.66533e-15,0,-0.829604,0.103137,0.790081,0.0102417,3.14159,1.95035,-0.262144,3.52115,-0.0620245,-0.392699,2.82727,-12.9883,4.39805,-0.729731,0.523599,0,0,0,0.207134,0.0374416,-0.790077,0.748929,3.13691,1.95035,3.52115,-0.405844,2.82727,4.39807,0.47106,0.0205777,-81.0915,48.3224,0.000204593,163.073,-4.39335,7.62095,-4.95462,-67.8685
