t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,al1211,al1212,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,nu1,nu2,nu3,nu4,nu5,nu6,nu7,nu8,nu9,nu10,nu11,nu12,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,lambda13,lambda14,lambda15,lambda16,lambda17,lambda18,Q_phiR1, Q_varphiR1, Q_phiF1, Q_varphiF1, Q_phiR2, Q_varphiR2, Q_phiF2, Q_varphiF2, Q_phiR3, Q_varphiR3, Q_phiF3, Q_varphiF3
0,-6.50047,-2.00075,0,0,4.75885e-06,0.523599,-0.523629,-0.523629,0.523567,-1.66997e-06,-3.0755e-05,-2.22529,2.22402,-3.27122,3.27122,0.392772,-0.393977,-4.18879,4.189,-3.1418,3.1418,-0.523469,0.523812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,-6.50047,-2.00075,0.00527278,0.0204719,4.75885e-06,0.561457,-0.523629,-0.47926,0.523567,0.016506,4.64292e-05,-2.22845,2.22402,-3.25121,3.27128,0.37,-0.393849,-4.19681,4.189,-3.13908,3.14179,-0.541863,0.523875,-3.45047,-2.00079,-7.80834,-0.403986,-7.77672,-3.6615,-4.90047,-2.00074,-7.30048,-0.615111,-7.30046,-3.38639,0.044261,0.413915,-0.521163,0,-0.000748275,-0.0474015,4.75885e-06,-0.0477569,-0.523629,-0.0473768,0.523567,-0.0474405,-3.0755e-05,-0.063487,2.22402,-0.0375339,3.27122,-0.0459635,-0.393977,-0.0441171,4.189,-0.0490337,3.1418,-0.0478469,0.523812,-0.0474091,1.00004,-0.0117917,-1.25004,1.25004,-0.0150113,8.8892,-17.7784,8.889,-0.00850384,-4.44485,8.88969,-8.88933,4.44446,-0.0117284,-5.73506e-05,0.000114701,-1.1111,-0.215062,-25.3196,12.6739,0,12.6247,0.150793,7.75472,-3.88594,3.86751,-0.00176649,-0.00543773,0.00146841,-1.19774,0.0389525,-30.7986,15.402,15.391,-0.0433886,7.69546,-3.84911,-7.69271,3.84632,-0.0133155,-0.00228631,0.00076249,0.00152317,1.28201,-1.28176,0.150005,0.131819,0.511798,0.946466,1.10924,0.412691,-0.0789805,0.500169,-0.569309,-0.200407,0.068056,-0.459845,0,0,0,-6.5,-2,-0.000748275,0,0,0,-0,-0,-0,-0,0,-0,0,0,0,0,-0.523567,0.0071073,0.523599,0,0,2.22402,-0.00560528,3.27249,0,-0.392699,4.189,-0.00736037,3.14159,0,0.523599,0,0,0,0,4.75885e-06,-0.523629,0.523567,-3.0755e-05,2.22402,3.27122,-0.393977,4.189,3.1418,0.523812,0,-1.15474,0.577366,0,-0.144226,0,0,0,0,0.0474074,0.0117992,1.00004,0.767758,-1.31988,-5.2137,-9.64772,22.0909,7.99794,-1.28879,7.58742,-14.0292,1.65813,-1.26664,-11.4215,0.000285044,79.2453,0.00384223,79.2453,39.0652,-138.677,39.0042,-138.701,-39.1285,-112.179,-39.1304,-112.181,-247.277,0.00760502,188.493,-78.3586,135.56,78.3043,0.847872,-11.8296,2.34189,-11.8296,-1.48725,23.0379,0.804352,23.0422,-1.2108,18.7981,-0.134278,18.7987
0.08,-6.50076,-2.001,0.0101464,0.0344392,-1.18072e-05,0.585924,-0.523626,-0.477285,0.522508,0.0181498,4.84568e-05,-2.23039,2.22345,-3.24634,3.27064,0.365936,-0.394397,-4.20074,4.18907,-3.14236,3.14201,-0.543633,0.523943,-3.45076,-2.00107,-7.80849,-0.403938,-7.77701,-3.66177,-4.90076,-2.00102,-7.30074,-0.615355,-7.30078,-3.38664,0.0451748,0.418697,-0.524292,0.00527308,-0.00100482,-0.0284188,-1.18072e-05,-0.0274503,-0.523626,-0.226175,0.523569,-0.0474597,-2.85464e-05,0.0160719,2.22345,-0.0477887,3.27064,-0.0453336,-0.39455,-0.0165596,4.18907,-0.0246491,3.14187,-0.0480286,0.523882,-0.0474122,1.00008,0.011931,-1.25009,1.25058,-0.175567,9.08831,-18.1837,9.11288,-0.813631,-4.64391,9.29145,-9.11338,4.55951,-0.215511,-9.08869e-05,0.000181846,-1.13985,1.01415,-25.2977,12.7083,0,12.3455,-0.569132,7.7289,-3.89939,3.83024,-0.0142998,-0.00787617,0.00214485,-1.18603,0.767247,-31.0191,15.4111,15.9711,-0.239854,7.80339,-3.85095,-7.98172,3.92373,0.0188629,-0.00319792,0.00105726,0.00218987,1.30777,-1.30741,0.150009,0.121842,0.349181,0.611673,1.15901,0.45379,-0.0485013,0.607554,-0.671659,-0.0983596,-0.0121376,-0.505653,0.153875,0.148024,0.152908,-6.5,-2,-0.00100482,0,0,0,3.46945e-18,2.67493e-18,1.41117e-05,-2.49366e-18,-2.71728e-18,-9.32414e-18,6.67869e-17,6.68953e-17,6.45236e-17,0,-0.523569,0.0339297,0.523599,0,0,2.22345,-0.00712261,3.27249,0,-0.392699,4.18907,-0.00370092,3.14159,0,0.523599,0,0,0,0.00527278,-1.18072e-05,-0.523626,0.523569,-2.85464e-05,2.22345,3.27064,-0.39455,4.18907,3.14187,0.523882,0,-1.19841,0.589127,0,-0.0644964,0,0,0,0,0.0474074,0.0117992,1.00005,0.76789,-1.21712,-3.55109,-6.24741,23.0774,8.88323,-0.248293,11.1925,-14.6602,1.04993,-1.33526,-10.904,0.000292785,67.4717,0.00480641,67.4717,36.4227,-131.872,36.3358,-131.906,-36.7239,-108.942,-36.726,-108.946,-226.139,0.00645545,175.689,-73.1538,127.238,73.5091,0.941721,-9.92273,2.44646,-9.92273,-1.55414,21.941,1.18653,21.9471,-1.15595,18.2978,-0.141553,18.2987
0.12,-6.50092,-2.00115,0.0140196,0.0437384,-2.00623e-05,0.601621,-0.523626,-0.476077,0.521818,0.019108,4.87354e-05,-2.23088,2.22313,-3.24296,3.27032,0.364016,-0.394702,-4.20224,4.18911,-3.14363,3.14214,-0.543991,0.523981,-3.45092,-2.00122,-7.80857,-0.403912,-7.77717,-3.66193,-4.90092,-2.00118,-7.30089,-0.615491,-7.30095,-3.38677,0.0456925,0.422061,-0.52547,0.0101473,-0.00114722,-0.0170484,-2.00623e-05,-0.0136522,-0.523626,-0.342538,0.52357,-0.0474712,-2.82001e-05,0.0427445,2.22313,-0.0477145,3.27032,-0.0449981,-0.394869,-0.0157058,4.18911,-0.00882175,3.14191,-0.0481315,0.52392,-0.0474196,1.00016,0.0261362,-1.2502,1.25155,-0.260377,9.22259,-18.4652,9.27783,-1.35114,-4.7779,9.56616,-9.27844,4.63471,-0.353683,-0.0001113,0.000222844,-1.15864,1.4754,-25.2851,12.7352,0,12.1515,-0.807019,7.7138,-3.90947,3.79034,-0.0143002,-0.0092399,0.00252995,-1.17359,0.955307,-31.1317,15.4244,16.3298,-0.228568,7.85793,-3.85404,-8.16043,3.98365,0.0405088,-0.00368885,0.0012149,0.0025704,1.32771,-1.32729,0.150016,0.0968284,0.23248,0.392427,1.18944,0.477746,-0.0121194,0.684021,-0.720042,-0.0374765,-0.0429966,-0.515388,0.15641,0.146485,0.155241,-6.5,-2,-0.00114722,0,0,1.73472e-18,-6.93889e-18,-6.54418e-18,1.72294e-05,2.14672e-17,2.154e-17,2.71593e-17,-4.33681e-17,-4.31512e-17,-3.9858e-17,0,-0.52357,0.0513858,0.523599,0,0,2.22313,-0.00710371,3.27249,0,-0.392699,4.18911,-0.00132472,3.14159,0,0.523599,0,0,0,0.0101464,-2.00623e-05,-0.523626,0.52357,-2.82001e-05,2.22313,3.27032,-0.394869,4.18911,3.14191,0.52392,0,-1.22541,0.598205,0,-0.0254321,0,0,0,0,0.0474074,0.0117992,1.00005,0.761154,-0.965791,-2.3558,-3.99835,23.7157,9.41868,-0.223937,13.3948,-14.8986,0.43204,-1.24858,-10.5253,0.000203135,37.558,0.00422576,37.558,29.1418,-113.423,29.0435,-113.462,-29.6315,-96.9892,-29.6308,-96.996,-167.102,0.00471229,140.545,-58.5733,102.669,59.3198,0.998486,-5.12898,2.51413,-5.12898,-1.57942,18.9725,1.42,18.9794,-1.1158,16.3918,-0.132363,16.3932
0.16,-6.50067,-2.00129,0.0173162,0.050219,-1.58603e-05,0.611665,-0.523561,-0.453707,0.522416,0.029177,0.000296906,-2.22984,2.22284,-3.23884,3.27003,0.360384,-0.394938,-4.20236,4.1892,-3.14436,3.14227,-0.543157,0.52408,-3.45067,-2.00126,-7.80827,-0.403916,-7.77689,-3.66213,-4.90067,-2.00132,-7.30065,-0.61564,-7.30069,-3.38692,0.068412,0.426125,-0.526162,0.0140214,-0.00129321,-0.0102427,-1.58603e-05,-0.00328401,-0.523561,-0.253043,0.523641,-0.00619274,4.01171e-05,0.0540854,2.22284,-0.0485377,3.27004,-0.0360291,-0.395155,-0.0158463,4.1892,-0.00270423,3.14201,-0.0482891,0.524024,-0.0474287,1.00026,0.0346392,-1.25032,1.25247,-0.292735,9.31145,-18.6549,9.39343,-0.970674,-4.57768,9.17111,-9.01157,4.50147,-0.292321,0.0720176,-0.144284,-1.14723,1.69409,-25.2885,12.7534,0,12.0404,-0.916382,7.70902,-3.91466,3.76284,-0.0226296,-0.0439648,0.0120694,-1.15788,1.05404,-31.1792,15.4383,16.5229,-0.22806,7.87833,-3.85689,-8.25552,4.02009,0.0494266,-0.00446046,0.0014677,0.00313843,1.33985,-1.33934,0.150024,0.0824164,0.162017,0.251094,0.849318,0.729152,0.0259571,0.779847,-0.624579,-0.00294719,-0.0587548,-0.494767,0.154968,0.145426,0.156659,-6.5,-2,-0.00129321,0,0,0,-6.93889e-18,-5.20417e-18,-0.0111274,8.45678e-18,8.48388e-18,6.07153e-18,1.69136e-17,1.66967e-17,2.07083e-17,0,-0.523641,0.0379509,0.523599,0,0,2.22285,-0.00721915,3.27249,0,-0.392699,4.1892,-0.000406217,3.14159,0,0.523599,0,0,0,0.0140196,-1.58603e-05,-0.523561,0.523641,4.01171e-05,2.22284,3.27004,-0.395155,4.1892,3.14201,0.524024,0,-1.2401,0.603878,0,-0.00146946,0,0,0,0,0.0474074,0.0117992,1.00006,0.742521,-0.827212,-1.63857,-2.5377,17.0067,14.514,-0.551561,15.6898,-12.5318,0.114064,-1.18843,-9.82073,-0.0111881,24.0257,-2.43677,23.9545,24.7654,-102.631,25.7588,-102.454,-25.8641,-89.7919,-25.8546,-89.8028,-136.993,-0.00549579,121.626,-50.7293,89.6125,51.7886,1.53865,-2.99293,1.8029,-2.98099,-1.32851,17.2167,1.66329,17.1915,-1.04111,15.2274,-0.125987,15.2295
0.2,-6.5007,-2.00145,0.0203365,0.0551397,-1.92111e-05,0.618767,-0.523557,-0.452481,0.522143,0.0302327,0.000300582,-2.22767,2.22254,-3.23383,3.2697,0.360604,-0.395227,-4.20159,4.18931,-3.14452,3.14239,-0.541765,0.524186,-3.4507,-2.00142,-7.80822,-0.403917,-7.77689,-3.66234,-4.9007,-2.00148,-7.30067,-0.615794,-7.30072,-3.38707,0.0693611,0.431093,-0.52632,0.0173192,-0.00144966,-0.00624945,-1.92111e-05,0.00103096,-0.523557,-0.299144,0.523642,-0.00592057,4.24441e-05,0.0621987,2.22254,-0.0538764,3.26974,-0.0357486,-0.395456,-0.0187452,4.18931,-0.0016491,3.14212,-0.0484456,0.524135,-0.0474388,1.00037,0.0396297,-1.25046,1.25324,-0.328787,9.36976,-18.7812,9.46977,-1.1747,-4.63279,9.28621,-9.08433,4.52995,-0.347083,0.0726234,-0.145572,-1.15452,1.8413,-25.3093,12.7623,0,11.9976,-1.01012,7.71443,-3.91448,3.74846,-0.0286592,-0.0452785,0.0124267,-1.15337,1.06355,-31.1891,15.4509,16.6189,-0.213791,7.87944,-3.85934,-8.30191,4.04392,0.0514424,-0.00522343,0.00171988,0.00369504,1.34779,-1.34719,0.150033,0.0755078,0.123017,0.177553,0.8788,0.754633,0.0543201,0.897619,-0.619629,0.0193034,-0.0601991,-0.459985,0.155952,0.144875,0.157587,-6.5,-2,-0.00144966,0,0,8.67362e-19,3.46945e-18,1.73472e-18,-0.0112008,2.55872e-17,2.58582e-17,3.38271e-17,-3.72966e-17,-3.70797e-17,-5.62023e-17,0,-0.523642,0.0448649,0.523599,0,0,2.22255,-0.00800483,3.27249,0,-0.392699,4.18931,-0.000247814,3.14159,0,0.523599,0,0,0,0.0173162,-1.92111e-05,-0.523557,0.523642,4.24441e-05,2.22254,3.26974,-0.395456,4.18931,3.14212,0.524135,0,-1.24755,0.607688,0,0.0132432,0,0,0,0,0.0474074,0.0117992,1.00007,0.767245,-0.747105,-1.23422,-1.79075,17.5154,15.0173,-0.821255,18.2411,-12.0937,-0.0837423,-0.955499,-8.82865,-0.0137182,11.9686,-2.07405,11.9026,22.5627,-98.4205,23.5201,-98.2727,-23.7458,-87.8511,-23.726,-87.867,-116.344,-0.00493812,110.789,-46.2486,82.2685,47.5566,1.592,-1.03064,1.85683,-1.01951,-1.28206,16.5664,1.93376,16.5461,-0.935936,14.95,-0.101294,14.9529
0.24,-6.50094,-2.00161,0.0232489,0.0592148,-2.64893e-05,0.624068,-0.523522,-0.440975,0.522449,0.0405709,0.000359671,-2.22473,2.22221,-3.22814,3.26932,0.359725,-0.395518,-4.20025,4.18943,-3.14431,3.14249,-0.540032,0.524294,-3.45094,-2.00154,-7.80838,-0.403912,-7.7771,-3.66255,-4.90094,-2.00166,-7.3009,-0.615953,-7.30097,-3.38723,0.0811146,0.43669,-0.526113,0.0203409,-0.0016148,-0.00386683,-2.64893e-05,0.00467622,-0.523522,-0.253317,0.523677,-0.000170778,7.78828e-05,0.070651,2.22221,-0.0633461,3.26941,-0.0310178,-0.39578,-0.0222215,4.18943,-0.00420228,3.14223,-0.0486045,0.524249,-0.0474499,1.00049,0.0426087,-1.25061,1.2539,-0.340587,9.41187,-18.8733,9.52599,-0.979293,-4.53434,9.09254,-8.95495,4.46885,-0.300134,0.0827892,-0.166016,-1.14862,1.9744,-25.3434,12.7645,0,12.0007,-1.11753,7.72749,-3.91033,3.74353,-0.0428637,-0.0638667,0.0174865,-1.14822,1.03903,-31.1746,15.4624,16.654,-0.203107,7.86815,-3.86145,-8.31784,4.05966,0.0484627,-0.00599589,0.00197745,0.00425306,1.35304,-1.35235,0.150043,0.0728086,0.101878,0.13251,0.728913,0.704589,0.0733671,1.03169,-0.546583,0.0335013,-0.0519706,-0.416705,0.155252,0.14469,0.158199,-6.5,-2,-0.0016148,0,0,0,-5.20417e-18,-1.73472e-18,-0.0127521,2.2443e-17,2.25514e-17,9.54098e-18,2.79724e-17,2.81893e-17,2.16027e-17,0,-0.523677,0.0379872,0.523599,0,0,2.22223,-0.00940132,3.27249,0,-0.392699,4.18943,-0.000631735,3.14159,0,0.523599,0,0,0,0.0203365,-2.64893e-05,-0.523522,0.523677,7.78828e-05,2.22221,3.26941,-0.39578,4.18943,3.14223,0.524249,0,-1.25043,0.610295,0,0.0224015,0,0,0,0,0.0474074,0.0117992,1.00008,0.780643,-0.71067,-1.0089,-1.3189,14.5113,14.0322,-1.0203,21.0209,-10.4531,-0.21522,-0.630721,-7.78891,-0.681966,7.24832,-2.86922,7.11431,21.4792,-96.9412,23.3285,-96.6254,-22.9809,-87.5141,-22.9498,-87.5351,-108.024,-0.00841318,106.459,-44.4817,79.6133,46.0338,1.48757,-0.264757,1.53836,-0.242105,-1.10815,16.3413,2.22845,16.2956,-0.825712,14.915,-0.0668635,14.9188
0.28,-6.50149,-2.00178,0.0249961,0.0617294,-4.04154e-05,0.627423,-0.523533,-0.440664,0.522297,0.0405885,0.000349428,-2.22255,2.22188,-3.22329,3.26891,0.359496,-0.395837,-4.19961,4.18953,-3.14482,3.14257,-0.539162,0.524395,-3.45149,-2.00175,-7.80885,-0.403899,-7.77765,-3.66275,-4.90149,-2.00185,-7.30144,-0.616108,-7.30155,-3.38739,0.0812839,0.441456,-0.52665,0.0232549,-0.0016148,-0.00241571,-4.04154e-05,0.0058386,-0.523533,-0.276831,0.523665,2.88267e-06,6.62355e-05,0.0799152,2.22188,-0.0757806,3.26908,-0.0306527,-0.396113,-0.0260659,4.18953,-0.00902423,3.14233,-0.0487531,0.524355,-0.0474619,1.00062,0.044424,-1.25077,1.25449,-0.358099,9.44394,-18.944,9.56791,-1.07854,-4.56358,9.15429,-8.99389,4.48262,-0.328047,0.0832,-0.166898,-1.15218,2.10726,-25.3865,12.7619,0,12.0332,-1.2401,7.74581,-3.90344,3.74461,-0.0570328,-0.0654402,0.0178483,-1.14846,0.99469,-31.1445,15.4728,16.6524,-0.195219,7.84919,-3.86336,-8.31551,4.07073,0.0422922,-0.0067128,0.00221884,0.00476723,1.35672,-1.35595,0.150052,0.04368,0.0628631,0.0838717,0.73556,0.704492,0.0546657,1.14472,-0.552863,0.0158805,-0.0621421,-0.394981,0.155734,0.144738,0.158631,-6.5,-2,-0.0016148,0,0,0,6.93889e-18,1.73472e-17,-0.012799,-1.77267e-17,-1.75641e-17,-1.86483e-17,6.02816e-17,6.02816e-17,5.94956e-17,0,-0.523665,0.0415151,0.523599,0,0,2.2219,-0.0112338,3.27249,0,-0.392699,4.18953,-0.00135712,3.14159,0,0.523599,0,0,0,0.0232489,-4.04154e-05,-0.523533,0.523665,6.62355e-05,2.22188,3.26908,-0.396113,4.18953,3.14233,0.524355,0,-1.25054,0.612182,0,0.0106399,0,0,0,0,0.0474074,0.0117992,1.00008,0.803086,-0.401087,-0.596701,-0.811333,14.5886,14.0215,-0.813901,23,-10.7649,-0.0305559,-1.02769,-7.47978,-0.193165,-33.7604,-0.777254,-33.8441,12.4251,-75.6119,13.8889,-75.5124,-13.7647,-73.0332,-13.7221,-73.0599,-28.9769,-0.0019193,61.5816,-25.7546,47.6832,27.578,1.48644,6.32512,1.54655,6.33976,-1.1412,12.9522,2.43826,12.9414,-0.792941,12.6266,-0.108946,12.6314
0.32,-6.50228,-2.00195,0.0260444,0.0633388,-5.91346e-05,0.629581,-0.523522,-0.434944,0.522464,0.0469182,0.000354939,-2.22084,2.22154,-3.21873,3.26851,0.358906,-0.396165,-4.19942,4.18963,-3.14561,3.14265,-0.538651,0.52449,-3.45228,-2.00193,-7.80954,-0.403878,-7.77844,-3.66295,-4.90228,-2.00204,-7.3022,-0.616261,-7.30237,-3.38754,0.0871654,0.445945,-0.52745,0.0250032,-0.0016148,-0.00146968,-5.91346e-05,0.00726388,-0.523522,-0.2505,0.523676,-0.00100914,7.68732e-05,0.0896498,2.22154,-0.0855418,3.26874,-0.0302718,-0.396456,-0.0295628,4.18963,-0.011088,3.14244,-0.0488935,0.524454,-0.0474698,1.0007,0.0456082,-1.25088,1.25487,-0.363182,9.46438,-18.9891,9.59535,-0.965436,-4.50922,9.04724,-8.92265,4.45018,-0.296508,0.0814788,-0.163483,-1.149,2.23867,-25.4204,12.7612,0,12.0638,-1.35424,7.75872,-3.89832,3.74843,-0.0681602,-0.066998,0.0182257,-1.14955,0.949418,-31.1328,15.4807,16.6602,-0.177531,7.83984,-3.86468,-8.31796,4.0788,0.0397873,-0.00739497,0.00244745,0.00525671,1.35941,-1.35855,0.150058,0.0262066,0.0402352,0.0539528,0.645475,0.610113,0.0427342,1.2502,-0.568313,0.00474945,-0.0794432,-0.38225,0.155336,0.144895,0.158949,-6.5,-2,-0.0016148,0,0,0,-5.20417e-18,-3.46945e-18,-0.0125238,8.45678e-18,8.89046e-18,1.12757e-17,1.10589e-17,1.10589e-17,1.24683e-18,0,-0.523676,0.0375649,0.523599,0,0,2.22156,-0.0126659,3.27249,0,-0.392699,4.18963,-0.00166807,3.14159,0,0.523599,0,0,0,0.0249961,-5.91346e-05,-0.523522,0.523676,7.68732e-05,2.22154,3.26874,-0.396456,4.18963,3.14244,0.524454,0,-1.25135,0.61361,0,0.00351929,0,0,0,0,0.0474074,0.0117992,1.00008,0.816015,-0.213698,-0.354773,-0.492397,12.7807,12.1561,-0.681523,24.9142,-11.2092,0.0828897,-1.50002,-7.31114,0.197354,-58.2558,0.591031,-58.3228,6.94919,-62.7106,8.57227,-62.7075,-8.19592,-64.2684,-8.14307,-64.2994,18.7411,0.00144069,34.4449,-14.4194,28.3909,16.4239,1.28868,10.2566,1.3549,10.269,-1.1883,10.9023,2.64118,10.9071,-0.775063,11.2412,-0.159019,11.2467
0.36,-6.50337,-2.00212,0.0266733,0.0644486,-8.51324e-05,0.631185,-0.523548,-0.434519,0.522382,0.0469036,0.00033016,-2.21942,2.22118,-3.21422,3.2681,0.358042,-0.396511,-4.19953,4.18973,-3.14659,3.14275,-0.538365,0.524583,-3.45337,-2.00219,-7.81051,-0.403849,-7.77954,-3.66315,-4.90337,-2.00226,-7.30325,-0.616415,-7.30349,-3.3877,0.0875325,0.450391,-0.528421,0.0260522,-0.0016148,-0.000793717,-8.51324e-05,0.00758055,-0.523548,-0.259849,0.523649,-0.00093496,5.05949e-05,0.099532,2.22118,-0.0935112,3.26838,-0.0298625,-0.396816,-0.0328798,4.18973,-0.0113804,3.14253,-0.0490293,0.524551,-0.0474749,1.00076,0.0464546,-1.25095,1.25512,-0.373488,9.47759,-19.0184,9.61279,-1.00253,-4.52093,9.07207,-8.93841,4.4555,-0.307628,0.0816542,-0.163861,-1.15039,2.36802,-25.4486,12.7621,0,12.092,-1.46179,7.76798,-3.89436,3.75358,-0.0772691,-0.0686232,0.0186351,-1.15103,0.903518,-31.1325,15.4872,16.6751,-0.153289,7.83653,-3.86566,-8.32399,4.08527,0.0396555,-0.00805814,0.00266877,0.00573316,1.36157,-1.36063,0.150062,0.0157238,0.0277459,0.0401068,0.654985,0.609035,0.0355365,1.35392,-0.590619,-0.00271101,-0.101356,-0.375137,0.155527,0.145103,0.159203,-6.5,-2,-0.0016148,0,0,0,3.46945e-18,-6.93889e-18,-0.012544,-8.54487e-18,-8.67362e-18,-8.23994e-18,6.61363e-17,6.59195e-17,6.06882e-17,0,-0.523649,0.0389705,0.523599,0,0,2.22121,-0.0138288,3.27249,0,-0.392699,4.18973,-0.00171262,3.14159,0,0.523599,0,0,0,0.0260444,-8.51324e-05,-0.523548,0.523649,5.05949e-05,2.22118,3.26838,-0.396816,4.18973,3.14253,0.524551,0,-1.25267,0.614789,0,-0.00104774,0,0,0,0,0.0474074,0.0117992,1.00008,0.839404,-0.0884947,-0.206619,-0.331159,12.926,12.1218,-0.587273,26.8064,-11.7609,0.165063,-2.02327,-7.18256,0.573132,-76.3844,1.63765,-76.4253,3.28623,-54.9232,4.64812,-55.0694,-4.48361,-59.3415,-4.4207,-59.3767,52.0832,0.00263515,16.2984,-6.82977,15.531,8.98657,1.28504,13.1852,1.3703,13.1934,-1.24679,9.68197,2.84177,9.71091,-0.761432,10.4817,-0.21449,10.488
