t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,al1211,al1212,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,nu1,nu2,nu3,nu4,nu5,nu6,nu7,nu8,nu9,nu10,nu11,nu12,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,lambda13,lambda14,lambda15,lambda16,lambda17,lambda18,Q_phiR1, Q_varphiR1, Q_phiF1, Q_varphiF1, Q_phiR2, Q_varphiR2, Q_phiF2, Q_varphiF2, Q_phiR3, Q_varphiR3, Q_phiF3, Q_varphiF3
0,-6.50047,-2.00075,0,0,4.50326e-06,0.523599,-0.523629,-0.52363,0.523567,-1.66997e-06,-3.07181e-05,-2.61799,2.22401,-3.27121,3.27121,0.392772,-0.393986,-3.66519,4.189,-3.1418,3.1418,-0.523469,0.523813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,-6.50047,-2.00075,0.00530035,0.020501,4.50326e-06,0.545795,-0.523629,-0.510616,0.523567,-0.0148488,4.64734e-05,-2.15548,2.22401,-3.0744,3.28367,0.413286,-0.39388,-4.40902,4.189,23.9221,3.12006,83.3431,0.523814,-3.45047,-2.00079,-7.80834,-0.403985,-7.77672,-3.6615,-4.90047,-2.00075,-7.30048,-0.615115,-7.30047,-3.3864,0.012905,0.603155,26.5183,0,-0.00075241,-0.0474018,4.50326e-06,-0.047752,-0.523629,-0.0473804,0.523567,-0.0474408,-3.07181e-05,-3.45965,2.22401,2.04391,3.27121,-0.0470777,-0.393986,4.39888,4.189,-2.26973,3.1418,-0.0474072,0.523813,-0.0474091,1.00004,-0.0117921,-1.25004,1.25004,-0.0149623,8.88921,-17.7784,8.88901,-0.00856599,-4.44485,8.8897,-8.88933,4.44447,-0.011732,-5.78549e-05,0.000115709,-1.1111,-28.0199,-22.3267,14.1185,0,6.23807,10.2321,5.9202,-4.77125,0.876371,0.542721,-0.00448774,0.00195836,-0.271405,34.2131,-23.0957,15.3984,5.13032,0.0091639,3.84541,-3.84728,-2.56423,-0.00143083,-0.00564102,-0.00152918,0.000764728,0.000509452,-0.000476907,0.000476813,0.150005,0.132509,0.512524,0.554915,0.325345,-0.371177,11.5629,4.92025,0.51284,-18.5957,676.598,2096.67,0,0,-0,-6.5,-2,-0.00075241,0,0,0,-0,-0,-0,-0,0,-0,0,0,0,0,-0.523567,0.00710784,0.523599,0,0,2.22401,0.305226,3.27249,0,-0.392699,4.189,-0.340707,3.14159,0,0.523599,0,0,0,0,4.50326e-06,-0.523629,0.523567,-3.07181e-05,2.22401,3.27121,-0.393986,4.189,3.1418,0.523813,0,-0.384914,-0.000214781,0,0.182676,0,0,0,0,0.0474074,0.0117992,1.00004,0.767752,-1.32677,-5.22096,-4.93302,6.68775,-7.51273,-392.859,-1011.24,-758.446,771.797,3.8291e+07,1.18854e+08,0.000164812,-27.454,0.00636806,155.073,39.2795,-114.252,39.2608,-114.26,-39.3426,-76.9127,-39.3544,-76.9066,-249.04,0.00765002,189.516,-78.7859,136.299,78.7313,-0.796434,0.857687,0.708976,-23.9585,-80.4038,18.8981,-107.203,18.4083,1.25999e+07,12.7242,4.05928e+06,12.2218
0.08,-6.50075,-2.001,0.0101191,0.0344039,-1.02742e-05,0.58469,-0.523626,-0.462156,0.523349,0.0331181,4.83764e-05,-2.21391,2.22346,-3.24518,3.267,0.373144,-0.394377,-4.28394,4.18907,-3.16795,3.15866,-0.541584,0.523954,-3.45075,-2.00106,-7.80849,-0.403942,-7.777,-3.66177,-4.90075,-2.00101,-7.30074,-0.615349,-7.30077,-3.38663,0.0611448,0.416198,-0.53325,0.00530065,-0.000998237,-0.0284151,-1.02742e-05,-0.169099,-0.523626,-0.0846706,0.523569,-0.0474585,-2.86155e-05,1.01283,2.22346,-0.658303,3.27066,-0.0448853,-0.394531,-5.569,4.18907,2.75015,3.14187,-0.048785,0.52388,-0.0474123,1.00008,0.0119356,-1.25009,1.25058,-1.4506,9.00498,-18.017,8.93795,1.08675,-4.56058,9.12475,-8.93845,4.39603,-0.0526771,-9.11058e-05,0.000182284,-1.09898,14.5839,-26.1908,12.2795,0,15.142,-12.6028,8.27621,-3.63695,4.70801,-0.900204,-0.00821417,0.00191984,-1.45784,-142.553,-40.5606,15.4173,43.505,122.134,12.572,-3.8541,-21.7421,8.7323,8.11848,-0.00449001,0.00105431,0.00594373,2.91045,-2.90965,0.150009,0.12047,0.347574,0.972355,1.53726,0.827998,-1.46067,0.637043,-0.491464,3.12704,-0.652059,-0.454433,0.148358,0.181946,0.340299,-6.5,-2,-0.000998237,0,0,-4.33681e-19,-3.03577e-18,-2.84095e-18,1.3806e-05,-3.1225e-17,-3.46945e-17,-3.43692e-17,-2.08167e-17,-4.16334e-17,-5.62972e-17,0,-0.523569,0.0127019,0.523599,0,0,2.22347,-0.0981223,3.27249,0,-0.392699,4.18907,0.412917,3.14159,0,0.523599,0,0,0,0.00530035,-1.02742e-05,-0.523626,0.523569,-2.86155e-05,2.22346,3.27066,-0.394531,4.18907,3.14187,0.52388,0,-3.26444,1.3111,0,3.36728,0,0,0,0,0.0474074,0.0117992,1.00005,0.761021,-1.20394,-3.5304,-10.7557,29.6734,15.4985,24.5025,-2.54065,-27.4828,-18.319,16.1136,6.83659,0.000176345,-23.349,0.00722086,131.876,36.0337,-136.229,35.9398,-136.266,-36.3379,-139.877,-36.3344,-139.889,-223.662,0.00640019,173.838,-72.3794,125.925,72.7502,1.64302,0.849855,3.14571,-20.2677,-2.91349,22.6454,-0.269337,22.8398,0.724755,23.3346,1.70822,24.372
0.12,-6.50091,-2.00114,0.013948,0.0436591,-1.95186e-05,0.616631,-0.523626,-0.444544,0.521897,0.0506325,4.86042e-05,-2.22843,2.22314,-3.24355,3.26959,0.365479,-0.394684,-4.21949,4.1891,-3.14923,3.14693,-0.53986,0.523979,-3.45091,-2.00121,-7.80856,-0.403914,-7.77716,-3.66192,-4.90091,-2.00117,-7.30088,-0.615483,-7.30094,-3.38676,0.0773047,0.420721,-0.526276,0.01012,-0.00113894,-0.0170576,-1.95186e-05,-0.024711,-0.523626,-0.331289,0.52357,-0.0474704,-2.8267e-05,0.247949,2.22314,-0.173249,3.27034,-0.0449059,-0.39485,-1.61455,4.1891,0.790239,3.14191,-0.0483791,0.523918,-0.0474195,1.00016,0.0261246,-1.2502,1.25155,-0.362286,9.21574,-18.4514,9.26289,-1.19675,-4.77105,9.55243,-9.26349,4.62183,-0.339734,-0.000110137,0.000220514,-1.15542,4.01939,-25.4705,12.646,0,12.6895,-2.92421,7.82766,-3.85505,3.97108,-0.167637,-0.00925947,0.00245766,-1.22955,-29.73,-33.858,15.4264,22.678,21.5753,9.22044,-3.85507,-11.3328,5.36824,1.4843,-0.00410098,0.0012102,0.0035549,1.78918,-1.78862,0.150016,0.0957223,0.231379,0.79853,1.97777,1.26586,-0.363016,0.669788,-0.683477,1.61113,-0.183089,-0.412123,0.155975,0.15347,0.209197,-6.5,-2,-0.00113894,0,0,8.67362e-19,-3.46945e-18,-8.11458e-18,1.70186e-05,-2.38524e-18,-8.67362e-19,-1.40946e-18,6.93889e-17,6.245e-17,8.21554e-17,0,-0.52357,0.0496983,0.523599,0,0,2.22315,-0.0257948,3.27249,0,-0.392699,4.18911,0.118665,3.14159,0,0.523599,0,0,0,0.0101191,-1.95186e-05,-0.523626,0.52357,-2.8267e-05,2.22314,3.27034,-0.39485,4.1891,3.14191,0.523918,0,-1.70178,0.806114,0,0.533318,0,0,0,0,0.0474074,0.0117992,1.00005,0.761152,-0.954737,-2.34476,-9.08441,37.9795,23.7441,7.03717,12.4024,-15.7583,-27.0047,1.29623,-8.0948,0.0001613,-12.7525,0.00565755,72.0272,28.7982,-113.511,28.6956,-113.552,-29.2843,-106.072,-29.2766,-106.084,-164.241,0.00464261,138.888,-57.8795,101.465,58.6241,2.51714,0.834391,4.02625,-10.6489,-1.67055,18.9799,1.3148,19.0356,-0.85814,17.8918,0.137415,18.1714
0.16,-6.49678,-2.00123,0.0169448,0.049377,0.00020643,0.618404,-0.523156,-0.43729,0.522843,0.0428244,0.000790192,-2.22926,2.22283,-3.23724,3.26991,0.363011,-0.394979,-4.20428,4.18921,-3.14386,3.14316,-0.544724,0.524113,-3.44679,-2.00025,-7.80468,-0.404029,-7.7727,-3.66224,-4.89678,-2.0009,-7.29707,-0.615759,-7.2965,-3.38704,0.0847625,0.427646,-0.524813,0.0138003,-0.00123493,-0.0100119,5.70651e-05,0.139599,-0.523306,-0.249884,0.523903,0.0152751,0.000298795,0.0873636,2.22269,-0.0678034,3.26988,-0.0446485,-0.395314,-0.305606,4.18906,0.143071,3.14186,-0.0406797,0.523867,-0.0474652,1.00025,0.0349617,-1.25031,1.25246,1.0516,9.39711,-18.8265,9.59262,-2.23367,-4.42064,8.85646,-8.88266,4.51679,-0.298226,0.107141,-0.214643,-1.16761,2.0988,-25.3204,12.7453,0,12.1171,-1.24199,7.72695,-3.9082,3.79058,-0.0378409,-0.0107465,0.00293955,-1.17353,-3.88473,-31.6711,15.4325,17.5941,2.93152,8.12546,-3.85541,-8.79065,4.27243,0.256252,0.0328736,-0.0105865,-0.024126,1.42839,-1.43235,0.150023,0.0749204,0.142948,0.0443251,0.49638,0.749833,-0.020856,0.819722,-0.744315,0.380296,-0.0460923,-0.399274,0.157942,0.1465,0.166494,-6.49685,-2,-0.00123493,0,14,0,3.46945e-18,3.46945e-18,-0.0169321,-3.04661e-17,-3.08998e-17,-2.13046e-17,4.68375e-17,4.68375e-17,4.11997e-17,0,-0.523903,0.0374431,0.523599,0,0,2.2227,-0.0100792,3.27249,0,-0.392699,4.18906,0.0214809,3.14159,0,0.523599,0,0,0,0.0137987,5.70651e-05,-0.523306,0.523903,0.000298795,2.22269,3.26988,-0.395314,4.18906,3.14186,0.523867,0.000149365,-1.31984,0.641469,0,0.0762732,0,0,0,0,0.0474446,0.0118116,1.00006,0.271694,-0.92379,-1.51704,-0.528168,10.6924,15.8972,-0.127966,17.3707,-15.7189,-6.72119,0.701093,-9.54855,-0.11012,-47.304,-12.619,171.338,29.0251,-84.4327,29.1277,-84.3991,-30.061,-64.8428,-29.651,-65.0408,-215.999,-0.0968022,139.983,-58.3876,103.172,59.6238,1.68529,1.00822,1.13352,-27.1209,-1.66638,13.7832,1.84149,13.7802,-1.01225,10.6855,0.0743238,10.6097
0.2,-6.48929,-2.00124,0.0189393,0.0531971,0.000510997,0.62079,-0.522943,-0.435816,0.523139,0.0530325,0.000826095,-2.22814,2.22263,-3.23046,3.26974,0.357794,-0.395104,-4.20076,4.18874,-3.13456,3.14193,-0.54711,0.523712,-3.43929,-1.99951,-7.79758,-0.404191,-7.76489,-3.6623,-4.88929,-2.00042,-7.29,-0.616008,-7.28859,-3.38729,0.0864972,0.434391,-0.516336,0.0164349,-0.00124254,-0.00630525,-1.38027e-06,0.073204,-0.523456,-0.22645,0.523696,-0.0198478,0.000120037,0.0758519,2.22211,-0.0606576,3.26931,-0.0351697,-0.395865,-0.0541964,4.18823,0.017408,3.14103,-0.0402745,0.523075,-0.0475632,1.00033,0.0396764,-1.25041,1.25313,0.353861,9.40821,-18.8573,9.56538,-1.49677,-4.43034,8.87992,-8.85709,4.46645,-0.245345,0.0478995,-0.0960072,-1.15653,2.00685,-25.3243,12.7677,0,12.0231,-1.13879,7.7222,-3.91551,3.76001,-0.0365869,-0.0479299,0.0131618,-1.15632,0.473806,-31.2111,15.419,16.7412,0.159516,7.90976,-3.85494,-8.37133,4.07492,0.0664815,0.0362703,-0.0118803,-0.0258325,1.36249,-1.36673,0.150029,0.0498605,0.095502,0.0596636,0.531553,0.261144,0.0280246,0.984127,-0.672787,0.0878589,0.174662,-0.454847,0.156188,0.145323,0.158798,-6.48921,-2,-0.00124254,0,48,-1.73472e-18,3.46945e-18,1.73472e-18,-0.00746846,-2.59124e-17,-2.56956e-17,-2.86229e-17,5.07407e-17,5.07407e-17,4.77049e-17,0,-0.523696,0.0339561,0.523599,0,0,2.22213,-0.00899916,3.27249,0,-0.392699,4.18823,0.00260613,3.14159,0,0.523599,0,0,0,0.0164325,-1.38027e-06,-0.523456,0.523696,0.000120037,2.22211,3.26931,-0.395865,4.18823,3.14103,0.523075,0.000512377,-1.25326,0.610051,0,0.00753265,0,0,0,0,0.047535,0.0118419,1.00006,0.096361,-0.794278,-1.19081,-0.854557,11.5914,4.89315,-1.42595,20.6746,-14.2043,-2.04574,3.25548,-11.0858,-0.726708,-45.3435,-12.1541,179.51,24.7872,-66.394,25.8671,-65.982,-26.3956,-49.9959,-25.8479,-50.2982,-202.283,-0.127927,121.967,-50.9001,89.9383,51.9245,0.518729,1.08243,1.22881,-28.6211,-1.50582,10.7147,2.19174,10.6627,-1.17522,8.1169,0.345118,8.13108
0.24,-6.47949,-2.00126,0.0204856,0.0569673,0.000744548,0.62535,-0.52306,-0.432028,0.52309,0.0483611,0.000746473,-2.22796,2.22262,-3.22599,3.26968,0.355018,-0.395109,-4.20042,4.18872,-3.13035,3.14174,-0.549937,0.523674,-3.42949,-1.9993,-7.78809,-0.404377,-7.75479,-3.66246,-4.87949,-2.00007,-7.28052,-0.616213,-7.27846,-3.38749,0.0903157,0.438803,-0.512289,0.0179703,-0.00126733,-0.00383383,-0.000227474,0.0370617,-0.524032,-0.219908,0.523147,-0.0200602,-0.000442826,0.0905244,2.22165,-0.0694675,3.26884,-0.0352897,-0.396348,0.00400309,4.18775,-0.0116448,3.14055,-0.040096,0.522558,-0.0476829,1.00038,0.0428712,-1.25049,1.25361,-0.0362911,9.42292,-18.8931,9.56132,-1.12055,-4.44356,8.90944,-8.85332,4.44251,-0.23891,0.0480886,-0.0964306,-1.15032,2.21522,-25.3435,12.772,0,12.0146,-1.29071,7.73176,-3.91499,3.75908,-0.0461605,-0.0479828,0.0131649,-1.15605,1.4818,-31.1076,15.4181,16.5888,-0.452855,7.85972,-3.85484,-8.29542,4.03822,0.0246604,0.0379034,-0.0124639,-0.0268725,1.35038,-1.3548,0.150033,0.0386585,0.094256,0.113995,0.626624,0.145492,0.00443333,1.09562,-0.742844,0.0085643,0.279238,-0.520353,0.155352,0.145289,0.15737,-6.47955,-1.99999,-0.00126733,0,91,-1.73472e-18,-1.73472e-18,0,-0.00744216,-2.04914e-17,-2.07083e-17,-1.51788e-17,-1.86483e-17,-1.88651e-17,-9.54098e-18,0,-0.523146,0.033038,0.523599,0,0,2.22167,-0.0102896,3.27249,0,-0.392699,4.18775,-0.00174041,3.14159,0,0.523599,0,0,0,0.0179672,-0.000227474,-0.524032,0.523147,-0.000442826,2.22165,3.26884,-0.396348,4.18775,3.14055,0.522558,0.000972022,-1.23982,0.603548,0,-0.0190344,0,0,0,0,0.0476495,0.0118803,1.00006,0.0275554,-0.750103,-1.29191,-1.48355,13.6715,2.40119,-1.30621,21.9282,-15.8124,-1.06426,5.08366,-12.7105,-0.20339,-22.4663,-12.6748,191,23.3648,-59.1648,24.7715,-58.5896,-24.764,-44.3808,-24.5592,-44.4934,-197.679,-0.104611,115.502,-48.2052,84.919,49.0202,0.254553,0.548626,1.44933,-30.5234,-1.67629,9.48192,2.32464,9.40318,-1.34745,7.14622,0.538925,7.15204
0.28,-6.46923,-2.00129,0.0219414,0.0613224,0.000931966,0.632656,-0.522991,-0.426262,0.523104,0.0478222,0.000841623,-2.22933,2.22288,-3.2251,3.26991,0.350204,-0.394804,-4.20152,4.18892,-3.129,3.14189,-0.55218,0.523895,-3.41923,-1.99892,-7.77814,-0.404702,-7.74421,-3.66275,-4.86923,-1.9998,-7.27052,-0.6164,-7.26793,-3.38768,0.0959999,0.43961,-0.511001,0.0190247,-0.0013169,-0.000928768,-0.000532439,0.0209418,-0.524456,-0.232306,0.52274,-0.0201294,-0.000858079,0.107167,2.22142,-0.076422,3.26862,-0.0293354,-0.396572,0.0256857,4.18746,-0.019348,3.14026,-0.040509,0.522276,-0.0478096,1.00042,0.0466171,-1.25057,1.25413,-0.246073,9.4501,-18.9545,9.58699,-1.00292,-4.46852,8.96287,-8.87721,4.44041,-0.254208,0.0483821,-0.0970714,-1.14976,2.44915,-25.345,12.7747,0,11.9862,-1.45062,7.73671,-3.91658,3.75723,-0.0574677,-0.0716233,0.0196445,-1.15044,1.89028,-31.1,15.4248,16.6059,-0.675037,7.85135,-3.8552,-8.30109,4.03547,0.0142251,0.0364575,-0.0119989,-0.0258844,1.34946,-1.35371,0.150037,0.0363943,0.108878,0.182657,0.77131,0.133803,-0.0341295,1.12445,-0.724507,-0.0275124,0.318087,-0.576418,0.155278,0.145213,0.157264,-6.46923,-1.99998,-0.0013169,0,137,1.73472e-18,-5.20417e-18,-5.20417e-18,-0.0074567,-2.36356e-17,-2.36356e-17,-2.51535e-17,-2.14672e-17,-2.12504e-17,-2.43945e-17,0,-0.522738,0.0349498,0.523599,0,0,2.22144,-0.0113109,3.27249,0,-0.392699,4.18746,-0.00288882,3.14159,0,0.523599,0,0,0,0.0190212,-0.000532439,-0.524456,0.52274,-0.000858079,2.22142,3.26862,-0.396572,4.18746,3.14026,0.522276,0.00146441,-1.23943,0.602532,0,-0.0350969,0,0,0,0,0.0477724,0.0119214,1.00006,0.0145922,-0.759613,-1.53447,-2.30755,16.6074,2.18187,-0.758647,23.7538,-15.0828,-0.659102,5.5906,-14.0722,-0.155666,-14.5771,-12.9768,196.499,23.5185,-58.7097,25.4086,-57.9167,-24.9878,-44.5141,-24.7794,-44.6296,-201.012,-0.121879,116.77,-48.6976,85.6879,49.4881,0.231302,0.358321,1.76057,-31.4016,-1.59895,9.38947,2.51817,9.27009,-1.49181,7.15909,0.592666,7.17257
0.32,-6.45866,-2.00132,0.023308,0.0657766,0.00116696,0.641496,-0.522759,-0.419262,0.523187,0.0500774,0.00109164,-2.23139,2.22323,-3.22523,3.27026,0.346931,-0.39444,-4.20302,4.18914,-3.12804,3.14212,-0.554574,0.524131,-3.40866,-1.99824,-7.76798,-0.405095,-7.73325,-3.66307,-4.85866,-1.99945,-7.26027,-0.616614,-7.25704,-3.38789,0.102833,0.439472,-0.510047,0.0199771,-0.00136056,0.00288186,-0.000801246,0.0198515,-0.524727,-0.256678,0.522463,-0.0183221,-0.00113222,0.116816,2.22127,-0.0759229,3.26846,-0.0282406,-0.396725,0.0362676,4.18718,-0.0183774,3.13998,-0.04092,0.521998,-0.0479392,1.00046,0.0514992,-1.25064,1.25477,-0.33128,9.49357,-19.0506,9.64488,-1.06327,-4.49613,9.0226,-8.91437,4.45038,-0.285304,0.0518707,-0.104135,-1.15312,2.60669,-25.3285,12.7859,0,11.9092,-1.5302,7.73212,-3.92363,3.74396,-0.056768,-0.0765648,0.0210515,-1.14515,2.13157,-31.1318,15.4324,16.7056,-0.776044,7.86234,-3.85557,-8.34767,4.04719,0.0159217,0.0349694,-0.0114997,-0.0249449,1.35338,-1.35746,0.15004,0.0341654,0.111354,0.220999,0.906566,0.190563,-0.0516361,1.12998,-0.769439,-0.0375311,0.34768,-0.636292,0.155748,0.144694,0.15772,-6.4587,-1.99996,-0.00136056,0,184,0,-6.93889e-18,-8.67362e-18,-0.00797818,-1.50704e-17,-1.53957e-17,-1.30104e-17,6.63532e-17,6.61363e-17,7.30752e-17,0,-0.522461,0.0386537,0.523599,0,0,2.22129,-0.0112311,3.27249,0,-0.392699,4.18718,-0.00274127,3.14159,0,0.523599,0,0,0,0.0199732,-0.000801246,-0.524727,0.522463,-0.00113222,2.22127,3.26846,-0.396725,4.18718,3.13998,0.521998,0.00196821,-1.24518,0.603699,0,-0.0413105,0,0,0,0,0.0478981,0.0119636,1.00007,0.0136893,-0.760965,-1.66408,-2.91185,19.2874,3.34806,-0.462958,23.8433,-16.0032,-0.563707,5.99258,-15.4454,-0.163324,-13.8034,-13.2647,195.962,23.3061,-58.5423,25.6353,-57.5605,-24.9575,-44.528,-24.7545,-44.6402,-200.987,-0.168023,116.762,-48.6462,85.5795,49.4514,0.354932,0.340443,2.04468,-31.3036,-1.69651,9.35973,2.52765,9.20695,-1.63739,7.16208,0.63528,7.17583
0.36,-6.44821,-2.00135,0.0246651,0.0702729,0.00141288,0.650009,-0.522496,-0.412184,0.523343,0.0514545,0.00139629,-2.23406,2.22373,-3.22713,3.27078,0.342086,-0.393918,-4.20456,4.18936,-3.12701,3.14236,-0.55705,0.524353,-3.39821,-1.99749,-7.75797,-0.405569,-7.7224,-3.6634,-4.84821,-1.99909,-7.25016,-0.616838,-7.24625,-3.38812,0.109762,0.437569,-0.509,0.0208397,-0.00141077,0.00694452,-0.00105986,0.031055,-0.524969,-0.275525,0.522225,-0.0117846,-0.00137209,0.123684,2.22125,-0.0726014,3.26845,-0.0222914,-0.396736,0.0442721,4.18689,-0.0150114,3.13969,-0.0411828,0.521705,-0.0480688,1.0005,0.0566982,-1.25071,1.25548,-0.303788,9.54665,-19.1671,9.72504,-1.20745,-4.50086,9.03692,-8.92991,4.45672,-0.314891,0.0635711,-0.12771,-1.15746,2.73199,-25.3014,12.7985,0,11.8139,-1.57793,7.72403,-3.93283,3.72681,-0.0556845,-0.100529,0.0277315,-1.13476,2.33584,-31.1742,15.4401,16.828,-0.848192,7.87904,-3.85605,-8.40572,4.06248,0.0207367,0.0342142,-0.0112367,-0.0245425,1.35857,-1.36257,0.150043,0.0339276,0.112407,0.212828,0.943015,0.225503,-0.06654,1.09495,-0.742563,-0.0385267,0.378882,-0.695909,0.156397,0.144022,0.158316,-6.44818,-1.99994,-0.00141077,0,231,0,3.46945e-18,1.21431e-17,-0.00977568,-6.28837e-18,-6.07153e-18,-3.90313e-18,7.63278e-17,7.65447e-17,8.26162e-17,0,-0.522222,0.0415261,0.523599,0,0,2.22128,-0.0107394,3.27249,0,-0.392699,4.18689,-0.00223693,3.14159,0,0.523599,0,0,0,0.0208352,-0.00105986,-0.524969,0.522225,-0.00137209,2.22125,3.26845,-0.396736,4.18689,3.13969,0.521705,0.00247274,-1.25258,0.605373,0,-0.0436979,0,0,0,0,0.0480242,0.0120058,1.00007,0.0127597,-0.780098,-1.78205,-3.03473,19.9221,4.24507,-0.143033,23.0989,-15.2478,-0.578986,6.46646,-16.7846,-0.156006,-14.0977,-15.1089,200.737,23.4756,-59.7935,26.211,-58.6462,-25.509,-45.4069,-25.302,-45.5216,-205.635,-0.226332,119.447,-49.6956,87.4493,50.5564,0.450025,0.351191,2.11197,-32.0721,-1.61644,9.5577,2.44874,9.3741,-1.77935,7.30209,0.685517,7.31524
